723090,"CHERRY POINT MCAS",NC,-5.0,34.900,-76.883,11
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2000,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,B,8,1,B,8,3.4,B,8,3.4,B,8,100,A,7,1021,B,8,0,B,8,0.0,B,8,9600,C,8,77777,B,8,1.2,E,8,0.069,F,8,0.140,F,8,0,1,D,9,00,C,8
01/01/2000,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3.0,A,7,3.0,A,7,100,A,7,1021,A,7,0,A,7,0.0,A,7,9600,B,7,77777,A,7,1.3,E,8,0.069,F,8,0.140,F,8,0,1,D,9,10,C,8
01/01/2000,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,3.9,B,8,3.9,B,8,100,A,7,1022,B,8,0,B,8,0.0,B,8,10133,C,8,77777,B,8,1.3,E,8,0.069,F,8,0.140,F,8,0,1,D,9,10,C,8
01/01/2000,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,4.8,B,8,4.8,B,8,100,A,7,1022,B,8,0,B,8,0.0,B,8,10666,C,8,77777,B,8,1.3,E,8,0.069,F,8,0.140,F,8,0,1,D,9,10,C,8
01/01/2000,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6.0,A,7,6.0,A,7,100,A,7,1022,A,7,0,A,7,0.0,A,7,11200,B,7,77777,A,7,1.4,E,8,0.069,F,8,0.140,F,8,0,1,D,9,00,C,8
01/01/2000,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,5.0,A,7,5.0,A,7,100,A,7,1023,A,7,0,A,7,0.0,A,7,8000,B,7,77777,A,7,1.4,E,8,0.069,F,8,0.140,F,8,0,1,D,9,00,C,8
01/01/2000,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4.0,A,7,4.0,A,7,100,A,7,1023,A,7,0,A,7,0.0,A,7,8000,B,7,77777,A,7,1.5,E,8,0.069,F,8,0.140,F,8,0,1,D,9,10,C,8
01/01/2000,08:00,63,1026,10,2,8,140,2,15,5,2,8,16,2,8,84,2,15,10,2,8,18,2,19,0,E,9,0,E,9,4.0,A,7,4.0,A,7,100,A,7,1024,A,7,0,A,7,0.0,A,7,11200,B,7,77777,A,7,1.5,E,8,0.069,F,8,0.140,F,8,0,1,D,9,10,C,8
01/01/2000,09:00,293,1415,169,2,8,420,2,15,82,2,8,173,2,8,319,2,15,106,2,8,153,2,19,3,E,9,3,E,9,9.0,A,7,9.0,A,7,100,A,7,1024,A,7,0,A,7,0.0,A,7,11200,B,7,77777,A,7,1.5,E,8,0.069,F,8,0.140,F,8,0,1,D,9,41,C,8
01/01/2000,10:00,498,1415,310,2,8,568,2,15,109,2,8,315,2,8,516,2,15,133,2,8,198,2,19,3,E,9,3,E,9,14.0,A,7,10.0,A,7,77,A,7,1025,A,7,60,A,7,3.6,A,7,11300,B,7,77777,A,7,1.6,E,8,0.069,F,8,0.140,F,8,0,1,D,9,41,C,8
