723300,"POPLAR BLUFF(AMOS)",MO,-6.0,36.767,-90.467,146
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1997,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-6.2,E,9,-10.0,E,9,72,A,7,1007,E,9,170,E,9,2.0,E,9,400,C,8,1050,E,9,2.1,E,8,0.071,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1997,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-6.7,E,9,-11.2,E,9,67,A,7,1007,E,9,160,E,9,4.6,E,9,400,C,8,930,E,9,2.1,E,8,0.071,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1997,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-7.3,E,9,-11.2,E,9,71,A,7,1008,E,9,180,E,9,3.6,E,9,400,C,8,1380,E,9,2.1,E,8,0.071,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1997,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-7.8,E,9,-11.7,E,9,71,A,7,1008,E,9,150,E,9,2.5,E,9,400,C,8,1470,E,9,2.1,E,8,0.071,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1997,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-7.8,E,9,-12.3,E,9,67,A,7,1008,E,9,170,E,9,5.1,E,9,400,C,8,1800,E,9,2.1,E,8,0.071,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1997,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-8.4,E,9,-11.7,E,9,75,A,7,1008,E,9,180,E,9,4.6,E,9,400,C,8,1500,E,9,2.1,E,8,0.071,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1997,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-8.4,E,9,-11.7,E,9,75,A,7,1008,E,9,190,E,9,5.6,E,9,400,C,8,930,E,9,2.1,E,8,0.071,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1997,08:00,62,1026,24,1,28,157,1,31,14,1,28,25,1,28,74,1,31,20,1,28,26,1,50,5,E,9,5,E,9,-8.4,E,9,-12.3,E,9,71,A,7,1008,E,9,190,E,9,4.1,E,9,400,C,8,2100,E,9,2.1,E,8,0.071,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1997,09:00,285,1415,153,1,28,613,1,31,29,1,28,162,1,28,501,1,31,61,1,28,71,1,50,1,E,9,1,E,9,-7.8,E,9,-11.7,E,9,71,A,7,1008,E,9,180,E,9,4.6,E,9,400,C,8,2400,E,9,2.1,E,8,0.071,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1997,10:00,481,1415,104,1,28,0,1,31,104,1,28,119,1,28,0,1,31,119,1,28,407,1,50,10,E,9,10,E,9,-7.3,E,9,-11.7,E,9,68,A,7,1009,E,9,200,E,9,6.6,E,9,400,C,8,570,E,9,2.1,E,8,0.071,F,8,0.170,F,8,0,1,D,9,00,C,8
