723443,"SILOAM SPRING(AWOS)",AR,-6.0,36.183,-94.483,364
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2004,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,10.0,A,7,4.0,A,7,66,A,7,970,E,9,170,A,7,4.1,A,7,16100,B,7,1080,A,7,1.7,E,8,0.064,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2004,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,11.0,A,7,4.0,A,7,62,A,7,970,E,9,190,A,7,5.1,A,7,16100,B,7,1140,A,7,1.8,E,8,0.064,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2004,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,11.0,A,7,5.0,A,7,66,A,7,970,E,9,190,A,7,5.1,A,7,16100,B,7,1320,A,7,1.9,E,8,0.064,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2004,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,12.0,A,7,5.0,A,7,62,A,7,970,E,9,180,A,7,4.1,A,7,16100,B,7,600,A,7,2.0,E,8,0.064,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2004,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,12.0,A,7,6.0,A,7,67,A,7,970,E,9,190,A,7,5.7,A,7,16100,B,7,540,A,7,2.1,E,8,0.064,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2004,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,12.0,A,7,6.0,A,7,67,A,7,970,E,9,170,A,7,5.1,A,7,16100,B,7,1470,A,7,2.2,E,8,0.064,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2004,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,12.0,A,7,7.0,A,7,71,A,7,970,E,9,190,A,7,6.7,A,7,16100,B,7,77777,A,7,2.3,E,8,0.064,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2004,08:00,28,696,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,12.0,A,7,8.0,A,7,76,A,7,970,E,9,190,A,7,4.6,A,7,16100,B,7,510,A,7,2.3,E,8,0.064,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2004,09:00,234,1415,105,2,9,107,2,21,87,2,9,111,2,9,76,2,21,99,2,9,185,2,25,10,E,9,6,E,9,13.0,A,7,9.0,A,7,77,A,7,970,E,9,200,A,7,6.2,A,7,16100,B,7,77777,A,7,2.4,E,8,0.064,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2004,10:00,443,1415,57,2,9,0,2,21,57,2,9,68,2,9,0,2,21,68,2,9,243,2,25,10,E,9,10,E,9,14.0,A,7,10.0,A,7,77,A,7,970,E,9,190,A,7,7.2,A,7,16100,B,7,1440,A,7,2.5,E,8,0.064,F,8,0.170,F,8,0,1,D,9,00,C,8
