723446,"HARRISON FAA AP",AR,-6.0,36.267,-93.150,419
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2000,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2.0,A,7,-2.0,A,7,73,A,7,967,A,7,120,A,7,4.1,A,7,32200,B,7,77777,A,7,1.2,E,8,0.067,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2000,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3.0,A,7,-3.0,A,7,63,A,7,967,A,7,130,A,7,4.6,A,7,32200,B,7,77777,A,7,1.3,E,8,0.067,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2000,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,1.0,A,7,-2.0,A,7,79,A,7,966,A,7,110,A,7,4.1,A,7,32200,B,7,77777,A,7,1.3,E,8,0.067,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2000,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,1.0,A,7,-2.0,A,7,79,A,7,966,A,7,110,A,7,3.6,A,7,32200,B,7,77777,A,7,1.3,E,8,0.067,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2000,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,1.0,A,7,-2.0,A,7,79,A,7,966,A,7,110,A,7,3.6,A,7,32200,B,7,77777,A,7,1.4,E,8,0.067,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2000,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3.0,A,7,-1.0,A,7,74,A,7,966,A,7,130,A,7,4.1,A,7,32200,B,7,77777,A,7,1.4,E,8,0.067,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2000,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2.0,A,7,-1.0,A,7,80,A,7,967,A,7,110,A,7,4.1,A,7,32200,B,7,77777,A,7,1.5,E,8,0.067,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2000,08:00,39,814,2,2,9,88,2,21,1,2,9,6,2,9,50,2,21,4,2,9,4,2,25,0,E,9,0,E,9,2.0,A,7,-1.0,A,7,80,A,7,967,A,7,120,A,7,3.1,A,7,32200,B,7,77777,A,7,1.5,E,8,0.067,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2000,09:00,253,1415,145,2,9,405,2,21,72,2,9,147,2,9,287,2,21,96,2,9,134,2,25,0,E,9,0,E,9,5.0,A,7,0.0,A,7,70,A,7,968,A,7,120,A,7,3.6,A,7,32200,B,7,77777,A,7,1.5,E,8,0.067,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2000,10:00,458,1415,294,2,9,615,2,21,94,2,9,300,2,9,549,2,21,122,2,9,171,2,25,0,E,9,0,E,9,7.0,A,7,2.0,A,7,70,A,7,968,A,7,130,A,7,4.1,A,7,32200,B,7,77777,A,7,1.6,E,8,0.067,F,8,0.170,F,8,0,1,D,9,00,C,8
