723525,"HOBART MUNICIPAL AP",OK,-6.0,35.000,-99.050,478
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1994,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,4,E,9,3.8,A,7,0.5,A,7,79,A,7,957,A,7,300,A,7,2.5,A,7,32200,B,7,77777,A,7,1.0,E,8,0.069,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1994,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,4,B,8,3.1,B,8,-0.3,B,8,78,A,7,958,B,8,320,B,8,3.3,B,8,28150,C,8,77777,B,8,1.0,E,8,0.069,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1994,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,4,E,9,2.2,A,7,-1.2,A,7,77,A,7,958,A,7,330,A,7,4.1,A,7,24100,B,7,77777,A,7,1.0,E,8,0.069,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1994,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,4,E,9,2.2,A,7,-3.4,A,7,64,A,7,959,A,7,320,A,7,5.1,A,7,24100,B,7,77777,A,7,1.0,E,8,0.069,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1994,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,4,E,9,2.2,A,7,-3.9,A,7,62,A,7,960,A,7,320,A,7,4.6,A,7,24100,B,7,77777,A,7,1.0,E,8,0.069,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1994,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,0.5,A,7,-3.9,A,7,70,A,7,960,A,7,300,A,7,4.6,A,7,32200,B,7,77777,A,7,1.0,E,8,0.069,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1994,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,0.5,A,7,-5.0,A,7,63,A,7,961,A,7,300,A,7,4.6,A,7,32200,B,7,77777,A,7,1.0,E,8,0.069,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1994,08:00,7,342,0,1,11,10,1,16,0,1,11,0,1,11,0,1,16,0,1,11,0,1,22,0,A,7,0,E,9,0.5,A,7,-6.2,A,7,57,A,7,962,A,7,300,A,7,4.1,A,7,32200,B,7,77777,A,7,1.0,E,8,0.069,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1994,09:00,179,1415,72,1,11,264,1,16,39,1,11,76,1,11,156,1,16,56,1,11,70,1,22,3,A,7,1,E,9,2.7,A,7,-4.5,A,7,57,A,7,963,A,7,320,A,7,4.1,A,7,32200,B,7,77777,A,7,1.0,E,8,0.069,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1994,10:00,404,1415,212,1,11,299,1,16,126,1,11,222,1,11,264,1,16,146,1,11,258,1,22,9,A,7,4,E,9,6.1,A,7,-4.5,A,7,45,A,7,964,A,7,320,A,7,5.6,A,7,32200,B,7,6000,A,7,1.0,E,8,0.069,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1994,11:00,582,1415,356,1,11,406,1,16,189,1,11,376,1,11,403,1,16,209,1,11,414,1,22,9,A,7,4,E,9,9.4,A,7,-3.4,A,7,39,A,7,965,A,7,330,A,7,5.1,A,7,32200,B,7,6000,A,7,0.9,E,8,0.069,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1994,12:00,699,1415,462,1,11,744,1,16,94,1,11,480,1,11,725,1,16,120,1,11,192,1,22,2,A,7,1,E,9,12.2,A,7,-2.8,A,7,34,A,7,965,A,7,360,A,7,5.6,A,7,32200,B,7,77777,A,7,0.9,E,8,0.069,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1994,13:00,747,1415,496,1,11,741,1,16,104,1,11,528,1,11,741,1,16,135,1,11,233,1,22,3,A,7,1,E,9,13.3,A,7,-2.3,A,7,33,A,7,964,A,7,360,A,7,3.6,A,7,32200,B,7,77777,A,7,0.9,E,8,0.069,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1994,14:00,723,1415,505,1,11,799,1,16,97,1,11,525,1,11,782,1,16,124,1,11,201,1,22,2,A,7,1,E,9,13.8,A,7,-2.3,A,7,32,A,7,963,A,7,340,A,7,4.1,A,7,32200,B,7,77777,A,7,0.9,E,8,0.069,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1994,15:00,628,1415,407,1,11,700,1,16,96,1,11,429,1,11,680,1,16,126,1,11,198,1,22,3,A,7,1,E,9,14.4,A,7,-2.8,A,7,30,A,7,963,A,7,350,A,7,2.0,A,7,32200,B,7,77777,A,7,0.9,E,8,0.069,F,8,0.200,F,8,0,1,D,9,00,C,8
