723565,"BARTLESVILLE/PHILLI",OK,-6.0,36.767,-96.017,218
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2004,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,9.0,A,7,7.0,A,7,87,A,7,993,A,7,170,A,7,5.1,A,7,16100,B,7,1020,A,7,1.6,E,8,0.063,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2004,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,9.0,A,7,7.0,A,7,87,A,7,992,A,7,170,A,7,6.2,A,7,16100,B,7,77777,A,7,1.7,E,8,0.063,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2004,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,9.0,A,7,7.0,A,7,87,A,7,993,A,7,190,A,7,3.6,A,7,16100,B,7,77777,A,7,1.8,E,8,0.063,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2004,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,9.0,A,7,7.0,A,7,87,A,7,992,A,7,180,A,7,4.1,A,7,16100,B,7,77777,A,7,1.9,E,8,0.063,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2004,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,7,E,9,9.0,A,7,7.0,A,7,87,A,7,991,A,7,160,A,7,5.1,A,7,16100,B,7,77777,A,7,1.9,E,8,0.063,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2004,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,7,E,9,11.0,A,7,8.0,A,7,82,A,7,992,A,7,180,A,7,3.1,A,7,16100,B,7,77777,A,7,2.0,E,8,0.063,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2004,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,5,E,9,11.0,A,7,9.0,A,7,87,A,7,992,A,7,180,A,7,4.6,A,7,16100,B,7,77777,A,7,2.1,E,8,0.063,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2004,08:00,15,507,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,5,E,9,11.0,A,7,9.0,A,7,87,A,7,992,A,7,170,A,7,4.1,A,7,16100,B,7,77777,A,7,2.2,E,8,0.063,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2004,09:00,202,1415,21,2,9,0,2,21,21,2,9,25,2,9,0,2,21,25,2,9,83,2,25,10,E,9,4,E,9,13.0,A,7,11.0,A,7,88,A,7,992,A,7,170,A,7,5.1,A,7,16100,B,7,77777,A,7,2.3,E,8,0.063,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2004,10:00,414,1415,86,2,9,0,2,21,86,2,9,98,2,9,0,2,21,98,2,9,330,2,25,10,E,9,7,E,9,13.0,A,7,11.0,A,7,88,A,7,993,A,7,170,A,7,5.1,A,7,16100,B,7,77777,A,7,2.4,E,8,0.063,F,8,0.180,F,8,0,1,D,9,00,C,8
