723700,"KINGMAN (AMOS)",AZ,-7.0,35.267,-113.950,1033
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1998,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6.3,E,9,1.4,E,9,71,A,7,902,E,9,140,E,9,3.7,E,9,16000,C,8,77777,E,9,1.5,E,8,0.036,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1998,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6.3,E,9,1.3,E,9,70,A,7,902,E,9,30,E,9,0.5,E,9,16000,C,8,77777,E,9,1.5,E,8,0.036,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1998,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,5.0,E,9,0.1,E,9,71,A,7,902,E,9,230,E,9,1.9,E,9,16000,C,8,77777,E,9,1.5,E,8,0.036,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1998,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6.6,E,9,1.2,E,9,68,A,7,903,E,9,190,E,9,2.5,E,9,16000,C,8,77777,E,9,1.5,E,8,0.036,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1998,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,5.5,E,9,0.5,E,9,70,A,7,902,E,9,20,E,9,0.3,E,9,16000,C,8,77777,E,9,1.5,E,8,0.036,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1998,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6.5,E,9,-0.7,E,9,60,A,7,903,E,9,210,E,9,2.9,E,9,16000,C,8,77777,E,9,1.5,E,8,0.036,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1998,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,5.8,E,9,-1.3,E,9,60,A,7,903,E,9,10,E,9,0.2,E,9,16000,C,8,77777,E,9,1.5,E,8,0.036,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1998,08:00,6,318,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,E,9,5.8,E,9,-1.4,E,9,59,A,7,903,E,9,250,E,9,3.8,E,9,16000,C,8,77777,E,9,1.5,E,8,0.036,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1998,09:00,176,1415,89,2,9,575,2,21,16,2,9,94,2,9,410,2,21,43,2,9,44,2,25,0,E,9,0,E,9,6.3,E,9,-0.9,E,9,59,A,7,903,E,9,140,E,9,6.3,E,9,16000,C,8,77777,E,9,1.5,E,8,0.036,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1998,10:00,401,1415,266,2,9,818,2,21,33,2,9,282,2,9,728,2,21,75,2,9,87,2,25,0,E,9,0,E,9,10.1,E,9,-1.5,E,9,44,A,7,903,E,9,190,E,9,2.2,E,9,16000,C,8,77777,E,9,1.5,E,8,0.036,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1998,11:00,578,1415,415,2,9,903,2,21,45,2,9,439,2,9,860,2,21,87,2,9,117,2,25,0,E,9,0,E,9,13.3,E,9,-1.1,E,9,37,A,7,903,E,9,230,E,9,6.7,E,9,16000,C,8,77777,E,9,1.5,E,8,0.036,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1998,12:00,694,1415,514,2,9,947,2,21,48,2,9,544,2,9,923,2,21,90,2,9,130,2,25,0,E,9,0,E,9,13.3,E,9,-2.3,E,9,33,A,7,902,E,9,210,E,9,8.2,E,9,16000,C,8,77777,E,9,1.5,E,8,0.036,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1998,13:00,741,1415,561,2,9,967,2,21,52,2,9,592,2,9,948,2,21,93,2,9,140,2,25,0,E,9,0,E,9,13.8,E,9,-2.3,E,9,32,A,7,901,E,9,220,E,9,8.2,E,9,16000,C,8,77777,E,9,1.4,E,8,0.036,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1998,14:00,717,1415,542,2,9,964,2,21,52,2,9,573,2,9,942,2,21,93,2,9,138,2,25,0,E,9,0,E,9,13.8,E,9,-2.3,E,9,32,A,7,901,E,9,230,E,9,6.2,E,9,16000,C,8,77777,E,9,1.4,E,8,0.036,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1998,15:00,622,1415,474,2,9,952,2,21,54,2,9,499,2,9,915,2,21,96,2,9,131,2,25,0,E,9,0,E,9,14.4,E,9,-1.7,E,9,32,A,7,900,E,9,230,E,9,9.3,E,9,16000,C,8,77777,E,9,1.4,E,8,0.036,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1998,16:00,463,1415,357,2,9,921,2,21,54,2,9,374,2,9,842,2,21,97,2,9,109,2,25,5,E,9,2,E,9,15.0,E,9,-1.7,E,9,31,A,7,900,E,9,220,E,9,8.7,E,9,16000,C,8,77777,E,9,1.4,E,8,0.036,F,8,0.200,F,8,0,1,D,9,00,C,8
01/01/1998,17:00,252,1415,205,2,9,790,2,21,64,2,9,205,2,9,562,2,21,105,2,9,106,2,25,10,E,9,10,E,9,13.3,E,9,-2.3,E,9,33,A,7,900,E,9,230,E,9,7.2,E,9,16000,C,8,1500,E,9,1.4,E,8,0.036,F,8,0.200,F,8,0,1,D,9,00,C,8
