723723,"PRESCOTT LOVE FIELD",AZ,-7.0,34.650,-112.417,1537
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1982,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,6.1,A,7,3.3,A,7,83,A,7,841,A,7,180,A,7,5.2,A,7,24100,B,7,1070,A,7,1.3,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1982,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,6.1,A,7,3.3,A,7,83,A,7,841,A,7,220,A,7,6.2,A,7,24100,B,7,1070,A,7,1.3,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1982,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,6.1,A,7,3.3,A,7,83,A,7,840,A,7,220,A,7,6.2,A,7,24100,B,7,910,A,7,1.3,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1982,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,6.1,A,7,4.4,A,7,89,A,7,840,A,7,180,A,7,5.2,A,7,24100,B,7,910,A,7,1.4,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1982,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,6.1,A,7,4.4,A,7,89,A,7,839,A,7,190,A,7,6.2,A,7,24100,B,7,910,A,7,1.4,E,8,0.000,?,0,0.00,?,0,2,1,D,9,00,C,8
01/01/1982,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,6.1,A,7,4.4,A,7,89,A,7,839,A,7,180,A,7,5.2,A,7,11300,B,7,460,A,7,1.4,E,8,0.000,?,0,0.00,?,0,2,1,D,9,51,C,8
01/01/1982,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,6.1,A,7,4.4,A,7,89,A,7,838,A,7,180,A,7,4.1,A,7,11300,B,7,580,A,7,1.4,E,8,0.000,?,0,0.00,?,0,2,1,D,9,51,C,8
01/01/1982,08:00,15,507,4,1,13,0,1,9,4,1,13,0,1,13,0,1,9,0,1,13,0,1,21,10,A,7,10,A,7,5.6,A,7,4.4,A,7,93,A,7,839,A,7,170,A,7,3.6,A,7,11300,B,7,580,A,7,1.4,E,8,0.000,F,8,0.00,?,0,2,1,D,9,61,C,8
01/01/1982,09:00,210,1415,32,1,13,6,1,9,31,1,13,37,1,13,0,1,9,37,1,13,117,1,21,10,A,7,10,A,7,5.0,A,7,5.0,A,7,100,A,7,839,A,7,170,A,7,2.6,A,7,8000,B,7,430,A,7,1.4,E,8,0.000,F,8,0.00,?,0,2,1,D,9,61,C,8
01/01/1982,10:00,432,1415,73,1,9,7,1,9,71,1,13,85,1,9,3,1,9,84,1,13,289,1,18,10,A,7,10,A,7,5.6,A,7,5.0,A,7,96,A,7,839,A,7,210,A,7,6.7,A,7,8000,B,7,240,A,7,1.4,E,8,0.000,F,8,0.00,?,0,0,1,D,9,61,C,8
