724055,"LEESBURG/GODFREY",VA,-5.0,39.083,-77.567,119
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2005,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,3.0,A,7,2.0,A,7,93,A,7,999,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,1.5,E,8,0.057,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,4.0,A,7,3.0,A,7,93,A,7,999,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,1.5,E,8,0.057,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,5,A,7,4.0,A,7,4.0,A,7,100,A,7,999,E,9,200,A,7,1.5,A,7,16100,B,7,77777,A,7,1.6,E,8,0.057,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,2.0,A,7,2.0,A,7,100,A,7,999,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,1.7,E,8,0.057,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,3.0,A,7,2.0,A,7,93,A,7,999,E,9,270,A,7,1.5,A,7,16100,B,7,77777,A,7,1.6,E,8,0.057,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,3.0,A,7,2.0,A,7,93,A,7,999,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,1.5,E,8,0.057,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,4.0,A,7,4.0,A,7,100,A,7,999,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,1.5,E,8,0.057,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,08:00,26,672,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,A,7,5.0,A,7,3.0,A,7,87,A,7,999,E,9,260,A,7,1.5,A,7,16100,B,7,77777,A,7,1.5,E,8,0.057,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,09:00,219,1415,29,2,9,0,2,21,29,2,9,34,2,9,0,2,21,34,2,9,112,2,25,0,E,9,0,A,7,11.0,A,7,9.0,A,7,87,A,7,999,E,9,300,A,7,1.5,A,7,16100,B,7,77777,A,7,1.6,E,8,0.057,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,10:00,414,1415,149,2,9,82,2,21,124,2,9,162,2,9,75,2,21,140,2,9,319,2,25,10,E,9,10,A,7,18.0,A,7,11.0,A,7,64,A,7,999,E,9,250,A,7,2.6,A,7,16100,B,7,1500,A,7,1.7,E,8,0.057,F,8,0.170,F,8,0,1,D,9,00,C,8
