724127,"LEWISBURG/GREENBRIE",WV,-5.0,37.867,-80.400,702
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2005,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,8.0,A,7,8.0,A,7,100,A,7,932,E,9,240,A,7,3.1,A,7,16100,B,7,510,A,7,2.0,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,8.0,A,7,8.0,A,7,100,A,7,932,E,9,230,A,7,2.1,A,7,11300,B,7,450,A,7,2.1,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,8.0,A,7,8.0,A,7,100,A,7,932,E,9,230,A,7,2.6,A,7,11300,B,7,510,A,7,2.1,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,8.0,A,7,8.0,A,7,100,A,7,932,E,9,0,A,7,0.0,A,7,4800,B,7,570,A,7,2.2,E,8,0.068,F,8,0.170,F,8,0,1,D,9,53,C,8
01/01/2005,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,8.0,A,7,8.0,A,7,100,A,7,932,E,9,0,A,7,0.0,A,7,16100,B,7,510,A,7,2.1,E,8,0.068,F,8,0.170,F,8,0,1,D,9,10,C,8
01/01/2005,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,7.7,B,8,7.5,B,8,99,A,7,932,E,9,0,B,8,0.0,B,8,9450,C,8,285,B,8,2.0,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,7.0,A,7,7.0,A,7,100,A,7,932,E,9,0,A,7,0.0,A,7,2800,B,7,60,A,7,1.9,E,8,0.068,F,8,0.170,F,8,0,1,D,9,61,C,8
01/01/2005,08:00,14,507,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,A,7,7.0,A,7,7.0,A,7,100,A,7,932,E,9,0,A,7,0.0,A,7,1200,B,7,60,A,7,2.0,E,8,0.068,F,8,0.170,F,8,0,1,D,9,10,C,8
01/01/2005,09:00,195,1415,106,2,9,180,2,21,81,2,9,107,2,9,107,2,21,93,2,9,171,2,25,10,E,9,10,A,7,8.0,A,7,8.0,A,7,100,A,7,932,E,9,0,A,7,0.0,A,7,1600,B,7,60,A,7,2.1,E,8,0.068,F,8,0.170,F,8,0,1,D,9,10,C,8
01/01/2005,10:00,402,1415,72,2,9,0,2,21,72,2,9,83,2,9,0,2,21,83,2,9,285,2,25,10,E,9,10,A,7,8.0,A,7,8.0,A,7,100,A,7,932,E,9,190,A,7,2.1,A,7,2800,B,7,180,A,7,2.2,E,8,0.068,F,8,0.170,F,8,0,1,D,9,10,C,8
01/01/2005,11:00,561,1415,157,2,9,12,2,21,152,2,9,177,2,9,9,2,21,174,2,9,576,2,25,10,E,9,10,A,7,8.0,A,7,8.0,A,7,100,A,7,932,E,9,210,A,7,2.6,A,7,6400,B,7,300,A,7,2.1,E,8,0.068,F,8,0.170,F,8,0,1,D,9,10,C,8
01/01/2005,12:00,658,1415,118,2,9,0,2,21,118,2,9,139,2,9,0,2,21,139,2,9,517,2,25,10,E,9,10,A,7,9.0,A,7,9.0,A,7,100,A,7,932,E,9,260,A,7,2.6,A,7,16100,B,7,330,A,7,2.1,E,8,0.068,F,8,0.170,F,8,0,1,D,9,10,C,8
01/01/2005,13:00,687,1415,102,2,9,0,2,21,102,2,9,122,2,9,0,2,21,122,2,9,467,2,25,10,E,9,10,A,7,9.0,A,7,9.0,A,7,100,A,7,932,E,9,250,A,7,2.1,A,7,16100,B,7,330,A,7,2.1,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,14:00,647,1415,75,2,9,0,2,21,75,2,9,91,2,9,0,2,21,91,2,9,350,2,25,10,E,9,10,A,7,9.0,A,7,9.0,A,7,100,A,7,932,E,9,230,A,7,2.1,A,7,11300,B,7,270,A,7,2.1,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,15:00,540,1415,61,2,9,0,2,21,61,2,9,74,2,9,0,2,21,74,2,9,274,2,25,10,E,9,10,A,7,10.0,A,7,10.0,A,7,100,A,7,932,E,9,0,A,7,0.0,A,7,16100,B,7,330,A,7,2.1,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,16:00,374,1415,192,2,9,347,2,21,100,2,9,198,2,9,292,2,21,120,2,9,188,2,25,10,E,9,10,A,7,10.0,A,7,10.0,A,7,100,A,7,932,E,9,0,A,7,0.0,A,7,16100,B,7,330,A,7,2.1,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,17:00,160,1415,59,2,9,209,2,21,35,2,9,62,2,9,116,2,21,48,2,9,62,2,25,10,E,9,10,A,7,9.0,A,7,9.0,A,7,100,A,7,932,E,9,0,A,7,0.0,A,7,16100,B,7,330,A,7,2.1,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,18:00,4,271,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,A,7,8.0,A,7,8.0,A,7,100,A,7,932,E,9,0,A,7,0.0,A,7,11300,B,7,77777,A,7,2.1,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,7.0,A,7,7.0,A,7,100,A,7,932,E,9,0,A,7,0.0,A,7,4800,B,7,390,A,7,2.0,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,7.0,A,7,7.0,A,7,100,A,7,932,E,9,0,A,7,0.0,A,7,4800,B,7,330,A,7,2.0,E,8,0.068,F,8,0.170,F,8,0,1,D,9,10,C,8
01/01/2005,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,7.0,A,7,7.0,A,7,100,A,7,932,E,9,0,A,7,0.0,A,7,11300,B,7,330,A,7,2.1,E,8,0.068,F,8,0.170,F,8,0,1,D,9,10,C,8
01/01/2005,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,7.0,A,7,7.0,A,7,100,A,7,932,E,9,10,A,7,3.1,A,7,6400,B,7,330,A,7,2.1,E,8,0.068,F,8,0.170,F,8,0,1,D,9,10,C,8
01/01/2005,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,A,7,6.0,A,7,6.0,A,7,100,A,7,932,E,9,30,A,7,2.1,A,7,6400,B,7,2400,A,7,2.1,E,8,0.068,F,8,0.170,F,8,0,1,D,9,10,C,8
01/01/2005,24:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,5.0,A,7,5.0,A,7,100,A,7,932,E,9,10,A,7,2.1,A,7,400,B,7,30,A,7,2.1,E,8,0.068,F,8,0.170,F,8,0,1,D,9,10,C,8
01/02/2005,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,5.0,A,7,5.0,A,7,100,A,7,932,E,9,0,A,7,0.0,A,7,400,B,7,30,A,7,2.1,E,8,0.068,F,8,0.170,F,8,0,1,D,9,10,C,8
01/02/2005,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,3.0,A,7,3.0,A,7,100,A,7,932,E,9,0,A,7,0.0,A,7,400,B,7,30,A,7,2.1,E,8,0.068,F,8,0.170,F,8,0,1,D,9,44,C,8
01/02/2005,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,3.0,A,7,3.0,A,7,100,A,7,932,E,9,0,A,7,0.0,A,7,400,B,7,30,A,7,2.1,E,8,0.068,F,8,0.170,F,8,0,1,D,9,44,C,8
01/02/2005,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,3.0,A,7,3.0,A,7,100,A,7,932,E,9,30,A,7,2.1,A,7,400,B,7,30,A,7,2.2,E,8,0.068,F,8,0.170,F,8,0,1,D,9,44,C,8
01/02/2005,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,3.0,A,7,3.0,A,7,100,A,7,932,E,9,20,A,7,3.6,A,7,400,B,7,30,A,7,2.1,E,8,0.068,F,8,0.170,F,8,0,1,D,9,44,C,8
01/02/2005,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,3.0,A,7,3.0,A,7,100,A,7,932,E,9,30,A,7,2.6,A,7,400,B,7,30,A,7,2.0,E,8,0.068,F,8,0.170,F,8,0,1,D,9,44,C,8
01/02/2005,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,4.0,A,7,4.0,A,7,100,A,7,932,E,9,60,A,7,2.1,A,7,400,B,7,30,A,7,2.0,E,8,0.068,F,8,0.170,F,8,0,1,D,9,44,C,8
01/02/2005,08:00,14,483,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,A,7,3.0,A,7,3.0,A,7,100,A,7,932,E,9,30,A,7,1.5,A,7,400,B,7,30,A,7,2.0,E,8,0.068,F,8,0.170,F,8,0,1,D,9,44,C,8
01/02/2005,09:00,195,1415,64,2,9,23,2,21,61,2,9,70,2,9,17,2,21,68,2,9,140,2,25,10,E,9,10,A,7,4.0,A,7,4.0,A,7,100,A,7,932,E,9,30,A,7,1.5,A,7,3200,B,7,1080,A,7,2.0,E,8,0.068,F,8,0.170,F,8,0,1,D,9,44,C,8
01/02/2005,10:00,403,1415,87,2,9,0,2,21,87,2,9,99,2,9,0,2,21,99,2,9,329,2,25,10,E,9,10,A,7,6.0,A,7,6.0,A,7,100,A,7,932,E,9,0,A,7,0.0,A,7,6400,B,7,1020,A,7,2.1,E,8,0.068,F,8,0.170,F,8,0,1,D,9,10,C,8
01/02/2005,11:00,561,1415,124,2,9,0,2,21,124,2,9,142,2,9,0,2,21,142,2,9,499,2,25,10,E,9,10,A,7,7.0,A,7,7.0,A,7,100,A,7,932,E,9,20,A,7,2.6,A,7,11300,B,7,1290,A,7,2.1,E,8,0.068,F,8,0.170,F,8,0,1,D,9,10,C,8
01/02/2005,12:00,659,1415,280,2,9,139,2,21,215,2,9,304,2,9,141,2,21,238,2,9,524,2,25,5,E,9,5,A,7,9.0,A,7,9.0,A,7,100,A,7,932,E,9,10,A,7,2.6,A,7,16100,B,7,77777,A,7,2.1,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
01/02/2005,13:00,689,1415,439,2,9,402,2,21,242,2,9,462,2,9,414,2,21,259,2,9,566,2,25,9,E,9,9,A,7,11.0,A,7,11.0,A,7,100,A,7,932,E,9,0,A,7,0.0,A,7,16100,B,7,810,A,7,2.1,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
01/02/2005,14:00,650,1415,110,2,9,0,2,21,110,2,9,130,2,9,0,2,21,130,2,9,486,2,25,10,E,9,10,A,7,11.0,A,7,10.0,A,7,94,A,7,932,E,9,190,A,7,1.5,A,7,16100,B,7,900,A,7,2.2,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
01/02/2005,15:00,543,1415,78,2,9,0,2,21,78,2,9,93,2,9,0,2,21,93,2,9,340,2,25,10,E,9,10,A,7,11.0,A,7,10.0,A,7,94,A,7,932,E,9,220,A,7,1.5,A,7,16100,B,7,2400,A,7,2.3,E,8,0.068,F,8,0.170,F,8,0,1,D,9,00,C,8
