724238,"HENDERSON CITY",KY,-6.0,37.817,-87.683,117
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1997,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,E,9,8,E,9,6.3,E,9,4.3,E,9,87,A,7,999,E,9,10,E,9,2.1,E,9,16100,C,8,3533,E,9,2.1,E,8,0.077,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1997,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,E,9,8,E,9,6.1,E,9,4.2,E,9,88,A,7,999,E,9,50,E,9,2.9,E,9,16100,C,8,4020,E,9,2.1,E,8,0.077,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1997,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,E,9,8,E,9,5.4,E,9,3.6,E,9,88,A,7,999,E,9,30,E,9,2.2,E,9,16100,C,8,4508,E,9,2.1,E,8,0.077,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1997,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,5.7,E,9,4.1,E,9,89,A,7,999,E,9,70,E,9,3.5,E,9,16100,C,8,4996,E,9,2.1,E,8,0.077,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1997,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,5.5,E,9,4.1,E,9,91,A,7,999,E,9,40,E,9,1.2,E,9,16100,C,8,0,E,9,2.1,E,8,0.077,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1997,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,5.4,E,9,3.5,E,9,88,A,7,999,E,9,60,E,9,2.6,E,9,16100,C,8,0,E,9,2.1,E,8,0.077,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1997,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,5.2,E,9,3.4,E,9,88,A,7,999,E,9,40,E,9,1.8,E,9,16100,C,8,6458,E,9,2.1,E,8,0.077,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1997,08:00,86,1238,8,1,28,0,1,31,8,1,28,10,1,28,0,1,31,10,1,28,32,1,50,10,E,9,10,E,9,5.5,E,9,4.0,E,9,90,A,7,999,E,9,40,E,9,2.7,E,9,16100,C,8,0,E,9,2.1,E,8,0.077,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1997,09:00,308,1415,39,1,28,0,1,31,39,1,28,46,1,28,0,1,31,46,1,28,157,1,50,10,E,9,10,E,9,4.8,E,9,3.4,E,9,91,A,7,999,E,9,50,E,9,4.5,E,9,16100,C,8,0,E,9,2.1,E,8,0.077,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1997,10:00,492,1415,70,1,28,0,1,31,70,1,28,83,1,28,0,1,31,83,1,28,300,1,50,10,E,9,10,E,9,5.2,E,9,4.4,E,9,95,A,7,999,E,9,70,E,9,4.8,E,9,16100,C,8,0,E,9,2.1,E,8,0.077,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1997,11:00,620,1415,165,1,28,0,1,31,165,1,28,187,1,28,0,1,31,187,1,28,645,1,50,10,E,9,10,E,9,5.0,E,9,3.8,E,9,92,A,7,999,E,9,70,E,9,3.6,E,9,16100,C,8,8408,E,9,2.1,E,8,0.077,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1997,12:00,683,1415,103,1,28,0,1,31,103,1,28,123,1,28,0,1,31,123,1,28,469,1,50,10,E,9,10,E,9,4.8,E,9,3.2,E,9,89,A,7,999,E,9,70,E,9,4.4,E,9,16100,C,8,0,E,9,2.1,E,8,0.077,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1997,13:00,676,1415,102,1,28,0,1,31,102,1,28,122,1,28,0,1,31,122,1,28,464,1,50,10,E,9,10,E,9,4.6,E,9,3.7,E,9,94,A,7,999,E,9,80,E,9,4.7,E,9,16100,C,8,0,E,9,2.2,E,8,0.077,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1997,14:00,601,1415,159,1,28,0,1,31,159,1,28,180,1,28,0,1,31,180,1,28,618,1,50,10,E,9,10,E,9,5.0,E,9,2.0,E,9,81,A,7,999,E,9,70,E,9,3.9,E,9,16100,C,8,9871,E,9,2.2,E,8,0.077,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1997,15:00,462,1415,65,1,28,0,1,31,65,1,28,77,1,28,0,1,31,77,1,28,275,1,50,10,E,9,10,E,9,4.8,E,9,2.5,E,9,85,A,7,999,E,9,80,E,9,4.8,E,9,16100,C,8,0,E,9,2.2,E,8,0.077,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1997,16:00,269,1415,33,1,28,0,1,31,33,1,28,39,1,28,0,1,31,39,1,28,132,1,50,10,E,9,10,E,9,4.6,E,9,2.4,E,9,86,A,7,999,E,9,100,E,9,5.6,E,9,16100,C,8,0,E,9,2.2,E,8,0.077,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/1997,17:00,54,979,5,1,28,0,1,31,5,1,28,6,1,28,0,1,31,6,1,28,20,1,50,10,E,9,10,E,9,5.0,E,9,2.5,E,9,84,A,7,999,E,9,90,E,9,4.7,E,9,16100,C,8,0,E,9,2.2,E,8,0.077,F,8,0.170,F,8,0,1,D,9,00,C,8
