724350,"PADUCAH BARKLEY REGIONAL AP",KY,-6.0,37.050,-88.767,124
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1995,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,6.7,A,7,6.1,A,7,96,A,7,1004,A,7,320,A,7,2.6,A,7,2800,B,7,61,A,7,1.1,E,8,0.075,F,8,0.170,F,8,0,1,D,9,45,C,8
01/01/1995,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,6.1,A,7,6.1,A,7,100,A,7,1005,A,7,300,A,7,2.6,A,7,3200,B,7,61,A,7,1.1,E,8,0.075,F,8,0.170,F,8,0,1,D,9,45,C,8
01/01/1995,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,6.1,A,7,5.6,A,7,97,A,7,1005,A,7,350,A,7,2.6,A,7,1200,B,7,61,A,7,1.0,E,8,0.075,F,8,0.170,F,8,0,1,D,9,45,C,8
01/01/1995,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,5.6,A,7,5.0,A,7,96,A,7,1005,A,7,350,A,7,3.6,A,7,8000,B,7,122,A,7,1.0,E,8,0.075,F,8,0.170,F,8,0,1,D,9,45,C,8
01/01/1995,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,4.4,A,7,3.9,A,7,97,A,7,1005,A,7,340,A,7,4.6,A,7,6400,B,7,122,A,7,1.0,E,8,0.075,F,8,0.170,F,8,0,1,D,9,45,C,8
01/01/1995,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,2.8,A,7,2.2,A,7,96,A,7,1006,A,7,350,A,7,6.7,A,7,6400,B,7,244,A,7,0.9,E,8,0.075,F,8,0.170,F,8,0,1,D,9,45,C,8
01/01/1995,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,2.2,A,7,1.7,A,7,96,A,7,1007,A,7,330,A,7,5.7,A,7,4800,B,7,183,A,7,0.9,E,8,0.075,F,8,0.170,F,8,3,1,D,9,45,C,8
01/01/1995,08:00,80,1167,9,1,10,0,1,16,9,1,10,11,1,10,0,1,16,11,1,10,35,1,21,10,A,7,10,A,7,1.7,A,7,1.1,A,7,96,A,7,1007,A,7,350,A,7,6.2,A,7,4800,B,7,183,A,7,0.9,E,8,0.075,F,8,0.170,F,8,0,1,D,9,45,C,8
01/01/1995,09:00,305,1415,40,1,10,0,1,16,40,1,10,47,1,10,0,1,16,47,1,10,160,1,21,10,A,7,10,A,7,1.7,A,7,0.6,A,7,92,A,7,1008,A,7,340,A,7,6.2,A,7,6400,B,7,335,A,7,0.9,E,8,0.075,F,8,0.170,F,8,0,1,D,9,45,C,8
01/01/1995,10:00,494,1415,76,1,10,0,1,16,76,1,10,89,1,10,0,1,16,89,1,10,321,1,21,10,A,7,10,A,7,1.1,A,7,-0.6,A,7,88,A,7,1009,A,7,330,A,7,6.7,A,7,11200,B,7,335,A,7,0.9,E,8,0.075,F,8,0.170,F,8,0,1,D,9,45,C,8
