724390,"SPRINGFIELD CAPITAL AP",IL,-6.0,39.850,-89.683,179
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2003,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,E,9,-1.7,A,7,-5.0,A,7,76,A,7,991,A,7,30,A,7,5.7,A,7,16000,B,7,77777,A,7,0.6,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/2003,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,1,E,9,-1.1,A,7,-5.0,A,7,72,A,7,991,A,7,50,A,7,4.6,A,7,16000,B,7,77777,A,7,0.7,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/2003,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,3,E,9,-1.1,A,7,-4.4,A,7,76,A,7,991,A,7,40,A,7,5.7,A,7,16000,B,7,77777,A,7,0.7,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/2003,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,-1.7,A,7,-4.4,A,7,80,A,7,991,A,7,20,A,7,6.7,A,7,16000,B,7,77777,A,7,0.6,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/2003,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,-2.8,A,7,-5.0,A,7,83,A,7,991,A,7,20,A,7,5.7,A,7,16000,B,7,77777,A,7,0.6,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/2003,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-2.8,A,7,-4.4,A,7,87,A,7,991,A,7,20,A,7,7.2,A,7,16000,B,7,77777,A,7,0.5,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/2003,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-2.2,A,7,-4.4,A,7,83,A,7,991,A,7,30,A,7,6.7,A,7,16000,B,7,77777,A,7,0.6,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/2003,08:00,44,908,5,2,9,65,2,21,3,2,9,8,2,9,35,2,21,6,2,9,8,2,25,7,E,9,6,E,9,-2.2,A,7,-4.4,A,7,83,A,7,991,A,7,40,A,7,6.2,A,7,14400,B,7,77777,A,7,0.6,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/2003,09:00,247,1415,149,2,9,242,2,21,107,2,9,151,2,9,167,2,21,122,2,9,232,2,25,9,E,9,8,E,9,0.0,A,7,-3.9,A,7,72,A,7,991,A,7,50,A,7,6.7,A,7,16000,B,7,77777,A,7,0.6,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/2003,10:00,432,1415,222,2,9,326,2,21,122,2,9,235,2,9,296,2,21,144,2,9,246,2,25,3,E,9,3,E,9,1.1,A,7,-4.4,A,7,64,A,7,993,A,7,40,A,7,8.8,A,7,16000,B,7,77777,A,7,0.6,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/2003,11:00,564,1415,379,2,9,617,2,21,132,2,9,399,2,9,592,2,21,162,2,9,258,2,25,0,E,9,0,E,9,1.7,A,7,-4.4,A,7,61,A,7,992,A,7,40,A,7,10.3,A,7,16000,B,7,77777,A,7,0.7,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/2003,12:00,634,1415,461,2,9,760,2,21,119,2,9,478,2,9,732,2,21,148,2,9,237,2,25,0,E,9,0,E,9,2.8,A,7,-4.4,A,7,57,A,7,991,A,7,50,A,7,9.3,A,7,16000,B,7,77777,A,7,0.7,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/2003,13:00,636,1415,433,2,9,760,2,21,90,2,9,446,2,9,730,2,21,116,2,9,176,2,25,3,E,9,3,A,7,3.9,A,7,-4.4,A,7,52,A,7,992,A,7,30,A,7,7.7,A,7,16000,B,7,77777,A,7,0.7,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/2003,14:00,572,1415,388,2,9,770,2,21,75,2,9,401,2,9,730,2,21,104,2,9,149,2,25,0,E,9,0,A,7,3.9,A,7,-4.4,A,7,52,A,7,992,A,7,40,A,7,7.2,A,7,16000,B,7,77777,A,7,0.7,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/2003,15:00,444,1415,279,2,9,674,2,21,66,2,9,292,2,9,607,2,21,100,2,9,127,2,25,0,E,9,0,A,7,3.3,A,7,-4.4,A,7,55,A,7,992,A,7,50,A,7,8.2,A,7,16000,B,7,77777,A,7,0.7,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/2003,16:00,263,1415,143,2,9,520,2,21,45,2,9,146,2,9,388,2,21,74,2,9,82,2,25,0,E,9,0,A,7,2.8,A,7,-4.4,A,7,57,A,7,993,A,7,40,A,7,8.2,A,7,16000,B,7,77777,A,7,0.7,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
