724455,"KIRKSVILLE REGIONAL AP",MO,-6.0,40.100,-92.550,294
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1996,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,0.2,B,8,-2.7,B,8,79,A,7,975,B,8,50,B,8,3.3,B,8,12900,C,8,493,B,8,1.0,E,8,0.067,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1996,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-0.1,B,8,-3.0,B,8,79,A,7,975,B,8,40,B,8,3.3,B,8,12900,C,8,497,B,8,1.0,E,8,0.067,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1996,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,0.0,B,8,-2.6,B,8,81,A,7,975,B,8,40,B,8,3.4,B,8,12900,C,8,500,B,8,1.0,E,8,0.067,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1996,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-0.1,B,8,-2.8,B,8,80,A,7,975,B,8,40,B,8,3.5,B,8,12900,C,8,503,B,8,1.0,E,8,0.067,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1996,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-0.2,B,8,-2.8,B,8,81,A,7,976,B,8,40,B,8,3.5,B,8,12900,C,8,507,B,8,1.0,E,8,0.067,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1996,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,0.5,A,7,-1.7,A,7,84,A,7,976,A,7,40,A,7,3.6,A,7,12900,B,7,510,A,7,1.0,E,8,0.067,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1996,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,0.5,A,7,-2.3,A,7,80,A,7,976,A,7,10,A,7,2.5,A,7,12900,B,7,480,A,7,1.0,E,8,0.067,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1996,08:00,20,601,2,1,11,0,1,16,2,1,11,0,1,11,0,1,16,0,1,11,0,1,22,10,A,7,10,E,9,0.0,A,7,-1.7,A,7,87,A,7,977,A,7,40,A,7,2.5,A,7,6400,B,7,540,A,7,1.0,E,8,0.067,F,8,0.190,F,8,0,1,D,9,45,C,8
01/01/1996,09:00,203,1415,27,1,11,0,1,16,27,1,11,32,1,11,0,1,16,32,1,11,104,1,22,10,A,7,10,E,9,0.0,A,7,-1.2,A,7,91,A,7,977,A,7,40,A,7,2.0,A,7,3200,B,7,120,A,7,1.0,E,8,0.067,F,8,0.190,F,8,0,1,D,9,45,C,8
01/01/1996,10:00,396,1415,58,1,11,0,1,16,58,1,11,68,1,11,0,1,16,68,1,11,238,1,22,10,A,7,10,E,9,0.5,A,7,-0.6,A,7,92,A,7,977,B,8,20,A,7,2.5,A,7,3200,B,7,120,A,7,1.0,E,8,0.067,F,8,0.190,F,8,0,1,D,9,45,C,8
01/01/1996,11:00,538,1415,82,1,11,0,1,16,82,1,11,97,1,11,0,1,16,97,1,11,353,1,22,10,A,7,10,E,9,1.1,A,7,0.0,A,7,92,A,7,977,B,8,20,A,7,3.6,A,7,3200,B,7,120,A,7,1.0,E,8,0.067,F,8,0.190,F,8,0,1,D,9,45,C,8
