724456,"VICHY ROLLA NATL ARPT",MO,-6.0,38.133,-91.767,336
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1997,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,6.0,A,7,4.0,A,7,87,A,7,978,A,7,160,A,7,2.6,A,7,2400,B,7,450,A,7,2.1,E,8,0.068,F,8,0.180,F,8,0,1,D,9,05,C,8
01/01/1997,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,7.0,A,7,-1.0,A,7,56,A,7,977,A,7,170,A,7,2.1,A,7,4000,B,7,450,A,7,2.1,E,8,0.068,F,8,0.180,F,8,0,1,D,9,05,C,8
01/01/1997,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,7.4,B,8,-1.0,B,8,55,A,7,977,B,8,190,B,8,2.6,B,8,4400,C,8,480,B,8,2.1,E,8,0.068,F,8,0.180,F,8,0,1,D,9,05,C,8
01/01/1997,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,8.0,A,7,-1.0,A,7,52,A,7,977,A,7,210,A,7,3.1,A,7,4800,B,7,510,A,7,2.1,E,8,0.068,F,8,0.180,F,8,0,1,D,9,05,C,8
01/01/1997,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,9.0,A,7,-1.0,A,7,49,A,7,976,A,7,210,A,7,4.1,A,7,6400,B,7,450,A,7,2.1,E,8,0.068,F,8,0.180,F,8,0,1,D,9,05,C,8
01/01/1997,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,9,A,7,9.0,A,7,-2.0,A,7,45,A,7,975,A,7,220,A,7,5.7,A,7,6400,B,7,390,A,7,2.1,E,8,0.068,F,8,0.180,F,8,0,1,D,9,05,C,8
01/01/1997,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,10.0,A,7,-1.0,A,7,46,A,7,976,A,7,230,A,7,4.6,A,7,8000,B,7,270,A,7,2.0,E,8,0.068,F,8,0.180,F,8,0,1,D,9,05,C,8
01/01/1997,08:00,38,814,3,1,24,0,1,27,3,1,24,4,1,24,0,1,27,4,1,24,12,1,43,10,E,9,10,A,7,11.0,A,7,-1.0,A,7,43,A,7,975,A,7,220,A,7,5.1,A,7,4800,B,7,90,A,7,2.0,E,8,0.068,F,8,0.180,F,8,0,1,D,9,05,C,8
01/01/1997,09:00,245,1415,32,1,24,0,1,27,32,1,24,38,1,24,0,1,27,38,1,24,125,1,43,10,E,9,10,A,7,11.0,A,7,-1.0,A,7,43,A,7,975,A,7,230,A,7,4.6,A,7,6400,B,7,120,A,7,2.0,E,8,0.068,F,8,0.180,F,8,0,1,D,9,05,C,8
01/01/1997,10:00,441,1415,64,1,24,0,1,27,64,1,24,75,1,24,0,1,27,75,1,24,267,1,43,10,E,9,10,A,7,12.0,A,7,-1.0,A,7,40,A,7,975,A,7,220,A,7,5.7,A,7,8000,B,7,150,A,7,2.0,E,8,0.068,F,8,0.180,F,8,0,1,D,9,05,C,8
