724457,"FT LNRD WD AAF",MO,-6.0,37.750,-92.150,351
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2005,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,9,B,8,16.9,B,8,13.8,B,8,82,A,7,981,B,8,170,B,8,3.6,B,8,11300,C,8,1032,B,8,2.4,E,8,0.070,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2005,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,16.9,B,8,14.0,B,8,83,A,7,981,B,8,180,B,8,3.6,B,8,11300,C,8,915,B,8,2.3,E,8,0.070,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2005,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,16.9,B,8,14.2,B,8,84,A,7,981,B,8,180,B,8,3.6,B,8,11300,C,8,798,B,8,2.3,E,8,0.070,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2005,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,16.9,B,8,14.4,B,8,85,A,7,981,B,8,180,B,8,3.6,B,8,11300,C,8,681,B,8,2.3,E,8,0.070,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2005,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,16.9,B,8,14.6,B,8,86,A,7,981,B,8,180,B,8,3.6,B,8,11300,C,8,564,B,8,2.4,E,8,0.070,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2005,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,16.8,B,8,14.8,B,8,88,A,7,981,B,8,180,B,8,3.6,B,8,11300,C,8,447,B,8,2.5,E,8,0.070,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2005,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,17.0,A,7,15.0,A,7,88,A,7,981,A,7,180,A,7,3.6,A,7,11300,B,7,330,A,7,2.5,E,8,0.070,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2005,08:00,37,814,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,A,7,17.0,A,7,15.0,A,7,88,A,7,981,A,7,170,A,7,3.1,A,7,11300,B,7,330,A,7,2.5,E,8,0.070,F,8,0.180,F,8,0,1,D,9,80,C,8
01/01/2005,09:00,245,1415,27,2,9,0,2,21,27,2,9,32,2,9,0,2,21,32,2,9,108,2,25,9,E,9,9,A,7,17.0,A,7,15.0,A,7,88,A,7,981,A,7,160,A,7,3.6,A,7,11300,B,7,1500,A,7,2.5,E,8,0.070,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2005,10:00,443,1415,147,2,9,31,2,21,137,2,9,161,2,9,29,2,21,152,2,9,355,2,25,10,E,9,10,A,7,17.0,A,7,15.0,A,7,88,A,7,981,A,7,180,A,7,4.1,A,7,11300,B,7,1500,A,7,2.5,E,8,0.070,F,8,0.180,F,8,0,1,D,9,00,C,8
