724459,"KAISER MEM (AWOS)",MO,-6.0,38.100,-92.550,265
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1991,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,E,9,3,E,9,-1.6,E,9,-2.1,E,9,96,A,7,982,E,9,0,E,9,0.0,E,9,3200,C,8,77777,E,9,1.1,E,8,0.069,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1991,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,E,9,3,E,9,-0.2,E,9,-0.8,E,9,95,A,7,982,E,9,20,E,9,0.5,E,9,3200,C,8,77777,E,9,1.1,E,8,0.069,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1991,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,E,9,2,E,9,0.2,E,9,0.2,E,9,100,A,7,982,E,9,10,E,9,1.0,E,9,3200,C,8,77777,E,9,1.1,E,8,0.069,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1991,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,E,9,2,E,9,2.6,E,9,1.7,E,9,94,A,7,982,E,9,10,E,9,0.5,E,9,3200,C,8,77777,E,9,1.1,E,8,0.069,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1991,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,E,9,2,E,9,3.9,E,9,3.9,E,9,100,A,7,982,E,9,30,E,9,1.1,E,9,3200,C,8,77777,E,9,1.1,E,8,0.069,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1991,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,1,E,9,5.3,E,9,5.2,E,9,99,A,7,982,E,9,40,E,9,1.6,E,9,3200,C,8,77777,E,9,1.1,E,8,0.069,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1991,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,1,E,9,7.7,E,9,6.5,E,9,92,A,7,982,E,9,60,E,9,1.2,E,9,3200,C,8,77777,E,9,1.1,E,8,0.069,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1991,08:00,32,743,10,1,17,109,1,21,5,1,17,11,1,17,56,1,21,9,1,17,13,1,32,1,E,9,1,E,9,9.1,E,9,7.7,E,9,91,A,7,982,E,9,70,E,9,0.1,E,9,3200,C,8,77777,E,9,1.1,E,8,0.069,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1991,09:00,234,1415,111,1,17,428,1,21,40,1,17,114,1,17,304,1,21,64,1,17,73,1,32,0,E,9,0,E,9,10.5,E,9,10.0,E,9,97,A,7,982,E,9,0,E,9,0.0,E,9,3200,C,8,77777,E,9,1.1,E,8,0.069,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1991,10:00,432,1415,275,1,17,753,1,21,45,1,17,291,1,17,680,1,21,82,1,17,101,1,32,0,E,9,0,E,9,12.9,E,9,11.2,E,9,89,A,7,982,E,9,0,E,9,0.0,E,9,3200,C,8,77777,E,9,1.1,E,8,0.069,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1991,11:00,579,1415,399,1,17,839,1,21,56,1,17,421,1,17,798,1,21,93,1,17,128,1,32,0,E,9,0,E,9,15.2,E,9,12.5,E,9,84,A,7,982,E,9,140,E,9,0.7,E,9,3200,C,8,77777,E,9,1.1,E,8,0.069,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1991,12:00,663,1415,451,1,17,832,1,21,61,1,17,475,1,17,805,1,21,96,1,17,142,1,32,1,E,9,0,E,9,18.6,E,9,13.7,E,9,73,A,7,982,E,9,170,E,9,1.8,E,9,3200,C,8,77777,E,9,1.1,E,8,0.069,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1991,13:00,679,1415,461,1,17,805,1,21,74,1,17,489,1,17,789,1,21,109,1,17,164,1,32,1,E,9,1,E,9,19.0,E,9,15.0,E,9,78,A,7,982,E,9,190,E,9,1.7,E,9,3200,C,8,19893,E,9,1.1,E,8,0.069,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1991,14:00,626,1415,433,1,17,808,1,21,76,1,17,454,1,17,780,1,21,108,1,17,159,1,32,2,E,9,2,E,9,19.0,E,9,14.0,E,9,73,A,7,982,E,9,170,E,9,1.2,E,9,3200,C,8,18795,E,9,1.1,E,8,0.069,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1991,15:00,507,1415,300,1,17,640,1,21,70,1,17,317,1,17,598,1,21,101,1,17,139,1,32,2,E,9,2,E,9,21.0,E,9,13.0,E,9,60,A,7,982,E,9,150,E,9,1.7,E,9,3200,C,8,17726,E,9,1.1,E,8,0.069,F,8,0.180,F,8,0,1,D,9,00,C,8
