724556,"EMPORIA MUNICIPAL AP",KS,-6.0,38.333,-96.183,368
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1996,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,1.4,B,8,0.5,B,8,94,A,7,966,B,8,30,B,8,4.7,B,8,8000,C,8,116,B,8,1.2,E,8,0.062,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1996,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,0.9,B,8,0.0,B,8,94,A,7,967,B,8,20,B,8,4.9,B,8,8000,C,8,135,B,8,1.2,E,8,0.062,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/1996,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,0.6,B,8,-0.2,B,8,94,A,7,967,B,8,20,B,8,5.0,B,8,8000,C,8,154,B,8,1.2,E,8,0.062,F,8,0.190,F,8,0,1,D,9,45,C,8
01/01/1996,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,0.4,B,8,-0.5,B,8,93,A,7,967,B,8,10,B,8,5.2,B,8,8000,C,8,173,B,8,1.2,E,8,0.062,F,8,0.190,F,8,0,1,D,9,45,C,8
01/01/1996,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,0.2,B,8,-1.0,B,8,91,A,7,968,B,8,10,B,8,5.4,B,8,8000,C,8,191,B,8,1.2,E,8,0.062,F,8,0.190,F,8,0,1,D,9,45,C,8
01/01/1996,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,0.5,A,7,-0.6,A,7,92,A,7,968,A,7,360,A,7,5.6,A,7,8000,B,7,210,A,7,1.2,E,8,0.062,F,8,0.190,F,8,0,1,D,9,45,C,8
01/01/1996,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,0.5,A,7,-0.6,A,7,92,A,7,968,A,7,360,A,7,5.6,A,7,8000,B,7,210,A,7,1.1,E,8,0.062,F,8,0.190,F,8,0,1,D,9,45,C,8
01/01/1996,08:00,8,389,0,1,11,0,1,16,0,1,11,0,1,11,0,1,16,0,1,11,0,1,22,10,A,7,10,E,9,0.5,A,7,-0.6,A,7,92,A,7,969,A,7,360,A,7,4.1,A,7,8000,B,7,210,A,7,1.1,E,8,0.062,F,8,0.190,F,8,0,1,D,9,45,C,8
01/01/1996,09:00,177,1415,22,1,11,0,1,16,22,1,11,26,1,11,0,1,16,26,1,11,84,1,22,10,A,7,10,E,9,0.5,A,7,-1.2,A,7,87,A,7,969,A,7,360,A,7,6.1,A,7,4800,B,7,210,A,7,1.1,E,8,0.062,F,8,0.190,F,8,0,1,D,9,45,C,8
01/01/1996,10:00,384,1415,45,1,11,0,1,16,45,1,11,54,1,11,0,1,16,54,1,11,190,1,22,10,A,7,10,E,9,0.5,A,7,-0.6,A,7,92,A,7,969,A,7,360,A,7,6.6,A,7,3200,B,7,150,A,7,1.1,E,8,0.062,F,8,0.190,F,8,0,1,D,9,45,C,8
