725124,"BUTLER CO. (AWOS)",PA,-5.0,40.783,-79.950,380
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2005,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,11.0,A,7,9.0,A,7,87,A,7,968,E,9,240,A,7,2.6,A,7,16100,B,7,1140,A,7,1.4,E,8,0.093,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2005,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,11.0,A,7,9.0,A,7,87,A,7,968,E,9,250,A,7,4.1,A,7,16100,B,7,570,A,7,1.4,E,8,0.093,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2005,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,5,A,7,11.0,A,7,8.0,A,7,82,A,7,968,E,9,250,A,7,2.6,A,7,16100,B,7,77777,A,7,1.4,E,8,0.093,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2005,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,A,7,10.0,A,7,9.0,A,7,93,A,7,968,E,9,250,A,7,2.1,A,7,14500,B,7,1080,A,7,1.4,E,8,0.093,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2005,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,A,7,10.0,A,7,8.0,A,7,87,A,7,968,E,9,250,A,7,2.6,A,7,16100,B,7,660,A,7,1.4,E,8,0.093,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2005,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,9.0,A,7,8.0,A,7,93,A,7,968,E,9,270,A,7,2.6,A,7,14500,B,7,600,A,7,1.3,E,8,0.093,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2005,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,5,A,7,8.0,A,7,7.0,A,7,93,A,7,968,E,9,270,A,7,3.6,A,7,12900,B,7,77777,A,7,1.3,E,8,0.093,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2005,08:00,6,342,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,A,7,9.0,A,7,7.0,A,7,87,A,7,968,E,9,300,A,7,3.6,A,7,12900,B,7,420,A,7,1.2,E,8,0.093,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2005,09:00,159,1415,97,2,9,270,2,21,66,2,9,94,2,9,146,2,21,78,2,9,129,2,25,10,E,9,9,A,7,8.0,A,7,4.0,A,7,76,A,7,968,E,9,350,A,7,3.6,A,7,16100,B,7,480,A,7,1.2,E,8,0.093,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2005,10:00,356,1415,228,2,9,590,2,21,79,2,9,231,2,9,485,2,21,108,2,9,138,2,25,10,E,9,10,A,7,7.0,A,7,3.0,A,7,76,A,7,968,E,9,340,A,7,3.6,A,7,16100,B,7,570,A,7,1.1,E,8,0.093,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/2005,11:00,506,1415,349,2,9,726,2,21,88,2,9,362,2,9,671,2,21,121,2,9,168,2,25,10,E,9,9,A,7,8.0,A,7,2.0,A,7,66,A,7,968,E,9,310,A,7,3.6,A,7,16100,B,7,570,A,7,1.1,E,8,0.093,F,8,0.180,F,8,0,1,D,9,00,C,8
