725125,"DUBOIS FAA AP",PA,-5.0,41.183,-78.900,553
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1995,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,1.6,A,7,0.0,A,7,89,A,7,949,E,9,0,A,7,0.0,A,7,800,B,7,30,A,7,1.1,E,8,0.084,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1995,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,2.2,A,7,0.5,A,7,89,A,7,949,E,9,130,A,7,1.5,A,7,1600,B,7,30,A,7,1.1,E,8,0.084,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1995,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,2.7,A,7,1.1,A,7,89,A,7,949,E,9,160,A,7,1.5,A,7,1200,B,7,30,A,7,1.1,E,8,0.084,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1995,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,3.3,A,7,1.1,A,7,85,A,7,949,E,9,0,A,7,0.0,A,7,1200,B,7,30,A,7,1.1,E,8,0.084,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1995,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,5.0,A,7,2.7,A,7,85,A,7,949,E,9,230,A,7,3.0,A,7,800,B,7,30,A,7,1.1,E,8,0.084,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1995,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,5.5,A,7,3.3,A,7,86,A,7,949,E,9,250,A,7,4.6,A,7,800,B,7,30,A,7,1.1,E,8,0.084,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1995,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,5.5,A,7,3.3,A,7,86,A,7,949,E,9,250,A,7,4.1,A,7,400,B,7,30,A,7,1.1,E,8,0.084,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1995,08:00,9,413,0,1,11,0,1,17,0,1,11,0,1,11,0,1,17,0,1,11,0,1,23,10,A,7,10,E,9,5.5,A,7,3.3,A,7,86,A,7,949,E,9,250,A,7,6.6,A,7,16100,B,7,90,A,7,1.1,E,8,0.084,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1995,09:00,168,1415,17,1,11,0,1,17,17,1,11,20,1,11,0,1,17,20,1,11,67,1,23,10,A,7,10,E,9,5.5,A,7,3.3,A,7,86,A,7,949,E,9,260,A,7,4.6,A,7,16100,B,7,90,A,7,1.1,E,8,0.084,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1995,10:00,361,1415,46,1,11,0,1,17,46,1,11,54,1,11,0,1,17,54,1,11,190,1,23,10,A,7,10,E,9,5.5,A,7,3.3,A,7,86,A,7,949,E,9,250,A,7,6.1,A,7,2400,B,7,60,A,7,1.1,E,8,0.084,F,8,0.180,F,8,0,1,D,9,00,C,8
