725150,"BINGHAMTON EDWIN A LINK FIELD",NY,-5.0,42.200,-75.983,488
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1986,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-0.6,A,7,-5.0,A,7,72,A,7,949,A,7,310,A,7,5.7,A,7,16100,B,7,910,A,7,0.8,E,8,0.000,?,0,0.00,?,0,0,1,D,9,85,C,8
01/01/1986,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-0.6,A,7,-6.7,A,7,64,A,7,950,A,7,290,A,7,6.2,A,7,24100,B,7,910,A,7,0.7,E,8,0.000,?,0,0.00,?,0,0,1,D,9,85,C,8
01/01/1986,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-1.7,A,7,-6.7,A,7,69,A,7,951,A,7,300,A,7,7.2,A,7,24100,B,7,910,A,7,0.7,E,8,0.000,?,0,0.00,?,0,0,1,D,9,85,C,8
01/01/1986,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-2.2,A,7,-7.8,A,7,66,A,7,952,A,7,300,A,7,6.2,A,7,24100,B,7,1070,A,7,0.7,E,8,0.000,?,0,0.00,?,0,0,1,D,9,85,C,8
01/01/1986,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-2.8,A,7,-8.3,A,7,66,A,7,952,A,7,290,A,7,6.2,A,7,24100,B,7,2290,A,7,0.6,E,8,0.000,?,0,0.00,?,0,0,1,D,9,85,C,8
01/01/1986,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-3.3,A,7,-8.9,A,7,66,A,7,953,A,7,300,A,7,5.7,A,7,19300,B,7,1070,A,7,0.6,E,8,0.000,?,0,0.00,?,0,0,1,D,9,85,C,8
01/01/1986,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-4.4,A,7,-7.2,A,7,81,A,7,954,A,7,310,A,7,6.2,A,7,8000,B,7,910,A,7,0.7,E,8,0.000,?,0,0.00,?,0,0,1,D,9,85,C,8
01/01/1986,08:00,19,601,1,1,13,0,1,13,1,1,18,0,1,13,0,1,13,0,1,18,0,1,26,10,A,7,10,A,7,-4.4,A,7,-8.3,A,7,75,A,7,955,A,7,290,A,7,5.2,A,7,19300,B,7,1370,A,7,0.7,E,8,0.000,F,8,0.00,?,0,0,1,D,9,85,C,8
01/01/1986,09:00,192,1415,43,1,13,5,1,13,42,1,18,48,1,13,0,1,13,48,1,18,144,1,26,10,A,7,10,A,7,-4.4,A,7,-9.4,A,7,69,A,7,956,A,7,290,A,7,7.7,A,7,24100,B,7,1680,A,7,0.6,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1986,10:00,374,1415,146,1,13,97,1,13,120,1,18,157,1,13,84,1,13,135,1,18,265,1,26,7,A,7,7,A,7,-4.4,A,7,-12.8,A,7,53,A,7,957,A,7,280,A,7,8.8,A,7,24100,B,7,1680,A,7,0.5,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1986,11:00,506,1415,288,1,13,397,1,13,145,1,18,296,1,13,369,1,13,163,1,18,285,1,26,3,A,7,3,A,7,-4.4,A,7,-12.8,A,7,53,A,7,958,A,7,290,A,7,8.8,A,7,24100,B,7,77777,A,7,0.5,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1986,12:00,579,1415,185,1,9,8,1,13,182,1,18,207,1,9,6,1,13,204,1,18,659,1,24,10,A,7,10,A,7,-4.4,A,7,-10.6,A,7,63,A,7,957,A,7,300,A,7,6.2,A,7,24100,B,7,1070,A,7,0.6,E,8,0.000,F,8,0.00,?,0,0,1,D,9,71,C,8
01/01/1986,13:00,587,1415,384,1,13,589,1,13,139,1,18,405,1,13,570,1,13,167,1,18,275,1,26,4,A,7,4,A,7,-4.4,A,7,-10.6,A,7,63,A,7,957,A,7,310,A,7,7.2,A,7,24100,B,7,77777,A,7,0.6,E,8,0.000,F,8,0.00,?,0,0,1,D,9,26,C,8
01/01/1986,14:00,531,1415,339,1,9,622,1,13,106,1,18,350,1,9,577,1,13,132,1,18,199,1,24,1,A,7,1,A,7,-3.9,A,7,-13.3,A,7,48,A,7,957,A,7,290,A,7,6.7,A,7,24100,B,7,77777,A,7,0.5,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1986,15:00,413,1415,245,1,9,584,1,13,76,1,18,254,1,9,509,1,13,105,1,18,140,1,24,0,A,7,0,A,7,-3.9,A,7,-13.3,A,7,48,A,7,957,A,7,290,A,7,4.1,A,7,24100,B,7,77777,A,7,0.5,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1986,16:00,242,1415,114,1,13,368,1,13,52,1,18,117,1,13,261,1,13,72,1,18,90,1,26,0,A,7,0,A,7,-3.9,A,7,-13.3,A,7,48,A,7,957,A,7,270,A,7,5.2,A,7,24100,B,7,77777,A,7,0.5,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1986,17:00,48,955,19,1,13,31,1,13,16,1,18,20,1,13,12,1,13,19,1,18,33,1,26,2,A,7,2,A,7,-5.6,A,7,-13.3,A,7,55,A,7,958,A,7,240,A,7,3.6,A,7,40200,B,7,77777,A,7,0.5,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1986,18:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,A,7,1,A,7,-6.1,A,7,-13.9,A,7,55,A,7,958,A,7,210,A,7,2.6,A,7,40200,B,7,77777,A,7,0.5,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1986,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,A,7,-5.6,A,7,-14.4,A,7,50,A,7,958,A,7,210,A,7,3.6,A,7,40200,B,7,77777,A,7,0.5,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1986,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,A,7,8,A,7,-6.1,A,7,-14.4,A,7,52,A,7,958,A,7,220,A,7,3.6,A,7,32200,B,7,3050,A,7,0.5,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1986,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,A,7,8,A,7,-6.1,A,7,-13.9,A,7,55,A,7,958,A,7,190,A,7,4.1,A,7,32200,B,7,2740,A,7,0.5,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1986,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-6.1,A,7,-13.3,A,7,57,A,7,958,A,7,220,A,7,5.2,A,7,32200,B,7,2740,A,7,0.5,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1986,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-5.6,A,7,-12.8,A,7,57,A,7,959,A,7,230,A,7,4.1,A,7,24100,B,7,2740,A,7,0.5,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1986,24:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,9,A,7,-5.6,A,7,-13.9,A,7,52,A,7,959,A,7,230,A,7,4.1,A,7,24100,B,7,2740,A,7,0.5,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
