725190,"SYRACUSE HANCOCK INT'L ARPT",NY,-5.0,43.117,-76.100,125
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1980,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-1.1,A,7,-3.9,A,7,82,A,7,1000,A,7,0,A,7,0.0,A,7,11300,B,7,980,A,7,0.9,E,8,0.000,?,0,0.00,?,0,0,1,D,9,03,C,8
01/01/1980,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-0.9,B,8,-3.3,B,8,85,B,8,1000,B,8,310,B,8,0.7,B,8,11300,C,8,980,B,8,0.9,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1980,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-0.8,B,8,-2.6,B,8,89,B,8,1000,B,8,270,B,8,1.4,B,8,11300,C,8,980,B,8,0.9,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1980,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-0.6,A,7,-1.7,A,7,92,A,7,1000,A,7,220,A,7,2.1,A,7,11300,B,7,980,A,7,1.0,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1980,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-0.4,B,8,-1.8,B,8,91,B,8,1000,B,8,220,B,8,2.3,B,8,10200,C,8,980,B,8,1.0,E,8,0.000,?,0,0.00,?,0,0,1,D,9,45,C,8
01/01/1980,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-0.2,B,8,-1.8,B,8,90,B,8,1000,B,8,220,B,8,2.4,B,8,9100,C,8,980,B,8,1.0,E,8,0.000,?,0,0.00,?,0,0,1,D,9,45,C,8
01/01/1980,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,0.0,A,7,-1.7,A,7,89,A,7,1000,A,7,220,A,7,2.6,A,7,8000,B,7,980,A,7,1.0,E,8,0.000,?,0,0.00,?,0,0,1,D,9,10,C,8
01/01/1980,08:00,13,531,0,1,13,0,1,9,0,1,13,0,1,13,0,1,9,0,1,13,0,1,21,10,B,8,10,B,8,0.4,B,8,-2.1,B,8,87,B,8,1000,B,8,270,B,8,1.7,B,8,8000,C,8,980,B,8,1.0,E,8,0.000,F,8,0.00,?,0,0,1,D,9,45,C,8
01/01/1980,09:00,176,1415,37,1,13,13,1,9,36,1,13,41,1,13,9,1,9,40,1,13,90,1,21,10,B,8,10,B,8,0.7,B,8,-2.1,B,8,84,B,8,1000,B,8,310,B,8,0.9,B,8,8000,C,8,980,B,8,1.0,E,8,0.000,F,8,0.00,?,0,0,1,D,9,45,C,8
01/01/1980,10:00,355,1415,86,1,13,2,1,9,86,1,13,97,1,13,1,1,9,97,1,13,308,1,21,10,A,7,10,A,7,1.1,A,7,-1.7,A,7,82,A,7,1000,A,7,0,A,7,0.0,A,7,8000,B,7,980,A,7,1.0,E,8,0.000,F,8,0.00,?,0,0,1,D,9,45,C,8
