725210,"AKRON AKRON-CANTON REG AP",OH,-5.0,40.917,-81.433,368
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1976,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,1.1,A,7,-3.9,A,7,70,A,7,966,A,7,10,A,7,6.2,A,7,16100,B,7,1520,A,7,0.8,E,8,0.000,?,0,0.00,?,0,0,1,D,9,02,C,8
01/01/1976,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,1.7,A,7,-3.9,A,7,67,A,7,967,A,7,360,A,7,6.2,A,7,16100,B,7,1830,A,7,0.8,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1976,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,1.7,A,7,-3.9,A,7,67,A,7,969,A,7,10,A,7,5.2,A,7,16100,B,7,1830,A,7,0.8,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1976,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,A,7,5,A,7,0.6,A,7,-4.4,A,7,70,A,7,970,A,7,360,A,7,4.6,A,7,16100,B,7,77777,A,7,0.8,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1976,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,1.1,A,7,-4.4,A,7,67,A,7,971,A,7,360,A,7,5.2,A,7,16100,B,7,580,A,7,0.8,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1976,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,0.6,A,7,-4.4,A,7,70,A,7,972,A,7,360,A,7,5.2,A,7,16100,B,7,490,A,7,0.8,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1976,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,0.6,A,7,-3.3,A,7,75,A,7,973,A,7,360,A,7,4.6,A,7,16100,B,7,490,A,7,0.9,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1976,08:00,2,177,1,1,13,0,1,9,1,1,13,0,1,13,0,1,9,0,1,13,0,1,21,10,A,7,10,A,7,1.1,A,7,-3.9,A,7,70,A,7,974,A,7,10,A,7,7.7,A,7,11300,B,7,430,A,7,0.8,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1976,09:00,136,1415,35,1,13,0,1,9,35,1,13,39,1,13,0,1,9,39,1,13,112,1,21,10,A,7,10,A,7,0.6,A,7,-5.0,A,7,67,A,7,976,A,7,40,A,7,6.2,A,7,11300,B,7,520,A,7,0.8,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1976,10:00,335,1415,88,1,13,0,1,9,88,1,13,98,1,13,0,1,9,98,1,13,304,1,21,10,A,7,10,A,7,0.6,A,7,-5.0,A,7,67,A,7,976,A,7,50,A,7,6.2,A,7,11300,B,7,520,A,7,0.8,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1976,11:00,490,1415,144,1,9,0,1,9,144,1,13,161,1,9,0,1,9,161,1,13,514,1,18,10,A,7,10,A,7,1.1,A,7,-4.4,A,7,67,A,7,977,A,7,40,A,7,7.7,A,7,11300,B,7,580,A,7,0.8,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1976,12:00,587,1415,182,1,9,0,1,9,182,1,13,204,1,9,0,1,9,204,1,13,665,1,18,10,A,7,10,A,7,1.1,A,7,-4.4,A,7,67,A,7,977,A,7,360,A,7,2.6,A,7,11300,B,7,610,A,7,0.8,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1976,13:00,619,1415,185,1,9,1,1,9,185,1,13,209,1,9,1,1,9,208,1,13,695,1,18,10,A,7,10,A,7,1.1,A,7,-4.4,A,7,67,A,7,976,A,7,50,A,7,4.6,A,7,11300,B,7,610,A,7,0.8,E,8,0.000,F,8,0.00,?,0,0,1,D,9,02,C,8
01/01/1976,14:00,585,1415,172,1,9,1,1,9,172,1,13,194,1,9,1,1,9,193,1,13,641,1,18,10,A,7,10,A,7,0.6,A,7,-5.6,A,7,64,A,7,976,A,7,10,A,7,5.2,A,7,11300,B,7,670,A,7,0.8,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1976,15:00,486,1415,148,1,9,1,1,9,147,1,13,164,1,9,1,1,9,164,1,13,518,1,18,10,A,7,10,A,7,0.6,A,7,-5.6,A,7,64,A,7,977,A,7,360,A,7,2.6,A,7,11300,B,7,670,A,7,0.8,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1976,16:00,330,1415,87,1,13,0,1,9,87,1,13,97,1,13,0,1,9,97,1,13,300,1,21,10,A,7,10,A,7,2.2,A,7,-6.1,A,7,55,A,7,978,A,7,70,A,7,3.1,A,7,16100,B,7,610,A,7,0.8,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1976,17:00,130,1415,33,1,13,0,1,9,33,1,13,37,1,13,0,1,9,37,1,13,106,1,21,10,A,7,10,A,7,0.6,A,7,-5.6,A,7,64,A,7,978,A,7,110,A,7,2.6,A,7,16100,B,7,580,A,7,0.8,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1976,18:00,1,153,2,1,13,0,1,9,2,1,13,0,1,13,0,1,9,0,1,13,0,1,21,10,A,7,10,A,7,0.0,A,7,-6.1,A,7,64,A,7,979,A,7,120,A,7,2.6,A,7,16100,B,7,550,A,7,0.7,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
