725235,"JAMESTOWN (AWOS)",NY,-5.0,42.150,-79.267,525
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1998,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-11.3,B,8,-13.5,B,8,82,A,7,952,E,9,250,B,8,2.8,B,8,4000,C,8,210,B,8,0.4,E,8,0.077,F,8,0.270,F,8,0,1,D,9,00,C,8
01/01/1998,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-11.0,A,7,-13.0,A,7,84,A,7,952,E,9,230,A,7,2.6,A,7,4000,B,7,150,A,7,0.4,E,8,0.077,F,8,0.270,F,8,0,1,D,9,00,C,8
01/01/1998,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-10.9,B,8,-12.8,B,8,84,A,7,952,E,9,230,B,8,3.0,B,8,5728,C,8,0,B,8,0.4,E,8,0.077,F,8,0.270,F,8,0,1,D,9,00,C,8
01/01/1998,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-10.9,B,8,-12.7,B,8,85,A,7,952,E,9,230,B,8,3.4,B,8,7457,C,8,0,B,8,0.4,E,8,0.077,F,8,0.270,F,8,0,1,D,9,00,C,8
01/01/1998,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-10.6,B,8,-12.3,B,8,86,A,7,952,E,9,230,B,8,3.8,B,8,9185,C,8,0,B,8,0.4,E,8,0.077,F,8,0.270,F,8,0,1,D,9,00,C,8
01/01/1998,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-10.5,B,8,-12.2,B,8,86,A,7,952,E,9,230,B,8,4.1,B,8,10914,C,8,0,B,8,0.4,E,8,0.077,F,8,0.270,F,8,0,1,D,9,00,C,8
01/01/1998,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-10.2,B,8,-11.6,B,8,88,A,7,952,E,9,230,B,8,4.5,B,8,12642,C,8,0,B,8,0.4,E,8,0.077,F,8,0.270,F,8,0,1,D,9,00,C,8
01/01/1998,08:00,4,295,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,9,B,8,9,B,8,-11.1,B,8,-12.8,B,8,86,A,7,952,E,9,230,B,8,5.4,B,8,14371,C,8,3355,B,8,0.5,E,8,0.077,F,8,0.270,F,8,0,1,D,9,00,C,8
01/01/1998,09:00,148,1415,50,2,9,0,2,21,50,2,9,54,2,9,0,2,21,54,2,9,143,2,25,9,E,9,9,A,7,-11.0,A,7,-13.0,A,7,84,A,7,952,E,9,220,A,7,5.7,A,7,16100,B,7,2400,A,7,0.5,E,8,0.077,F,8,0.270,F,8,0,1,D,9,00,C,8
01/01/1998,10:00,339,1415,214,2,9,367,2,21,126,2,9,221,2,9,300,2,21,148,2,9,266,2,25,9,E,9,9,A,7,-10.0,A,7,-14.0,A,7,70,A,7,952,E,9,210,A,7,5.7,A,7,16100,B,7,2400,A,7,0.5,E,8,0.077,F,8,0.270,F,8,0,1,D,9,00,C,8
01/01/1998,11:00,483,1415,151,2,9,37,2,21,139,2,9,166,2,9,35,2,21,154,2,9,374,2,25,9,E,9,9,A,7,-9.0,A,7,-13.0,A,7,70,A,7,952,E,9,210,A,7,5.7,A,7,16100,B,7,2100,A,7,0.5,E,8,0.077,F,8,0.270,F,8,0,1,D,9,00,C,8
01/01/1998,12:00,570,1415,187,2,9,30,2,21,175,2,9,205,2,9,29,2,21,193,2,9,485,2,25,10,E,9,10,A,7,-8.0,A,7,-13.0,A,7,64,A,7,952,E,9,210,A,7,7.2,A,7,16100,B,7,2100,A,7,0.6,E,8,0.077,F,8,0.270,F,8,0,1,D,9,00,C,8
01/01/1998,13:00,592,1415,198,2,9,30,2,21,185,2,9,221,2,9,24,2,21,211,2,9,675,2,25,9,E,9,9,A,7,-7.0,A,7,-13.0,A,7,59,A,7,952,E,9,200,A,7,7.2,A,7,16100,B,7,3900,A,7,0.6,E,8,0.077,F,8,0.270,F,8,0,1,D,9,00,C,8
