725246,"MANSFIELD LAHM MUNICIPAL ARPT",OH,-5.0,40.817,-82.517,395
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1985,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,11.7,A,7,9.6,B,8,87,A,7,965,B,8,160,B,8,6.0,B,8,11300,C,8,370,B,8,1.8,E,8,0.000,?,0,0.00,?,0,13,1,D,9,00,C,8
01/01/1985,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,12.8,A,7,11.5,B,8,92,A,7,964,B,8,170,B,8,6.6,B,8,11300,C,8,410,B,8,1.9,E,8,0.000,?,0,0.00,?,0,3,1,D,9,00,C,8
01/01/1985,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,13.9,A,7,12.5,B,8,91,A,7,963,B,8,170,B,8,7.2,B,8,11300,C,8,450,B,8,2.0,E,8,0.000,?,0,0.00,?,0,13,1,D,9,00,C,8
01/01/1985,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,13.9,A,7,11.4,B,8,85,A,7,962,B,8,180,B,8,7.9,B,8,11300,C,8,490,B,8,2.0,E,8,0.000,?,0,0.00,?,0,28,1,D,9,00,C,8
01/01/1985,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,13.9,A,7,13.7,B,8,99,A,7,961,B,8,180,B,8,8.5,B,8,11300,C,8,530,B,8,2.1,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1985,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,15.6,A,7,11.8,B,8,78,A,7,960,B,8,190,B,8,9.2,B,8,11300,C,8,570,B,8,2.1,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1985,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,16.1,A,7,12.8,A,7,81,A,7,959,A,7,190,A,7,9.8,A,7,11300,B,7,610,A,7,2.2,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1985,08:00,0,83,1,1,13,0,1,9,1,1,13,0,1,13,0,1,9,0,1,13,0,1,21,10,A,7,10,A,7,15.6,A,7,12.8,A,7,84,A,7,959,A,7,180,A,7,11.3,A,7,9700,B,7,610,A,7,2.2,E,8,0.000,F,8,0.00,?,0,0,1,D,9,45,C,8
01/01/1985,09:00,121,1415,20,1,13,0,1,9,20,1,13,23,1,13,0,1,9,23,1,13,72,1,21,10,A,7,10,A,7,14.4,A,7,12.2,A,7,87,A,7,959,A,7,180,A,7,11.3,A,7,9700,B,7,490,A,7,2.2,E,8,0.000,F,8,0.00,?,0,30,1,D,9,45,C,8
01/01/1985,10:00,324,1415,58,1,13,0,1,9,58,1,13,67,1,13,0,1,9,67,1,13,222,1,21,10,A,7,10,A,7,14.4,A,7,12.2,A,7,87,A,7,959,A,7,180,A,7,11.8,A,7,4000,B,7,490,A,7,2.2,E,8,0.000,F,8,0.00,?,0,15,1,D,9,45,C,8
