725336,"DELAWARE CO JOHNSON",IN,-5.0,40.233,-85.400,293
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2005,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,11.0,A,7,11.0,A,7,100,A,7,989,A,7,280,A,7,2.1,A,7,4000,B,7,780,A,7,1.6,E,8,0.089,F,8,0.170,F,8,0,1,D,9,10,C,8
01/01/2005,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,10.0,A,7,9.0,A,7,93,A,7,990,A,7,320,A,7,3.6,A,7,8000,B,7,840,A,7,1.6,E,8,0.089,F,8,0.170,F,8,0,1,D,9,10,C,8
01/01/2005,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,8.0,A,7,6.0,A,7,87,A,7,990,A,7,340,A,7,3.6,A,7,16100,B,7,900,A,7,1.6,E,8,0.089,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,7.0,A,7,5.0,A,7,87,A,7,991,A,7,320,A,7,2.1,A,7,16100,B,7,1200,A,7,1.6,E,8,0.089,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,5.0,A,7,3.0,A,7,87,A,7,990,A,7,60,A,7,3.6,A,7,16100,B,7,77777,A,7,1.7,E,8,0.089,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,4.0,A,7,2.0,A,7,87,A,7,991,A,7,360,A,7,1.5,A,7,16100,B,7,600,A,7,1.8,E,8,0.089,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,4.0,A,7,1.0,A,7,81,A,7,992,A,7,80,A,7,3.6,A,7,16100,B,7,660,A,7,1.9,E,8,0.089,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,08:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,3.8,B,8,1.0,B,8,82,A,7,993,B,8,90,B,8,3.6,B,8,16100,C,8,600,B,8,2.0,E,8,0.089,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,09:00,89,1285,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,4.0,A,7,1.0,A,7,81,A,7,993,A,7,90,A,7,3.6,A,7,16100,B,7,540,A,7,2.2,E,8,0.089,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,10:00,298,1415,32,2,9,0,2,21,32,2,9,38,2,9,0,2,21,38,2,9,132,2,25,10,E,9,10,A,7,4.0,A,7,1.0,A,7,81,A,7,994,A,7,120,A,7,4.6,A,7,16100,B,7,480,A,7,2.4,E,8,0.089,F,8,0.170,F,8,0,1,D,9,00,C,8
