725470,"DUBUQUE REGIONAL AP",IA,-6.0,42.400,-90.700,322
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1996,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-1.1,A,7,-2.2,A,7,91,A,7,973,A,7,50,A,7,3.6,A,7,2800,B,7,91,A,7,0.8,E,8,0.072,F,8,0.430,F,8,0,1,D,9,45,C,8
01/01/1996,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-1.1,A,7,-1.7,A,7,95,A,7,973,A,7,30,A,7,2.1,A,7,2800,B,7,91,A,7,0.8,E,8,0.072,F,8,0.430,F,8,0,1,D,9,45,C,8
01/01/1996,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-1.1,A,7,-1.7,A,7,95,A,7,974,A,7,0,A,7,0.0,A,7,2800,B,7,91,A,7,0.8,E,8,0.072,F,8,0.430,F,8,0,1,D,9,45,C,8
01/01/1996,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-1.1,A,7,-1.7,A,7,95,A,7,973,A,7,10,A,7,1.5,A,7,2800,B,7,152,A,7,0.8,E,8,0.072,F,8,0.430,F,8,0,1,D,9,45,C,8
01/01/1996,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-1.1,A,7,-1.7,A,7,95,A,7,973,A,7,10,A,7,2.6,A,7,2400,B,7,91,A,7,0.8,E,8,0.072,F,8,0.430,F,8,0,1,D,9,45,C,8
01/01/1996,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-1.7,A,7,-2.2,A,7,96,A,7,974,A,7,10,A,7,3.1,A,7,2000,B,7,91,A,7,0.8,E,8,0.072,F,8,0.430,F,8,0,1,D,9,45,C,8
01/01/1996,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-1.7,A,7,-2.2,A,7,96,A,7,974,A,7,20,A,7,3.1,A,7,1600,B,7,30,A,7,0.8,E,8,0.072,F,8,0.430,F,8,0,1,D,9,45,C,8
01/01/1996,08:00,19,625,1,1,10,0,1,16,1,1,10,0,1,10,0,1,16,0,1,10,0,1,21,10,E,9,10,E,9,-1.7,A,7,-2.2,A,7,96,A,7,974,A,7,40,A,7,2.6,A,7,1200,B,7,30,A,7,0.8,E,8,0.072,F,8,0.430,F,8,0,1,D,9,45,C,8
01/01/1996,09:00,193,1415,22,1,10,0,1,16,22,1,10,26,1,10,0,1,16,26,1,10,86,1,21,10,E,9,10,E,9,-1.7,A,7,-2.2,A,7,96,A,7,974,A,7,30,A,7,3.6,A,7,1200,B,7,30,A,7,0.8,E,8,0.072,F,8,0.430,F,8,0,1,D,9,45,C,8
01/01/1996,10:00,373,1415,52,1,10,0,1,16,52,1,10,61,1,10,0,1,16,61,1,10,213,1,21,10,E,9,10,E,9,-1.1,A,7,-2.2,A,7,91,A,7,975,A,7,50,A,7,2.6,A,7,1600,B,7,91,A,7,0.8,E,8,0.072,F,8,0.430,F,8,0,1,D,9,45,C,8
