725495,"SHELDON",IA,-6.0,43.217,-95.833,432
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2005,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,4,E,9,-8.0,A,7,-13.0,A,7,64,A,7,962,E,9,70,A,7,7.7,A,7,16100,B,7,77777,A,7,0.8,E,8,0.061,F,8,0.210,F,8,0,1,D,9,00,C,8
01/01/2005,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,5,E,9,-8.0,A,7,-13.0,A,7,64,A,7,962,E,9,60,A,7,8.2,A,7,16100,B,7,77777,A,7,0.9,E,8,0.061,F,8,0.210,F,8,0,1,D,9,00,C,8
01/01/2005,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,5,B,8,-8.0,B,8,-13.0,B,8,64,A,7,962,E,9,70,B,8,7.7,B,8,16100,C,8,77777,B,8,0.9,E,8,0.061,F,8,0.210,F,8,0,1,D,9,00,C,8
01/01/2005,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,5,E,9,-8.0,A,7,-13.0,A,7,64,A,7,962,E,9,80,A,7,7.2,A,7,16100,B,7,77777,A,7,1.0,E,8,0.061,F,8,0.210,F,8,0,1,D,9,00,C,8
01/01/2005,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,-8.0,A,7,-13.0,A,7,64,A,7,962,E,9,80,A,7,9.3,A,7,16100,B,7,2700,A,7,1.2,E,8,0.061,F,8,0.210,F,8,0,1,D,9,00,C,8
01/01/2005,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,-8.0,A,7,-13.0,A,7,64,A,7,962,E,9,90,A,7,7.7,A,7,16100,B,7,1800,A,7,1.3,E,8,0.061,F,8,0.210,F,8,0,1,D,9,00,C,8
01/01/2005,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-7.0,A,7,-12.0,A,7,64,A,7,962,E,9,90,A,7,8.2,A,7,16100,B,7,870,A,7,1.4,E,8,0.061,F,8,0.210,F,8,0,1,D,9,00,C,8
01/01/2005,08:00,0,59,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-6.0,A,7,-10.0,A,7,70,A,7,962,E,9,100,A,7,8.2,A,7,6400,B,7,780,A,7,1.6,E,8,0.061,F,8,0.210,F,8,0,1,D,9,00,C,8
01/01/2005,09:00,111,1415,34,2,9,0,2,21,34,2,9,37,2,9,0,2,21,37,2,9,102,2,25,10,E,9,10,A,7,-6.0,A,7,-9.0,A,7,77,A,7,962,E,9,100,A,7,9.3,A,7,16100,B,7,540,A,7,1.7,E,8,0.061,F,8,0.210,F,8,0,1,D,9,00,C,8
01/01/2005,10:00,302,1415,38,2,9,0,2,21,38,2,9,45,2,9,0,2,21,45,2,9,153,2,25,10,E,9,10,E,9,-6.0,A,7,-8.0,A,7,84,A,7,962,E,9,110,A,7,9.3,A,7,8000,B,7,420,A,7,1.7,E,8,0.061,F,8,0.210,F,8,0,1,D,9,00,C,8
