725527,"TEKAMAH (ASOS)",NE,-6.0,41.767,-96.167,312
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2005,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,3,E,9,-6.0,A,7,-12.0,A,7,59,A,7,985,A,7,60,A,7,3.1,A,7,16100,B,7,77777,A,7,1.0,E,8,0.065,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2005,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,7,E,9,-6.0,A,7,-12.0,A,7,59,A,7,985,A,7,60,A,7,3.6,A,7,16100,B,7,77777,A,7,1.1,E,8,0.065,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2005,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-4.0,A,7,-11.0,A,7,54,A,7,985,A,7,60,A,7,4.6,A,7,16100,B,7,1350,A,7,1.3,E,8,0.065,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2005,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3.0,A,7,-12.0,A,7,46,A,7,985,A,7,90,A,7,4.6,A,7,16100,B,7,960,A,7,1.5,E,8,0.065,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2005,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-4.0,A,7,-12.0,A,7,50,A,7,984,A,7,80,A,7,6.2,A,7,16100,B,7,750,A,7,1.7,E,8,0.065,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2005,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3.0,A,7,-11.0,A,7,50,A,7,983,A,7,90,A,7,8.2,A,7,16100,B,7,810,A,7,1.9,E,8,0.065,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2005,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3.0,A,7,-10.0,A,7,55,A,7,983,A,7,110,A,7,6.2,A,7,16100,B,7,690,A,7,1.8,E,8,0.065,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2005,08:00,1,153,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-3.0,A,7,-8.0,A,7,65,A,7,983,A,7,100,A,7,6.2,A,7,16100,B,7,570,A,7,1.8,E,8,0.065,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2005,09:00,127,1415,45,2,9,0,2,21,45,2,9,49,2,9,0,2,21,49,2,9,125,2,25,10,E,9,10,A,7,-3.0,A,7,-6.0,A,7,77,A,7,982,A,7,100,A,7,5.7,A,7,6400,B,7,450,A,7,1.8,E,8,0.065,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2005,10:00,324,1415,76,2,9,0,2,21,76,2,9,85,2,9,0,2,21,85,2,9,271,2,25,10,E,9,10,E,9,-3.0,A,7,-4.0,A,7,92,A,7,982,A,7,100,A,7,5.1,A,7,2000,B,7,180,A,7,1.9,E,8,0.065,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2005,11:00,476,1415,119,2,9,0,2,21,119,2,9,134,2,9,0,2,21,134,2,9,446,2,25,10,E,9,10,E,9,-2.0,A,7,-3.0,A,7,92,A,7,981,A,7,120,A,7,4.6,A,7,1600,B,7,150,A,7,2.0,E,8,0.065,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2005,12:00,571,1415,157,2,9,6,2,21,154,2,9,177,2,9,4,2,21,175,2,9,588,2,25,10,E,9,10,E,9,-2.0,A,7,-3.0,A,7,92,A,7,980,A,7,120,A,7,6.7,A,7,1600,B,7,150,A,7,2.0,E,8,0.065,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2005,13:00,602,1415,163,2,9,6,2,21,160,2,9,184,2,9,5,2,21,182,2,9,622,2,25,10,E,9,10,A,7,-1.0,A,7,-2.0,A,7,92,A,7,978,A,7,120,A,7,5.7,A,7,1600,B,7,90,A,7,2.1,E,8,0.065,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2005,14:00,568,1415,156,2,9,12,2,21,152,2,9,177,2,9,9,2,21,174,2,9,581,2,25,10,E,9,10,A,7,0.0,A,7,-1.0,A,7,92,A,7,977,A,7,130,A,7,4.1,A,7,2000,B,7,90,A,7,2.1,E,8,0.065,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2005,15:00,470,1415,121,2,9,6,2,21,119,2,9,137,2,9,4,2,21,135,2,9,443,2,25,10,E,9,10,A,7,0.0,A,7,0.0,A,7,100,A,7,976,A,7,110,A,7,3.1,A,7,400,B,7,30,A,7,2.1,E,8,0.065,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2005,16:00,315,1415,74,2,9,0,2,21,74,2,9,83,2,9,0,2,21,83,2,9,263,2,25,10,E,9,10,A,7,1.0,A,7,0.0,A,7,93,A,7,977,A,7,70,A,7,1.5,A,7,400,B,7,30,A,7,2.2,E,8,0.065,F,8,0.190,F,8,3,1,D,9,00,C,8
01/01/2005,17:00,117,1415,19,2,9,0,2,21,19,2,9,22,2,9,0,2,21,22,2,9,68,2,25,10,E,9,10,A,7,1.0,A,7,0.0,A,7,93,A,7,978,A,7,330,A,7,6.2,A,7,1200,B,7,30,A,7,2.3,E,8,0.065,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2005,18:00,0,83,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,A,7,0.0,A,7,-1.0,A,7,92,A,7,979,A,7,350,A,7,5.1,A,7,3200,B,7,90,A,7,2.4,E,8,0.065,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2005,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1.0,A,7,-1.0,A,7,100,A,7,980,A,7,340,A,7,6.7,A,7,6400,B,7,150,A,7,2.2,E,8,0.065,F,8,0.190,F,8,0,1,D,9,00,C,8
