725645,"LARAMIE GENERAL BREES FIELD",WY,-7.0,41.317,-105.683,2215
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2000,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,-6.0,A,7,-15.0,A,7,45,A,7,766,A,7,190,A,7,3.1,A,7,24100,B,7,77777,A,7,0.9,E,8,0.036,F,8,0.380,F,8,0,1,D,9,00,C,8
01/01/2000,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,-4.0,A,7,-15.0,A,7,38,A,7,766,A,7,0,A,7,0.0,A,7,24100,B,7,77777,A,7,0.9,E,8,0.036,F,8,0.380,F,8,0,1,D,9,00,C,8
01/01/2000,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,-4.0,A,7,-15.0,A,7,38,A,7,766,A,7,160,A,7,5.1,A,7,24100,B,7,77777,A,7,0.8,E,8,0.036,F,8,0.380,F,8,0,1,D,9,00,C,8
01/01/2000,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,E,9,-4.0,A,7,-16.0,A,7,34,A,7,765,A,7,180,A,7,2.6,A,7,24100,B,7,77777,A,7,0.8,E,8,0.036,F,8,0.380,F,8,0,1,D,9,00,C,8
01/01/2000,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,E,9,-5.0,A,7,-16.0,A,7,38,A,7,765,A,7,180,A,7,5.1,A,7,24100,B,7,77777,A,7,0.8,E,8,0.036,F,8,0.380,F,8,0,1,D,9,00,C,8
01/01/2000,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,-8.0,A,7,-17.0,A,7,44,A,7,764,A,7,110,A,7,4.1,A,7,24100,B,7,77777,A,7,0.7,E,8,0.036,F,8,0.380,F,8,0,1,D,9,00,C,8
01/01/2000,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,B,8,3,B,8,-8.2,B,8,-16.1,B,8,49,A,7,764,B,8,110,B,8,4.6,B,8,40200,C,8,77777,B,8,0.7,E,8,0.036,F,8,0.380,F,8,0,1,D,9,00,C,8
01/01/2000,08:00,26,696,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,3,E,9,3,E,9,-8.0,A,7,-15.0,A,7,53,A,7,765,A,7,110,A,7,5.1,A,7,56300,B,7,77777,A,7,0.6,E,8,0.036,F,8,0.380,F,8,0,1,D,9,00,C,8
01/01/2000,09:00,210,1415,133,2,9,667,2,21,34,2,9,134,2,9,474,2,21,63,2,9,61,2,25,3,E,9,3,E,9,-1.0,A,7,-11.0,A,7,42,A,7,769,A,7,160,A,7,6.2,A,7,80500,B,7,77777,A,7,0.6,E,8,0.036,F,8,0.380,F,8,0,1,D,9,00,C,8
01/01/2000,10:00,394,1415,282,2,9,903,2,21,30,2,9,301,2,9,801,2,21,77,2,9,82,2,25,3,E,9,3,E,9,1.0,A,7,-9.0,A,7,43,A,7,769,A,7,200,A,7,10.3,A,7,80500,B,7,77777,A,7,0.5,E,8,0.036,F,8,0.380,F,8,0,1,D,9,00,C,8
01/01/2000,11:00,526,1415,388,2,9,968,2,21,26,2,9,417,2,9,911,2,21,76,2,9,81,2,25,5,E,9,5,E,9,3.0,A,7,-9.0,A,7,37,A,7,769,A,7,210,A,7,9.8,A,7,80500,B,7,77777,A,7,0.5,E,8,0.036,F,8,0.380,F,8,0,1,D,9,00,C,8
01/01/2000,12:00,599,1415,450,2,9,985,2,21,31,2,9,481,2,9,945,2,21,80,2,9,94,2,25,8,E,9,8,E,9,3.0,A,7,-9.0,A,7,37,A,7,768,A,7,230,A,7,8.7,A,7,80500,B,7,3600,A,7,0.5,E,8,0.036,F,8,0.380,F,8,0,1,D,9,00,C,8
01/01/2000,13:00,606,1415,452,2,9,742,2,21,132,2,9,462,2,9,703,2,21,159,2,9,252,2,25,10,E,9,8,E,9,3.0,A,7,-9.0,A,7,37,A,7,768,A,7,220,A,7,7.7,A,7,80500,B,7,3600,A,7,0.5,E,8,0.036,F,8,0.380,F,8,0,1,D,9,00,C,8
01/01/2000,14:00,547,1415,217,2,9,142,2,21,162,2,9,236,2,9,139,2,21,182,2,9,377,2,25,10,E,9,10,E,9,3.0,A,7,-11.0,A,7,31,A,7,766,A,7,300,A,7,6.2,A,7,80500,B,7,1800,A,7,0.5,E,8,0.036,F,8,0.380,F,8,0,1,D,9,00,C,8
01/01/2000,15:00,426,1415,246,2,9,540,2,21,83,2,9,252,2,9,474,2,21,109,2,9,152,2,25,10,E,9,10,E,9,2.0,A,7,-9.0,A,7,40,A,7,766,A,7,330,A,7,5.1,A,7,80500,B,7,1800,A,7,0.5,E,8,0.036,F,8,0.380,F,8,0,1,D,9,00,C,8
01/01/2000,16:00,252,1415,152,2,9,617,2,21,41,2,9,152,2,9,467,2,21,68,2,9,73,2,25,8,E,9,8,E,9,2.0,A,7,-11.0,A,7,34,A,7,766,A,7,250,A,7,8.7,A,7,80500,B,7,3000,A,7,0.5,E,8,0.036,F,8,0.380,F,8,0,1,D,9,00,C,8
01/01/2000,17:00,52,1002,12,2,9,243,2,21,5,2,9,21,2,9,140,2,21,13,2,9,17,2,25,8,E,9,8,E,9,-2.0,A,7,-11.0,A,7,46,A,7,765,A,7,280,A,7,5.1,A,7,64400,B,7,3000,A,7,0.4,E,8,0.036,F,8,0.380,F,8,0,1,D,9,00,C,8
01/01/2000,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-3.0,A,7,-12.0,A,7,46,A,7,766,A,7,360,A,7,2.6,A,7,24100,B,7,3000,A,7,0.4,E,8,0.036,F,8,0.380,F,8,0,1,D,9,00,C,8
01/01/2000,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,5,E,9,-6.0,A,7,-10.0,A,7,70,A,7,764,A,7,340,A,7,2.6,A,7,24100,B,7,77777,A,7,0.4,E,8,0.036,F,8,0.380,F,8,0,1,D,9,00,C,8
01/01/2000,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,4,E,9,-6.0,A,7,-11.0,A,7,64,A,7,765,A,7,310,A,7,2.1,A,7,24100,B,7,77777,A,7,0.4,E,8,0.036,F,8,0.380,F,8,0,1,D,9,00,C,8
01/01/2000,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,-5.0,A,7,-9.0,A,7,71,A,7,764,A,7,340,A,7,4.1,A,7,24100,B,7,3000,A,7,0.4,E,8,0.036,F,8,0.380,F,8,0,1,D,9,00,C,8
01/01/2000,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-4.0,A,7,-9.0,A,7,65,A,7,764,A,7,270,A,7,2.6,A,7,24100,B,7,3000,A,7,0.4,E,8,0.036,F,8,0.380,F,8,0,1,D,9,00,C,8
01/01/2000,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6.0,A,7,-11.0,A,7,64,A,7,763,A,7,100,A,7,2.6,A,7,24100,B,7,1800,A,7,0.4,E,8,0.036,F,8,0.380,F,8,0,1,D,9,00,C,8
01/01/2000,24:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6.0,A,7,-9.0,A,7,77,A,7,763,A,7,150,A,7,3.1,A,7,24100,B,7,1800,A,7,0.4,E,8,0.036,F,8,0.380,F,8,0,1,D,9,00,C,8
