725650,"DENVER INTL AP",CO,-7.0,39.833,-104.650,1650
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1995,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,E,9,2,E,9,-18.0,E,9,-19.7,E,9,85,A,7,837,E,9,0,E,9,0.0,E,9,6400,C,8,20306,E,9,0.3,E,8,0.044,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/1995,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,E,9,3,E,9,-16.6,E,9,-18.6,E,9,83,A,7,835,E,9,0,E,9,0.0,E,9,6400,C,8,18674,E,9,0.3,E,8,0.044,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/1995,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,E,9,3,E,9,-15.3,E,9,-17.1,E,9,85,A,7,834,E,9,0,E,9,0.0,E,9,6400,C,8,16614,E,9,0.3,E,8,0.044,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/1995,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4,E,9,4,E,9,-14.4,E,9,-15.6,E,9,90,A,7,831,E,9,0,E,9,0.0,E,9,6400,C,8,14677,E,9,0.3,E,8,0.044,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/1995,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,E,9,5,E,9,-13.0,E,9,-14.6,E,9,86,A,7,834,E,9,0,E,9,0.0,E,9,6400,C,8,12892,E,9,0.2,E,8,0.044,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/1995,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,E,9,6,E,9,-11.1,E,9,-12.5,E,9,88,A,7,830,E,9,0,E,9,0.0,E,9,6400,C,8,11077,E,9,0.2,E,8,0.044,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/1995,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,E,9,6,E,9,-9.7,E,9,-11.6,E,9,84,A,7,829,E,9,0,E,9,0.0,E,9,6400,C,8,11821,E,9,0.2,E,8,0.044,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/1995,08:00,45,908,9,1,17,17,1,21,8,1,17,10,1,17,7,1,21,10,1,17,16,1,32,7,E,9,7,E,9,-7.7,E,9,-10.0,E,9,82,A,7,828,E,9,120,E,9,1.4,E,9,6400,C,8,8786,E,9,0.2,E,8,0.044,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/1995,09:00,248,1415,89,1,17,73,1,21,77,1,17,97,1,17,54,1,21,87,1,17,165,1,32,7,E,9,7,E,9,-5.9,E,9,-8.5,E,9,80,A,7,829,E,9,140,E,9,1.3,E,9,6400,C,8,7581,E,9,0.2,E,8,0.044,F,8,0.220,F,8,0,1,D,9,00,C,8
01/01/1995,10:00,433,1415,266,1,17,494,1,21,115,1,17,275,1,17,439,1,21,141,1,17,219,1,32,8,E,9,4,E,9,-2.2,E,9,-7.0,E,9,66,A,7,827,E,9,200,E,9,1.7,E,9,6400,C,8,11251,E,9,0.2,E,8,0.044,F,8,0.220,F,8,0,1,D,9,00,C,8
