725717,"RIFLE/GARFIELD RGNL",CO,-7.0,39.533,-107.717,1691
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1996,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,9,B,8,-6.4,B,8,-6.4,E,9,100,A,7,829,E,9,310,B,8,1.0,B,8,32200,C,8,1325,B,8,0.8,E,8,0.035,F,8,0.330,F,8,0,1,D,9,00,C,8
01/01/1996,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,9,B,8,-7.0,B,8,-7.0,E,9,100,A,7,829,E,9,320,B,8,0.8,B,8,32200,C,8,1300,B,8,0.8,E,8,0.035,F,8,0.330,F,8,0,1,D,9,00,C,8
01/01/1996,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,9,B,8,-7.3,B,8,-7.3,E,9,100,A,7,829,E,9,330,B,8,0.6,B,8,32200,C,8,1275,B,8,0.8,E,8,0.035,F,8,0.330,F,8,0,1,D,9,00,C,8
01/01/1996,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,9,B,8,-7.9,B,8,-7.9,E,9,100,A,7,829,E,9,340,B,8,0.4,B,8,32200,C,8,1250,B,8,0.8,E,8,0.035,F,8,0.330,F,8,0,1,D,9,00,C,8
01/01/1996,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,9,B,8,-8.2,B,8,-8.2,E,9,100,A,7,829,E,9,350,B,8,0.2,B,8,32200,C,8,1225,B,8,0.8,E,8,0.035,F,8,0.330,F,8,0,1,D,9,00,C,8
01/01/1996,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,A,7,-8.4,A,7,-8.4,E,9,100,A,7,829,E,9,0,A,7,0.0,A,7,32200,B,7,1200,A,7,0.7,E,8,0.035,F,8,0.330,F,8,0,1,D,9,00,C,8
01/01/1996,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,A,7,-7.8,A,7,-7.8,E,9,100,A,7,829,E,9,0,A,7,0.0,A,7,32200,B,7,1200,A,7,0.7,E,8,0.035,F,8,0.330,F,8,0,1,D,9,00,C,8
01/01/1996,08:00,22,649,7,1,24,10,1,27,7,1,24,0,1,24,0,1,27,0,1,24,0,1,43,9,E,9,9,A,7,-6.7,A,7,-6.7,E,9,100,A,7,829,E,9,0,A,7,0.0,A,7,32200,B,7,1200,A,7,0.7,E,8,0.035,F,8,0.330,F,8,0,1,D,9,00,C,8
01/01/1996,09:00,210,1415,64,1,24,93,1,27,50,1,24,70,1,24,63,1,27,60,1,24,106,1,43,9,E,9,9,A,7,-7.3,A,7,-7.3,E,9,100,A,7,829,E,9,0,A,7,0.0,A,7,32200,B,7,1200,A,7,0.7,E,8,0.035,F,8,0.330,F,8,0,1,D,9,00,C,8
01/01/1996,10:00,404,1415,160,1,24,22,1,27,153,1,24,173,1,24,16,1,27,169,1,24,463,1,43,9,E,9,9,A,7,-4.5,A,7,-4.5,E,9,100,A,7,829,E,9,0,A,7,0.0,A,7,6400,B,7,1200,A,7,0.7,E,8,0.035,F,8,0.330,F,8,0,1,D,9,71,C,8
01/01/1996,11:00,548,1415,183,1,24,102,1,27,144,1,24,201,1,24,100,1,27,162,1,24,335,1,43,9,E,9,9,A,7,-0.6,A,7,-4.0,E,9,75,A,7,829,E,9,0,A,7,0.0,A,7,16100,B,7,1350,A,7,0.7,E,8,0.035,F,8,0.330,F,8,0,1,D,9,00,C,8
01/01/1996,12:00,631,1415,224,1,24,85,1,27,186,1,24,246,1,24,83,1,27,209,1,24,537,1,43,9,E,9,9,A,7,0.0,A,7,-7.0,E,9,55,A,7,829,E,9,260,A,7,6.6,A,7,24100,B,7,1200,A,7,0.7,E,8,0.035,F,8,0.330,F,8,0,1,D,9,00,C,8
01/01/1996,13:00,648,1415,156,1,24,0,1,27,156,1,24,179,1,24,0,1,27,179,1,24,636,1,43,10,E,9,10,A,7,0.5,A,7,-8.0,E,9,49,A,7,829,E,9,300,A,7,4.6,A,7,16100,B,7,900,A,7,0.6,E,8,0.035,F,8,0.330,F,8,0,1,D,9,00,C,8
01/01/1996,14:00,596,1415,142,1,24,0,1,27,142,1,24,162,1,24,0,1,27,162,1,24,569,1,43,10,E,9,10,A,7,0.5,A,7,-8.0,E,9,49,A,7,829,E,9,310,A,7,4.6,A,7,16100,B,7,1200,A,7,0.6,E,8,0.035,F,8,0.330,F,8,0,1,D,9,00,C,8
01/01/1996,15:00,480,1415,134,1,24,0,1,27,134,1,24,150,1,24,0,1,27,150,1,24,485,1,43,9,E,9,9,A,7,-2.8,A,7,-8.0,E,9,64,A,7,829,E,9,290,A,7,2.5,A,7,12900,B,7,1200,A,7,0.6,E,8,0.035,F,8,0.330,F,8,0,1,D,9,00,C,8
01/01/1996,16:00,308,1415,104,1,24,56,1,27,92,1,24,114,1,24,47,1,27,104,1,24,225,1,43,9,E,9,9,A,7,-1.7,A,7,-9.0,E,9,53,A,7,829,E,9,260,A,7,4.1,A,7,24100,B,7,1200,A,7,0.6,E,8,0.035,F,8,0.330,F,8,0,1,D,9,00,C,8
01/01/1996,17:00,96,1309,28,1,24,25,1,27,26,1,24,31,1,24,15,1,27,29,1,24,62,1,43,9,E,9,9,A,7,-2.8,A,7,-9.0,E,9,59,A,7,829,E,9,330,A,7,2.5,A,7,16100,B,7,1200,A,7,0.6,E,8,0.035,F,8,0.330,F,8,0,1,D,9,00,C,8
01/01/1996,18:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,B,8,8,B,8,-5.1,B,8,-9.0,E,9,71,A,7,829,E,9,330,B,8,2.3,B,8,17706,C,8,2587,B,8,0.6,E,8,0.035,F,8,0.330,F,8,0,1,D,9,00,C,8
01/01/1996,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,B,8,8,B,8,-6.7,B,8,-10.0,E,9,75,A,7,829,E,9,330,B,8,2.2,B,8,19313,C,8,3973,B,8,0.5,E,8,0.035,F,8,0.330,F,8,0,1,D,9,00,C,8
01/01/1996,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,B,8,7,B,8,-8.0,B,8,-13.0,E,9,64,A,7,829,E,9,340,B,8,2.0,B,8,20920,C,8,5360,B,8,0.5,E,8,0.035,F,8,0.330,F,8,0,1,D,9,00,C,8
01/01/1996,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,B,8,7,B,8,-9.4,B,8,-13.0,E,9,72,A,7,829,E,9,340,B,8,1.8,B,8,22526,C,8,6747,B,8,0.5,E,8,0.035,F,8,0.330,F,8,0,1,D,9,00,C,8
