725744,"ROCK SPRINGS ARPT [GREEN RIVER - UO]",WY,-7.0,41.460,-109.440,1000
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1976,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,B,8,6,B,8,-15.7,B,8,-16.8,B,8,93,B,8,786,B,8,60,B,8,12.9,B,8,8000,C,8,923,B,8,0.5,E,8,0.000,?,0,0.00,?,0,0,1,D,9,38,C,8
01/01/1976,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,A,7,4,A,7,-16.1,A,7,-17.2,A,7,91,A,7,786,A,7,80,A,7,12.9,A,7,8000,B,7,1370,A,7,0.4,E,8,0.000,?,0,0.00,?,0,0,1,D,9,38,C,8
01/01/1976,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,B,8,6,B,8,-16.5,B,8,-18.5,B,8,90,B,8,786,B,8,80,B,8,12.4,B,8,8000,C,8,1340,B,8,0.4,E,8,0.000,?,0,0.00,?,0,0,1,D,9,38,C,8
01/01/1976,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,7,B,8,-16.8,B,8,-19.1,B,8,88,B,8,787,B,8,70,B,8,11.8,B,8,8000,C,8,1310,B,8,0.4,E,8,0.000,?,0,0.00,?,0,0,1,D,9,38,C,8
01/01/1976,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,9,A,7,-17.2,A,7,-18.9,A,7,87,A,7,787,A,7,70,A,7,11.3,A,7,8000,B,7,1280,A,7,0.4,E,8,0.000,?,0,0.00,?,0,0,1,D,9,38,C,8
01/01/1976,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,9,B,8,-17.4,B,8,-19.4,B,8,87,B,8,788,B,8,80,B,8,9.9,B,8,8000,C,8,1107,B,8,0.4,E,8,0.000,?,0,0.00,?,0,0,1,D,9,38,C,8
01/01/1976,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-17.6,B,8,-19.6,B,8,87,B,8,788,B,8,80,B,8,8.6,B,8,8000,C,8,933,B,8,0.4,E,8,0.000,?,0,0.00,?,0,0,1,D,9,38,C,8
01/01/1976,08:00,6,342,9,1,13,0,1,9,9,1,13,0,1,13,0,1,9,0,1,13,0,1,21,10,A,7,10,A,7,-17.8,A,7,-19.4,A,7,87,A,7,788,A,7,90,A,7,7.2,A,7,8000,B,7,760,A,7,0.4,E,8,0.000,F,8,0.00,?,0,0,1,D,9,45,C,8
01/01/1976,09:00,156,1415,56,1,13,24,1,9,53,1,13,61,1,13,16,1,9,59,1,13,117,1,21,10,B,8,9,B,8,-16.9,B,8,-19.3,B,8,83,B,8,789,B,8,110,B,8,6.2,B,8,8000,C,8,610,B,8,0.4,E,8,0.000,F,8,0.00,?,0,0,1,D,9,45,C,8
01/01/1976,10:00,349,1415,135,1,13,30,1,9,127,1,13,147,1,13,26,1,9,140,1,13,299,1,21,10,B,8,9,B,8,-15.9,B,8,-18.8,B,8,80,B,8,789,B,8,120,B,8,5.1,B,8,8000,C,8,460,B,8,0.4,E,8,0.000,F,8,0.00,?,0,0,1,D,9,45,C,8
