725755,"OGDEN HILL AFB",UT,-7.0,41.117,-111.967,1459
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1995,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,-9.5,A,7,-13.9,A,7,67,A,7,858,A,7,100,A,7,5.1,A,7,11300,B,7,77777,A,7,0.4,E,8,0.062,F,8,0.540,F,8,0,1,D,9,00,C,8
01/01/1995,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,-9.5,A,7,-14.5,A,7,64,A,7,858,A,7,100,A,7,6.1,A,7,11300,B,7,77777,A,7,0.4,E,8,0.062,F,8,0.540,F,8,0,1,D,9,00,C,8
01/01/1995,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,-10.0,A,7,-14.5,A,7,67,A,7,858,A,7,110,A,7,5.1,A,7,11300,B,7,77777,A,7,0.4,E,8,0.062,F,8,0.540,F,8,0,1,D,9,00,C,8
01/01/1995,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,-11.2,A,7,-15.0,A,7,71,A,7,858,A,7,100,A,7,6.1,A,7,11300,B,7,77777,A,7,0.3,E,8,0.062,F,8,0.540,F,8,0,1,D,9,00,C,8
01/01/1995,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,-10.6,A,7,-15.0,A,7,67,A,7,858,A,7,100,A,7,6.1,A,7,11300,B,7,77777,A,7,0.3,E,8,0.062,F,8,0.540,F,8,0,1,D,9,00,C,8
01/01/1995,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,-11.7,A,7,-15.0,A,7,74,A,7,859,A,7,100,A,7,5.6,A,7,11300,B,7,77777,A,7,0.4,E,8,0.062,F,8,0.540,F,8,0,1,D,9,00,C,8
01/01/1995,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,E,9,-11.2,A,7,-14.5,A,7,74,A,7,859,A,7,100,A,7,6.1,A,7,11300,B,7,77777,A,7,0.4,E,8,0.062,F,8,0.540,F,8,0,1,D,9,00,C,8
01/01/1995,08:00,1,130,0,1,11,9,1,17,0,1,11,0,1,11,0,1,17,0,1,11,0,1,23,2,A,7,2,E,9,-12.3,A,7,-15.6,A,7,74,A,7,859,A,7,100,A,7,6.1,A,7,32200,B,7,77777,A,7,0.4,E,8,0.062,F,8,0.540,F,8,0,1,D,9,00,C,8
01/01/1995,09:00,125,1415,63,1,11,214,1,17,44,1,11,63,1,11,101,1,17,54,1,11,83,1,23,3,A,7,3,E,9,-10.6,A,7,-15.0,A,7,67,A,7,860,A,7,100,A,7,7.7,A,7,80500,B,7,77777,A,7,0.4,E,8,0.062,F,8,0.540,F,8,0,1,D,9,00,C,8
01/01/1995,10:00,326,1415,207,1,11,528,1,17,85,1,11,213,1,11,421,1,17,116,1,11,158,1,23,2,A,7,2,E,9,-10.6,A,7,-15.6,A,7,63,A,7,860,A,7,100,A,7,8.2,A,7,80500,B,7,77777,A,7,0.4,E,8,0.062,F,8,0.540,F,8,0,1,D,9,00,C,8
