725865,"HAILEY/FRIEDMAN MEM",ID,-7.0,43.500,-114.300,1620
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1998,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,B,8,1,B,8,-4.7,B,8,-8.5,B,8,72,A,7,836,E,9,330,B,8,2.7,B,8,16100,C,8,77777,B,8,0.7,E,8,0.041,F,8,0.440,F,8,0,1,D,9,00,C,8
01/01/1998,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,B,8,2,B,8,-4.6,B,8,-8.8,B,8,70,A,7,836,E,9,330,B,8,2.8,B,8,16100,C,8,77777,B,8,0.7,E,8,0.041,F,8,0.440,F,8,0,1,D,9,00,C,8
01/01/1998,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,B,8,3,B,8,-4.3,B,8,-8.8,B,8,68,A,7,836,E,9,340,B,8,2.9,B,8,16100,C,8,77777,B,8,0.7,E,8,0.041,F,8,0.440,F,8,0,1,D,9,00,C,8
01/01/1998,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,B,8,3,B,8,-4.4,B,8,-8.9,B,8,68,A,7,836,E,9,340,B,8,2.9,B,8,16100,C,8,77777,B,8,0.7,E,8,0.041,F,8,0.440,F,8,0,1,D,9,00,C,8
01/01/1998,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,B,8,4,B,8,-4.1,B,8,-8.8,B,8,67,A,7,836,E,9,340,B,8,3.0,B,8,16100,C,8,77777,B,8,0.7,E,8,0.041,F,8,0.440,F,8,0,1,D,9,00,C,8
01/01/1998,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,B,8,4,B,8,-4.3,B,8,-9.4,B,8,64,A,7,836,E,9,350,B,8,3.0,B,8,16100,C,8,77777,B,8,0.7,E,8,0.041,F,8,0.440,F,8,0,1,D,9,00,C,8
01/01/1998,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,5,A,7,-4.0,A,7,-11.0,A,7,54,A,7,836,E,9,350,A,7,3.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.041,F,8,0.440,F,8,0,1,D,9,00,C,8
01/01/1998,08:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,5,A,7,-3.0,A,7,-9.0,A,7,60,A,7,836,E,9,310,A,7,3.6,A,7,48300,B,7,77777,A,7,0.7,E,8,0.041,F,8,0.440,F,8,0,1,D,9,00,C,8
01/01/1998,09:00,64,1120,8,2,9,34,2,21,7,2,9,11,2,9,13,2,21,10,2,9,12,2,25,10,E,9,9,A,7,-3.0,A,7,-11.0,A,7,50,A,7,836,E,9,320,A,7,3.1,A,7,48300,B,7,5100,A,7,0.7,E,8,0.041,F,8,0.440,F,8,0,1,D,9,00,C,8
01/01/1998,10:00,256,1415,97,2,9,202,2,21,60,2,9,103,2,9,144,2,21,77,2,9,112,2,25,10,E,9,9,A,7,-1.0,A,7,-7.0,A,7,60,A,7,836,E,9,310,A,7,2.6,A,7,48300,B,7,4800,A,7,0.7,E,8,0.041,F,8,0.440,F,8,0,1,D,9,00,C,8
01/01/1998,11:00,414,1415,208,2,9,357,2,21,103,2,9,216,2,9,313,2,21,124,2,9,194,2,25,10,E,9,9,A,7,1.0,A,7,-4.0,A,7,67,A,7,836,E,9,330,A,7,3.1,A,7,48300,B,7,3300,A,7,0.7,E,8,0.041,F,8,0.440,F,8,0,1,D,9,61,C,8
01/01/1998,12:00,518,1415,150,2,9,24,2,21,141,2,9,169,2,9,17,2,21,162,2,9,524,2,25,10,E,9,10,A,7,2.0,A,7,-7.0,A,7,48,A,7,836,E,9,320,A,7,2.6,A,7,48300,B,7,2700,A,7,0.7,E,8,0.041,F,8,0.440,F,8,0,1,D,9,61,C,8
01/01/1998,13:00,562,1415,97,2,9,0,2,21,97,2,9,114,2,9,0,2,21,114,2,9,413,2,25,10,E,9,10,A,7,1.0,A,7,-6.0,A,7,56,A,7,836,E,9,330,A,7,3.1,A,7,32200,B,7,1200,A,7,0.7,E,8,0.041,F,8,0.440,F,8,0,1,D,9,61,C,8
01/01/1998,14:00,542,1415,79,2,9,0,2,21,79,2,9,94,2,9,0,2,21,94,2,9,343,2,25,10,E,9,10,A,7,2.0,A,7,-4.0,A,7,62,A,7,836,E,9,310,A,7,2.6,A,7,40200,B,7,1200,A,7,0.7,E,8,0.041,F,8,0.440,F,8,0,1,D,9,61,C,8
01/01/1998,15:00,459,1415,74,2,9,0,2,21,74,2,9,87,2,9,0,2,21,87,2,9,306,2,25,10,E,9,10,A,7,4.0,A,7,-4.0,A,7,54,A,7,836,E,9,320,A,7,3.1,A,7,48300,B,7,1500,A,7,0.7,E,8,0.041,F,8,0.440,F,8,0,1,D,9,61,C,8
01/01/1998,16:00,319,1415,207,2,9,407,2,21,114,2,9,205,2,9,320,2,21,133,2,9,222,2,25,10,E,9,10,A,7,4.0,A,7,-5.0,A,7,49,A,7,836,E,9,310,A,7,2.6,A,7,48300,B,7,2400,A,7,0.7,E,8,0.041,F,8,0.440,F,8,0,1,D,9,61,C,8
01/01/1998,17:00,134,1415,61,2,9,0,2,21,61,2,9,64,2,9,0,2,21,64,2,9,144,2,25,10,E,9,10,A,7,5.0,A,7,-3.0,A,7,55,A,7,836,E,9,0,A,7,0.0,A,7,48300,B,7,2700,A,7,0.7,E,8,0.041,F,8,0.440,F,8,0,1,D,9,61,C,8
01/01/1998,18:00,3,224,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,A,7,3.0,A,7,-7.0,A,7,45,A,7,836,E,9,0,A,7,0.0,A,7,16100,B,7,2400,A,7,0.7,E,8,0.041,F,8,0.440,F,8,0,1,D,9,61,C,8
01/01/1998,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,2.0,A,7,-6.0,A,7,52,A,7,836,E,9,340,A,7,2.1,A,7,16100,B,7,2100,A,7,0.7,E,8,0.041,F,8,0.440,F,8,0,1,D,9,61,C,8
01/01/1998,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,4.0,A,7,-1.0,A,7,69,A,7,836,E,9,340,A,7,4.1,A,7,16100,B,7,2100,A,7,0.8,E,8,0.041,F,8,0.440,F,8,0,1,D,9,61,C,8
01/01/1998,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,4.0,A,7,-1.0,A,7,69,A,7,836,E,9,0,A,7,0.0,A,7,16100,B,7,750,A,7,0.8,E,8,0.041,F,8,0.440,F,8,0,1,D,9,61,C,8
01/01/1998,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,3.0,A,7,-2.0,A,7,68,A,7,836,E,9,0,A,7,0.0,A,7,16100,B,7,1800,A,7,0.8,E,8,0.041,F,8,0.440,F,8,0,1,D,9,61,C,8
01/01/1998,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,4.0,A,7,-1.0,A,7,69,A,7,836,E,9,0,A,7,0.0,A,7,16100,B,7,1800,A,7,0.8,E,8,0.041,F,8,0.440,F,8,0,1,D,9,61,C,8
01/01/1998,24:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,4.1,B,8,1.2,B,8,81,A,7,836,E,9,20,B,8,0.5,B,8,16100,C,8,1620,B,8,0.8,E,8,0.041,F,8,0.440,F,8,0,1,D,9,61,C,8
01/02/1998,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,4.7,B,8,1.5,B,8,80,A,7,836,E,9,50,B,8,1.0,B,8,16100,C,8,1440,B,8,0.8,E,8,0.041,F,8,0.440,F,8,0,1,D,9,61,C,8
01/02/1998,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,2.3,B,8,-0.9,B,8,79,A,7,836,E,9,70,B,8,1.5,B,8,16100,C,8,1260,B,8,0.8,E,8,0.041,F,8,0.440,F,8,0,1,D,9,61,C,8
01/02/1998,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,4.7,B,8,1.2,B,8,78,A,7,836,E,9,90,B,8,2.1,B,8,16100,C,8,1080,B,8,0.8,E,8,0.041,F,8,0.440,F,8,0,1,D,9,61,C,8
01/02/1998,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,B,8,9,B,8,4.1,B,8,2.0,B,8,86,A,7,836,E,9,110,B,8,2.6,B,8,16100,C,8,900,B,8,0.8,E,8,0.041,F,8,0.440,F,8,0,1,D,9,61,C,8
01/02/1998,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,B,8,9,B,8,5.1,B,8,2.2,B,8,82,A,7,836,E,9,140,B,8,3.1,B,8,16100,C,8,720,B,8,0.8,E,8,0.041,F,8,0.440,F,8,0,1,D,9,61,C,8
01/02/1998,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,B,8,9,B,8,4.7,B,8,4.1,B,8,96,A,7,836,E,9,160,B,8,3.6,B,8,16100,C,8,540,B,8,0.8,E,8,0.041,F,8,0.440,F,8,0,1,D,9,61,C,8
01/02/1998,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,A,7,4.0,A,7,2.0,A,7,87,A,7,836,E,9,180,A,7,4.1,A,7,16100,B,7,360,A,7,0.8,E,8,0.041,F,8,0.440,F,8,0,1,D,9,61,C,8
01/02/1998,08:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,4.0,A,7,-2.0,A,7,64,A,7,836,E,9,180,A,7,4.1,A,7,24100,B,7,600,A,7,0.8,E,8,0.041,F,8,0.440,F,8,0,1,D,9,61,C,8
01/02/1998,09:00,64,1120,11,2,9,53,2,21,9,2,9,14,2,9,21,2,21,13,2,9,15,2,25,9,E,9,9,A,7,4.0,A,7,-1.0,A,7,69,A,7,836,E,9,180,A,7,4.1,A,7,24100,B,7,900,A,7,0.8,E,8,0.041,F,8,0.440,F,8,0,1,D,9,61,C,8
01/02/1998,10:00,256,1415,43,2,9,0,2,21,43,2,9,49,2,9,0,2,21,49,2,9,162,2,25,9,E,9,9,A,7,2.0,A,7,0.0,A,7,87,A,7,836,E,9,180,A,7,5.1,A,7,24100,B,7,1050,A,7,0.8,E,8,0.041,F,8,0.440,F,8,0,1,D,9,61,C,8
01/02/1998,11:00,415,1415,293,2,9,652,2,21,100,2,9,295,2,9,559,2,21,130,2,9,173,2,25,9,E,9,9,A,7,3.0,A,7,1.0,A,7,87,A,7,836,E,9,220,A,7,5.1,A,7,32200,B,7,1200,A,7,0.7,E,8,0.041,F,8,0.440,F,8,0,1,D,9,61,C,8
