726130,"MOUNT WASHINGTON",NH,-5.0,44.267,-71.300,1910
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1995,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-5.6,A,7,-5.6,A,7,100,A,7,802,A,7,250,A,7,23.6,A,7,0,B,7,15,A,7,1.1,E,8,0.044,F,8,0.160,F,8,0,1,D,9,45,C,8
01/01/1995,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-3.4,A,7,-3.4,A,7,100,A,7,802,B,8,250,A,7,20.5,A,7,0,B,7,15,A,7,1.2,E,8,0.044,F,8,0.160,F,8,0,1,D,9,45,C,8
01/01/1995,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-3.9,A,7,-3.9,A,7,100,A,7,801,B,8,250,A,7,18.5,A,7,0,B,7,15,A,7,1.2,E,8,0.044,F,8,0.160,F,8,0,1,D,9,45,C,8
01/01/1995,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-6.2,A,7,-6.2,A,7,100,A,7,800,B,8,250,A,7,18.5,A,7,0,B,7,15,A,7,1.2,E,8,0.044,F,8,0.160,F,8,0,1,D,9,45,C,8
01/01/1995,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-6.2,A,7,-6.2,A,7,100,A,7,800,B,8,250,A,7,15.9,A,7,0,B,7,15,A,7,1.2,E,8,0.044,F,8,0.160,F,8,0,1,D,9,45,C,8
01/01/1995,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-5.6,A,7,-5.6,A,7,100,A,7,799,B,8,250,A,7,19.5,A,7,0,B,7,15,A,7,1.3,E,8,0.044,F,8,0.160,F,8,0,1,D,9,45,C,8
01/01/1995,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,-3.4,A,7,-3.4,A,7,100,A,7,798,B,8,240,A,7,18.5,A,7,0,B,7,15,A,7,1.3,E,8,0.044,F,8,0.160,F,8,0,1,D,9,45,C,8
01/01/1995,08:00,38,884,4,1,25,0,1,28,4,1,25,5,1,25,0,1,28,5,1,25,16,1,45,10,A,7,10,E,9,-2.3,A,7,-2.3,A,7,100,A,7,797,B,8,240,A,7,19.0,A,7,0,B,7,15,A,7,1.3,E,8,0.044,F,8,0.160,F,8,0,1,D,9,45,C,8
01/01/1995,09:00,218,1415,31,1,25,0,1,28,31,1,25,36,1,25,0,1,28,36,1,25,118,1,45,10,B,8,10,B,8,-2.1,B,8,-2.3,B,8,98,A,7,797,B,8,240,B,8,18.7,B,8,0,C,8,15,B,8,1.2,E,8,0.044,F,8,0.160,F,8,0,1,D,9,45,C,8
01/01/1995,10:00,380,1415,56,1,25,0,1,28,56,1,25,66,1,25,0,1,28,66,1,25,228,1,45,10,B,8,10,B,8,-1.3,B,8,-1.3,B,8,100,A,7,796,B,8,230,B,8,18.3,B,8,0,C,8,15,B,8,1.2,E,8,0.044,F,8,0.160,F,8,0,1,D,9,45,C,8
01/01/1995,11:00,491,1415,74,1,25,0,1,28,74,1,25,87,1,25,0,1,28,87,1,25,314,1,45,10,A,7,10,E,9,-1.2,A,7,-1.2,A,7,100,A,7,795,B,8,230,A,7,18.0,A,7,0,B,7,15,A,7,1.2,E,8,0.044,F,8,0.160,F,8,0,1,D,9,45,C,8
