726464,"WATERTOWN",WI,-6.0,43.167,-88.717,254
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1998,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,-8.2,B,8,-9.6,B,8,88,A,7,983,E,9,190,B,8,4.4,B,8,16100,C,8,77777,B,8,0.6,E,8,0.074,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1998,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,-8.1,B,8,-9.5,B,8,88,A,7,983,E,9,190,B,8,4.8,B,8,16100,C,8,77777,B,8,0.6,E,8,0.074,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1998,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,-7.1,B,8,-8.6,B,8,88,A,7,983,E,9,190,B,8,5.1,B,8,16100,C,8,77777,B,8,0.6,E,8,0.074,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1998,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,-6.2,B,8,-7.9,B,8,86,A,7,983,E,9,190,B,8,5.5,B,8,16100,C,8,77777,B,8,0.6,E,8,0.074,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1998,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,-5.7,B,8,-7.3,B,8,87,A,7,983,E,9,190,B,8,5.9,B,8,16100,C,8,77777,B,8,0.6,E,8,0.074,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1998,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,-4.6,B,8,-6.3,B,8,86,A,7,983,E,9,200,B,8,6.2,B,8,16100,C,8,77777,B,8,0.6,E,8,0.074,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1998,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,-3.9,B,8,-5.6,B,8,86,A,7,983,E,9,200,B,8,6.6,B,8,16100,C,8,77777,B,8,0.6,E,8,0.074,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1998,08:00,28,743,0,2,9,39,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,B,8,0,B,8,-2.8,B,8,-4.7,B,8,85,A,7,983,E,9,200,B,8,7.0,B,8,16100,C,8,77777,B,8,0.7,E,8,0.074,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1998,09:00,206,1415,122,2,9,207,2,21,91,2,9,122,2,9,128,2,21,104,2,9,196,2,25,0,B,8,0,B,8,-0.9,B,8,-3.3,B,8,82,A,7,983,E,9,200,B,8,7.3,B,8,16100,C,8,77777,B,8,0.7,E,8,0.074,F,8,0.160,F,8,0,1,D,9,00,C,8
01/01/1998,10:00,379,1415,141,2,9,101,2,21,113,2,9,152,2,9,89,2,21,128,2,9,250,2,25,0,E,9,0,A,7,1.0,A,7,-2.0,A,7,79,A,7,983,E,9,200,A,7,7.7,A,7,16100,B,7,77777,A,7,0.7,E,8,0.074,F,8,0.160,F,8,0,1,D,9,00,C,8
