726480,"ESCANABA (AWOS)",MI,-5.0,45.750,-87.033,187
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2001,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,6,E,9,-5.2,E,9,-6.5,E,9,89,A,7,991,E,9,160,E,9,8.0,E,9,16100,C,8,9208,E,9,0.5,E,8,0.057,F,8,0.150,F,8,0,1,D,9,00,C,8
01/01/2001,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-5.9,E,9,-7.2,E,9,89,A,7,991,E,9,230,E,9,5.3,E,9,16100,C,8,21248,E,9,0.5,E,8,0.057,F,8,0.150,F,8,0,1,D,9,00,C,8
01/01/2001,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-6.6,E,9,-7.9,E,9,89,A,7,991,E,9,240,E,9,4.3,E,9,16100,C,8,21398,E,9,0.5,E,8,0.057,F,8,0.150,F,8,0,1,D,9,00,C,8
01/01/2001,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-7.9,E,9,-8.6,E,9,94,A,7,991,E,9,230,E,9,2.9,E,9,16100,C,8,21549,E,9,0.5,E,8,0.057,F,8,0.150,F,8,0,1,D,9,00,C,8
01/01/2001,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-8.6,E,9,-9.3,E,9,94,A,7,991,E,9,230,E,9,2.9,E,9,16100,C,8,21699,E,9,0.5,E,8,0.057,F,8,0.150,F,8,0,1,D,9,00,C,8
01/01/2001,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-9.4,E,9,-10.5,E,9,91,A,7,991,E,9,270,E,9,3.5,E,9,16100,C,8,21850,E,9,0.5,E,8,0.057,F,8,0.150,F,8,0,1,D,9,00,C,8
01/01/2001,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-9.0,A,7,-11.0,A,7,84,A,7,991,E,9,340,A,7,1.5,A,7,16100,B,7,77777,A,7,0.5,E,8,0.057,F,8,0.150,F,8,0,1,D,9,00,C,8
01/01/2001,08:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-10.0,E,9,-11.3,E,9,89,A,7,991,E,9,350,E,9,1.6,E,9,16100,C,8,21350,E,9,0.5,E,8,0.057,F,8,0.150,F,8,0,1,D,9,00,C,8
01/01/2001,09:00,22,672,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,E,9,-10.0,E,9,-11.4,E,9,88,A,7,991,E,9,40,E,9,1.8,E,9,16100,C,8,20639,E,9,0.5,E,8,0.057,F,8,0.150,F,8,0,1,D,9,00,C,8
01/01/2001,10:00,185,1415,58,2,9,29,2,21,54,2,9,63,2,9,21,2,21,60,2,9,126,2,25,1,E,9,1,E,9,-9.4,E,9,-11.2,E,9,85,A,7,991,E,9,60,E,9,3.4,E,9,16100,C,8,20109,E,9,0.5,E,8,0.057,F,8,0.150,F,8,0,1,D,9,00,C,8
01/01/2001,11:00,345,1415,127,2,9,82,2,21,107,2,9,139,2,9,71,2,21,122,2,9,263,2,25,1,E,9,1,E,9,-8.8,E,9,-11.1,E,9,82,A,7,991,E,9,60,E,9,1.5,E,9,16100,C,8,19459,E,9,0.5,E,8,0.057,F,8,0.150,F,8,0,1,D,9,00,C,8
01/01/2001,12:00,455,1415,161,2,9,55,2,21,143,2,9,176,2,9,51,2,21,159,2,9,371,2,25,1,E,9,1,E,9,-8.3,E,9,-10.9,E,9,79,A,7,991,E,9,100,E,9,3.6,E,9,16100,C,8,18929,E,9,0.5,E,8,0.057,F,8,0.150,F,8,0,1,D,9,00,C,8
01/01/2001,13:00,508,1415,190,2,9,72,2,21,164,2,9,208,2,9,69,2,21,183,2,9,434,2,25,0,E,9,0,E,9,-8.4,E,9,-11.1,E,9,79,A,7,991,E,9,100,E,9,3.7,E,9,16100,C,8,77777,E,9,0.5,E,8,0.057,F,8,0.150,F,8,0,1,D,9,00,C,8
01/01/2001,14:00,500,1415,188,2,9,72,2,21,162,2,9,205,2,9,68,2,21,181,2,9,427,2,25,0,E,9,0,E,9,-8.6,E,9,-11.4,E,9,78,A,7,991,E,9,90,E,9,3.8,E,9,16100,C,8,77777,E,9,0.5,E,8,0.057,F,8,0.150,F,8,0,1,D,9,00,C,8
01/01/2001,15:00,431,1415,151,2,9,70,2,21,129,2,9,165,2,9,64,2,21,145,2,9,335,2,25,0,E,9,0,E,9,-8.6,E,9,-11.5,E,9,77,A,7,991,E,9,150,E,9,1.3,E,9,16100,C,8,77777,E,9,0.5,E,8,0.057,F,8,0.150,F,8,0,1,D,9,00,C,8
01/01/2001,16:00,306,1415,158,2,9,414,2,21,67,2,9,165,2,9,323,2,21,94,2,9,122,2,25,0,E,9,0,E,9,-8.5,E,9,-12.2,E,9,72,A,7,991,E,9,140,E,9,2.5,E,9,16100,C,8,77777,E,9,0.5,E,8,0.057,F,8,0.150,F,8,0,1,D,9,00,C,8
01/01/2001,17:00,136,1415,52,2,9,208,2,21,32,2,9,54,2,9,105,2,21,44,2,9,57,2,25,0,E,9,0,E,9,-9.1,E,9,-12.9,E,9,71,A,7,991,E,9,190,E,9,3.5,E,9,16100,C,8,77777,E,9,0.5,E,8,0.057,F,8,0.150,F,8,0,1,D,9,00,C,8
01/01/2001,18:00,4,295,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,E,9,-9.0,E,9,-12.4,E,9,74,A,7,991,E,9,210,E,9,3.6,E,9,16100,C,8,77777,E,9,0.5,E,8,0.057,F,8,0.150,F,8,0,1,D,9,00,C,8
01/01/2001,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-8.6,E,9,-11.9,E,9,75,A,7,991,E,9,220,E,9,4.7,E,9,16100,C,8,77777,E,9,0.5,E,8,0.057,F,8,0.150,F,8,0,1,D,9,00,C,8
01/01/2001,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-8.9,E,9,-12.6,E,9,72,A,7,991,E,9,230,E,9,5.9,E,9,16100,C,8,77777,E,9,0.5,E,8,0.057,F,8,0.150,F,8,0,1,D,9,00,C,8
