726578,"LITTLE FALLS (AWOS)",MN,-6.0,45.950,-94.350,342
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1999,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,E,9,-22.1,E,9,-25.5,E,9,71,A,7,973,E,9,80,E,9,1.4,E,9,16100,C,8,8653,E,9,0.6,E,8,0.059,F,8,0.550,F,8,0,1,D,9,00,C,8
01/01/1999,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,-22.1,E,9,-25.6,E,9,71,A,7,973,E,9,80,E,9,1.3,E,9,16100,C,8,10303,E,9,0.6,E,8,0.059,F,8,0.550,F,8,0,1,D,9,00,C,8
01/01/1999,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,7,E,9,-22.0,E,9,-25.3,E,9,72,A,7,973,E,9,110,E,9,0.7,E,9,16100,C,8,11652,E,9,0.6,E,8,0.059,F,8,0.550,F,8,0,1,D,9,00,C,8
01/01/1999,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,6,E,9,-21.4,E,9,-25.4,E,9,67,A,7,973,E,9,90,E,9,1.1,E,9,16100,C,8,13602,E,9,0.6,E,8,0.059,F,8,0.550,F,8,0,1,D,9,00,C,8
01/01/1999,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,5,E,9,-21.4,E,9,-26.0,E,9,63,A,7,973,E,9,100,E,9,1.5,E,9,16100,C,8,77777,E,9,0.6,E,8,0.059,F,8,0.550,F,8,0,1,D,9,00,C,8
01/01/1999,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,4,E,9,-21.4,E,9,-25.6,E,9,66,A,7,973,E,9,100,E,9,1.8,E,9,16100,C,8,18401,E,9,0.6,E,8,0.059,F,8,0.550,F,8,0,1,D,9,00,C,8
01/01/1999,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,3,E,9,-22.0,E,9,-26.3,E,9,65,A,7,973,E,9,120,E,9,2.2,E,9,16100,C,8,20050,E,9,0.6,E,8,0.059,F,8,0.550,F,8,0,1,D,9,00,C,8
01/01/1999,08:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,3,E,9,-22.0,A,7,-27.0,A,7,61,A,7,973,E,9,120,A,7,2.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.059,F,8,0.550,F,8,0,1,D,9,00,C,8
01/01/1999,09:00,91,1380,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,6,B,8,5,B,8,-21.0,B,8,-26.2,B,8,60,A,7,973,E,9,120,B,8,2.8,B,8,16100,C,8,15367,B,8,0.7,E,8,0.059,F,8,0.550,F,8,0,1,D,9,00,C,8
01/01/1999,10:00,268,1415,171,2,9,620,2,21,53,2,9,174,2,9,462,2,21,86,2,9,94,2,25,8,B,8,8,B,8,-19.9,B,8,-25.9,B,8,55,A,7,973,E,9,120,B,8,3.4,B,8,16100,C,8,8733,B,8,0.7,E,8,0.059,F,8,0.550,F,8,0,1,D,9,00,C,8
