726815,"MOUNTAIN HOME AFB",ID,-7.0,43.050,-115.867,912
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1995,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,0,E,9,-7.9,E,9,-10.2,E,9,82,A,7,921,E,9,80,E,9,4.0,E,9,16100,C,8,77777,E,9,0.5,E,8,0.043,F,8,0.420,F,8,0,1,D,9,00,C,8
01/01/1995,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,E,9,-6.9,E,9,-10.2,E,9,75,A,7,921,E,9,90,E,9,4.5,E,9,16100,C,8,77777,E,9,0.5,E,8,0.043,F,8,0.420,F,8,0,1,D,9,00,C,8
01/01/1995,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,E,9,-6.9,E,9,-10.2,E,9,75,A,7,921,E,9,120,E,9,4.5,E,9,16100,C,8,77777,E,9,0.5,E,8,0.043,F,8,0.420,F,8,0,1,D,9,00,C,8
01/01/1995,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,E,9,-7.0,E,9,-9.2,E,9,82,A,7,921,E,9,120,E,9,5.9,E,9,16100,C,8,77777,E,9,0.5,E,8,0.043,F,8,0.420,F,8,0,1,D,9,00,C,8
01/01/1995,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,E,9,-7.0,E,9,-9.2,E,9,82,A,7,921,E,9,90,E,9,6.3,E,9,16100,C,8,77777,E,9,0.5,E,8,0.043,F,8,0.420,F,8,0,1,D,9,00,C,8
01/01/1995,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,E,9,0,E,9,-7.0,E,9,-9.2,E,9,82,A,7,921,E,9,130,E,9,6.7,E,9,16100,C,8,77777,E,9,0.5,E,8,0.043,F,8,0.420,F,8,0,1,D,9,00,C,8
01/01/1995,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,E,9,0,E,9,-7.0,E,9,-10.1,E,9,76,A,7,921,E,9,110,E,9,6.7,E,9,16100,C,8,8815,E,9,0.5,E,8,0.043,F,8,0.420,F,8,0,1,D,9,00,C,8
01/01/1995,08:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,E,9,0,E,9,-7.0,E,9,-10.1,E,9,76,A,7,921,E,9,120,E,9,6.6,E,9,16100,C,8,9217,E,9,0.5,E,8,0.043,F,8,0.420,F,8,0,1,D,9,00,C,8
01/01/1995,09:00,53,1026,21,1,18,210,1,22,10,1,18,23,1,18,110,1,22,17,1,18,22,1,34,6,E,9,0,E,9,-7.0,E,9,-10.1,E,9,76,A,7,921,E,9,120,E,9,5.5,E,9,16100,C,8,9619,E,9,0.5,E,8,0.043,F,8,0.420,F,8,0,1,D,9,00,C,8
01/01/1995,10:00,244,1415,141,1,18,579,1,22,41,1,18,141,1,18,432,1,22,66,1,18,71,1,34,6,E,9,0,E,9,-7.0,E,9,-9.1,E,9,83,A,7,921,E,9,150,E,9,5.9,E,9,16100,C,8,10021,E,9,0.5,E,8,0.043,F,8,0.420,F,8,0,1,D,9,00,C,8
01/01/1995,11:00,408,1415,277,1,18,751,1,22,60,1,18,283,1,18,660,1,22,91,1,18,111,1,34,5,E,9,0,E,9,-7.1,E,9,-9.1,E,9,84,A,7,921,E,9,160,E,9,4.9,E,9,16100,C,8,10423,E,9,0.5,E,8,0.043,F,8,0.420,F,8,0,1,D,9,00,C,8
01/01/1995,12:00,520,1415,348,1,18,737,1,22,77,1,18,366,1,18,691,1,22,111,1,18,152,1,34,6,E,9,1,E,9,-6.1,E,9,-9.1,E,9,77,A,7,921,E,9,150,E,9,5.3,E,9,16100,C,8,10825,E,9,0.6,E,8,0.043,F,8,0.420,F,8,0,1,D,9,00,C,8
01/01/1995,13:00,570,1415,397,1,18,779,1,22,83,1,18,407,1,18,735,1,22,110,1,18,157,1,34,6,E,9,1,E,9,-6.1,E,9,-9.1,E,9,77,A,7,920,E,9,160,E,9,5.2,E,9,16100,C,8,11227,E,9,0.6,E,8,0.043,F,8,0.420,F,8,0,1,D,9,00,C,8
01/01/1995,14:00,556,1415,387,1,18,779,1,22,81,1,18,397,1,18,731,1,22,108,1,18,153,1,34,6,E,9,1,E,9,-6.1,E,9,-9.1,E,9,77,A,7,920,E,9,110,E,9,4.6,E,9,16100,C,8,9229,E,9,0.6,E,8,0.043,F,8,0.420,F,8,0,1,D,9,00,C,8
01/01/1995,15:00,479,1415,316,1,18,725,1,22,71,1,18,323,1,18,661,1,22,99,1,18,131,1,34,6,E,9,1,E,9,-6.1,E,9,-9.1,E,9,77,A,7,920,E,9,90,E,9,4.7,E,9,16100,C,8,9631,E,9,0.6,E,8,0.043,F,8,0.420,F,8,0,1,D,9,00,C,8
01/01/1995,16:00,344,1415,207,1,18,637,1,22,52,1,18,210,1,18,533,1,22,80,1,18,95,1,34,6,E,9,1,E,9,-6.1,E,9,-9.1,E,9,77,A,7,919,E,9,70,E,9,4.8,E,9,16100,C,8,10033,E,9,0.6,E,8,0.043,F,8,0.420,F,8,0,1,D,9,00,C,8
01/01/1995,17:00,161,1415,81,1,18,464,1,22,28,1,18,81,1,18,299,1,22,47,1,18,49,1,34,5,E,9,0,E,9,-7.1,E,9,-10.1,E,9,77,A,7,918,E,9,50,E,9,4.9,E,9,16100,C,8,10135,E,9,0.6,E,8,0.043,F,8,0.420,F,8,0,1,D,9,00,C,8
01/01/1995,18:00,8,413,3,1,18,76,1,22,1,1,18,0,1,18,0,1,22,0,1,18,0,1,34,4,E,9,0,E,9,-7.2,E,9,-10.1,E,9,78,A,7,918,E,9,30,E,9,5.0,E,9,16100,C,8,10538,E,9,0.6,E,8,0.043,F,8,0.420,F,8,0,1,D,9,00,C,8
01/01/1995,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4,E,9,0,E,9,-7.2,E,9,-10.0,E,9,78,A,7,918,E,9,10,E,9,5.0,E,9,16100,C,8,10940,E,9,0.6,E,8,0.043,F,8,0.420,F,8,0,1,D,9,00,C,8
01/01/1995,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4,E,9,0,E,9,-7.2,E,9,-9.0,E,9,85,A,7,917,E,9,350,E,9,5.2,E,9,16100,C,8,11342,E,9,0.6,E,8,0.043,F,8,0.420,F,8,0,1,D,9,00,C,8
