726865,"SALMON/LEMHI (AWOS)",ID,-7.0,45.117,-113.883,1233
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2002,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,5,E,9,-6.1,E,9,-9.8,E,9,72,A,7,875,E,9,0,E,9,0.0,E,9,2400,C,8,11567,E,9,0.4,E,8,0.046,F,8,0.520,F,8,0,1,D,9,00,C,8
01/01/2002,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,4,E,9,-5.5,E,9,-10.0,E,9,68,A,7,875,E,9,0,E,9,0.0,E,9,2400,C,8,13581,E,9,0.4,E,8,0.046,F,8,0.520,F,8,0,1,D,9,00,C,8
01/01/2002,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,4,E,9,-6.9,E,9,-11.2,E,9,68,A,7,875,E,9,0,E,9,0.0,E,9,2400,C,8,15595,E,9,0.4,E,8,0.046,F,8,0.520,F,8,0,1,D,9,00,C,8
01/01/2002,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,3,E,9,-7.3,E,9,-11.3,E,9,70,A,7,875,E,9,70,E,9,1.5,E,9,2400,C,8,17607,E,9,0.3,E,8,0.046,F,8,0.520,F,8,0,1,D,9,00,C,8
01/01/2002,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,3,E,9,-8.8,E,9,-12.5,E,9,72,A,7,875,E,9,0,E,9,0.0,E,9,2400,C,8,19621,E,9,0.3,E,8,0.046,F,8,0.520,F,8,0,1,D,9,00,C,8
01/01/2002,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,2,E,9,-8.2,E,9,-8.7,E,9,96,A,7,875,E,9,0,E,9,0.0,E,9,2400,C,8,21635,E,9,0.3,E,8,0.046,F,8,0.520,F,8,0,1,D,9,00,C,8
01/01/2002,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,3,E,9,-8.6,E,9,-10.8,E,9,82,A,7,875,E,9,0,E,9,0.0,E,9,2400,C,8,18550,E,9,0.3,E,8,0.046,F,8,0.520,F,8,0,1,D,9,00,C,8
01/01/2002,08:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,5,E,9,-8.0,E,9,-9.0,E,9,92,A,7,875,E,9,0,E,9,0.0,E,9,2400,C,8,15467,E,9,0.3,E,8,0.046,F,8,0.520,F,8,0,1,D,9,00,C,8
01/01/2002,09:00,52,1026,8,2,9,65,2,21,6,2,9,10,2,9,29,2,21,9,2,9,12,2,25,7,E,9,6,E,9,-8.0,E,9,-8.0,E,9,100,A,7,875,E,9,0,E,9,0.0,E,9,2400,C,8,12200,E,9,0.3,E,8,0.046,F,8,0.520,F,8,0,1,D,9,00,C,8
01/01/2002,10:00,233,1415,128,2,9,535,2,21,40,2,9,132,2,9,380,2,21,69,2,9,73,2,25,7,E,9,7,E,9,-6.0,E,9,-8.0,E,9,84,A,7,875,E,9,0,E,9,0.0,E,9,2400,C,8,8933,E,9,0.3,E,8,0.046,F,8,0.520,F,8,0,1,D,9,00,C,8
