727455,"HIBBING CHISHOLM-HIBBING AP",MN,-6.0,47.383,-92.850,411
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2005,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-15.0,A,7,-17.2,A,7,81,A,7,977,A,7,230,B,8,3.0,B,8,16000,B,7,77777,A,7,0.5,E,8,0.054,F,8,0.480,F,8,0,1,D,9,00,C,8
01/01/2005,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-15.0,A,7,-17.2,A,7,81,A,7,978,A,7,210,B,8,3.6,B,8,16000,B,7,77777,A,7,0.6,E,8,0.054,F,8,0.480,F,8,0,1,D,9,00,C,8
01/01/2005,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-15.0,A,7,-17.2,A,7,81,A,7,980,A,7,210,B,8,3.9,B,8,16000,B,7,77777,A,7,0.6,E,8,0.054,F,8,0.480,F,8,0,1,D,9,00,C,8
01/01/2005,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-16.7,A,7,-18.3,A,7,86,A,7,981,A,7,210,B,8,4.8,B,8,16000,B,7,77777,A,7,0.6,E,8,0.054,F,8,0.480,F,8,0,1,D,9,00,C,8
01/01/2005,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-15.6,A,7,-17.8,A,7,81,A,7,981,A,7,210,B,8,6.7,B,8,16000,B,7,77777,A,7,0.6,E,8,0.054,F,8,0.480,F,8,0,1,D,9,00,C,8
01/01/2005,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-15.6,A,7,-17.8,A,7,81,A,7,981,A,7,200,B,8,6.7,B,8,16000,B,7,77777,A,7,0.7,E,8,0.054,F,8,0.480,F,8,0,1,D,9,00,C,8
01/01/2005,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-15.6,A,7,-18.3,A,7,78,A,7,980,A,7,170,B,8,6.1,B,8,16000,B,7,77777,A,7,0.7,E,8,0.054,F,8,0.480,F,8,0,1,D,9,10,C,8
01/01/2005,08:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-15.0,A,7,-17.8,A,7,77,A,7,981,A,7,150,B,8,3.8,B,8,16000,B,7,77777,A,7,0.8,E,8,0.054,F,8,0.480,F,8,0,1,D,9,10,C,8
01/01/2005,09:00,88,1403,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,B,8,10,B,8,-14.4,A,7,-17.2,A,7,77,A,7,982,A,7,140,B,8,5.2,B,8,16000,B,7,396,A,7,0.8,E,8,0.054,F,8,0.480,F,8,0,1,D,9,10,C,8
01/01/2005,10:00,257,1415,163,2,9,620,2,21,50,2,9,167,2,9,455,2,21,83,2,9,89,2,25,10,B,8,10,B,8,-12.8,A,7,-15.6,A,7,77,A,7,982,A,7,110,B,8,4.2,B,8,16000,B,7,274,A,7,0.8,E,8,0.054,F,8,0.480,F,8,0,1,D,9,10,C,8
01/01/2005,11:00,384,1415,260,2,9,565,2,21,106,2,9,267,2,9,481,2,21,136,2,9,201,2,25,10,B,8,10,B,8,-11.7,A,7,-14.4,A,7,78,A,7,982,A,7,90,B,8,3.8,B,8,16000,B,7,396,A,7,0.9,E,8,0.054,F,8,0.480,F,8,0,1,D,9,10,C,8
01/01/2005,12:00,458,1415,181,2,9,128,2,21,140,2,9,197,2,9,119,2,21,158,2,9,316,2,25,10,E,9,10,E,9,-10.6,A,7,-13.3,A,7,78,A,7,980,A,7,80,A,7,5.2,A,7,16000,B,7,396,A,7,0.9,E,8,0.054,F,8,0.480,F,8,0,1,D,9,10,C,8
01/01/2005,13:00,473,1415,54,2,9,0,2,21,54,2,9,65,2,9,0,2,21,65,2,9,237,2,25,10,E,9,10,A,7,-9.4,A,7,-11.7,A,7,81,A,7,980,A,7,90,A,7,4.1,A,7,6400,B,7,457,A,7,1.0,E,8,0.054,F,8,0.480,F,8,0,1,D,9,10,C,8
01/01/2005,14:00,429,1415,68,2,9,0,2,21,68,2,9,79,2,9,0,2,21,79,2,9,279,2,25,10,E,9,10,A,7,-8.0,A,7,-9.0,A,7,92,A,7,978,A,7,110,A,7,5.7,A,7,1200,B,7,330,A,7,1.1,E,8,0.054,F,8,0.480,F,8,0,1,D,9,10,C,8
01/01/2005,15:00,328,1415,32,2,9,0,2,21,32,2,9,39,2,9,0,2,21,39,2,9,135,2,25,10,E,9,10,A,7,-7.2,A,7,-8.9,A,7,86,A,7,977,A,7,100,A,7,5.7,A,7,800,B,7,183,A,7,1.2,E,8,0.054,F,8,0.480,F,8,0,1,D,9,10,C,8
01/01/2005,16:00,178,1415,94,2,9,306,2,21,55,2,9,95,2,9,179,2,21,72,2,9,103,2,25,10,E,9,10,A,7,-7.0,A,7,-8.0,A,7,92,A,7,976,A,7,100,A,7,6.2,A,7,400,B,7,120,A,7,1.3,E,8,0.054,F,8,0.480,F,8,0,1,D,9,49,C,8
