727474,"EVELETH MUNI (AWOS)",MN,-6.0,47.400,-92.500,421
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1997,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-5.5,B,8,-6.4,B,8,93,A,7,964,E,9,200,B,8,3.5,B,8,4000,C,8,340,B,8,1.4,E,8,0.054,F,8,0.480,F,8,0,1,D,9,00,C,8
01/01/1997,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-5.1,B,8,-6.1,B,8,92,A,7,964,E,9,210,B,8,3.0,B,8,4000,C,8,347,B,8,1.4,E,8,0.054,F,8,0.480,F,8,0,1,D,9,00,C,8
01/01/1997,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-5.0,B,8,-6.0,B,8,92,A,7,964,E,9,210,B,8,2.6,B,8,4000,C,8,353,B,8,1.4,E,8,0.054,F,8,0.480,F,8,0,1,D,9,00,C,8
01/01/1997,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-5.0,A,7,-6.0,A,7,92,A,7,964,E,9,220,A,7,2.1,A,7,4000,B,7,360,A,7,1.4,E,8,0.054,F,8,0.480,F,8,0,1,D,9,00,C,8
01/01/1997,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,E,9,7,E,9,-9.8,E,9,-11.5,E,9,86,A,7,964,E,9,180,E,9,3.3,E,9,4216,C,8,21505,E,9,1.5,E,8,0.054,F,8,0.480,F,8,0,1,D,9,00,C,8
01/01/1997,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,E,9,7,E,9,-11.3,E,9,-12.6,E,9,89,A,7,964,E,9,190,E,9,1.8,E,9,4432,C,8,21550,E,9,1.5,E,8,0.054,F,8,0.480,F,8,0,1,D,9,00,C,8
01/01/1997,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-13.9,E,9,-15.3,E,9,88,A,7,964,E,9,130,E,9,1.3,E,9,4648,C,8,0,E,9,1.5,E,8,0.054,F,8,0.480,F,8,0,1,D,9,00,C,8
01/01/1997,08:00,0,12,0,1,0,0,1,0,0,1,0,0,1,1,0,1,2,0,1,2,0,1,1,10,E,9,10,E,9,-15.4,E,9,-17.0,E,9,86,A,7,964,E,9,70,E,9,0.9,E,9,4864,C,8,0,E,9,1.5,E,8,0.054,F,8,0.480,F,8,0,1,D,9,00,C,8
01/01/1997,09:00,92,1415,11,1,28,0,1,31,11,1,28,13,1,28,0,1,31,13,1,28,41,1,50,10,E,9,10,E,9,-16.9,E,9,-19.2,E,9,80,A,7,964,E,9,90,E,9,3.1,E,9,5080,C,8,0,E,9,1.5,E,8,0.054,F,8,0.480,F,8,0,1,D,9,00,C,8
01/01/1997,10:00,260,1415,34,1,28,0,1,31,34,1,28,40,1,28,0,1,31,40,1,28,134,1,50,10,E,9,10,E,9,-14.0,E,9,-17.5,E,9,72,A,7,964,E,9,60,E,9,3.1,E,9,5296,C,8,30,E,9,1.4,E,8,0.054,F,8,0.480,F,8,0,1,D,9,00,C,8
