727478,"HALLOCK",MN,-6.0,48.783,-96.950,250
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2000,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,-11.0,A,7,-13.0,A,7,84,A,7,983,E,9,330,A,7,7.7,A,7,16100,B,7,77777,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/01/2000,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-13.0,A,7,-15.0,A,7,83,A,7,983,E,9,330,A,7,0.5,A,7,16100,B,7,77777,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/01/2000,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-14.0,A,7,-17.0,A,7,76,A,7,983,E,9,330,A,7,7.2,A,7,16100,B,7,77777,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/01/2000,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-16.0,A,7,-19.0,A,7,75,A,7,983,E,9,340,A,7,5.1,A,7,16100,B,7,77777,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/01/2000,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-17.0,A,7,-20.0,A,7,75,A,7,983,E,9,340,A,7,3.6,A,7,16100,B,7,77777,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/01/2000,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-18.0,A,7,-21.0,A,7,75,A,7,983,E,9,330,A,7,2.6,A,7,16100,B,7,77777,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/01/2000,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,-18.0,A,7,-21.0,A,7,75,A,7,983,E,9,10,A,7,3.1,A,7,16100,B,7,77777,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/01/2000,08:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-19.0,A,7,-22.0,A,7,75,A,7,983,E,9,10,A,7,3.6,A,7,16100,B,7,77777,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/01/2000,09:00,33,861,3,2,9,131,2,21,1,2,9,0,2,9,0,2,21,0,2,9,0,2,25,2,E,9,1,E,9,-19.0,A,7,-22.0,A,7,75,A,7,983,E,9,40,A,7,2.6,A,7,16100,B,7,77777,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/01/2000,10:00,189,1415,116,2,9,483,2,21,51,2,9,115,2,9,300,2,21,75,2,9,83,2,25,2,E,9,2,E,9,-18.0,A,7,-21.0,A,7,75,A,7,983,E,9,60,A,7,2.1,A,7,16100,B,7,77777,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/01/2000,11:00,324,1415,215,2,9,750,2,21,42,2,9,221,2,9,623,2,21,77,2,9,83,2,25,8,E,9,8,E,9,-17.0,A,7,-20.0,A,7,75,A,7,983,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/01/2000,12:00,410,1415,280,2,9,745,2,21,63,2,9,284,2,9,654,2,21,93,2,9,114,2,25,7,E,9,7,E,9,-16.0,A,7,-18.0,A,7,83,A,7,983,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/01/2000,13:00,441,1415,272,2,9,559,2,21,97,2,9,276,2,9,492,2,21,122,2,9,173,2,25,8,E,9,7,E,9,-14.0,A,7,-17.0,A,7,76,A,7,983,E,9,70,A,7,2.6,A,7,16100,B,7,77777,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/01/2000,14:00,413,1415,276,2,9,675,2,21,78,2,9,283,2,9,588,2,21,111,2,9,143,2,25,9,E,9,9,E,9,-13.0,A,7,-16.0,A,7,76,A,7,983,E,9,70,A,7,2.1,A,7,16100,B,7,2700,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/01/2000,15:00,329,1415,188,2,9,602,2,21,47,2,9,191,2,9,500,2,21,74,2,9,89,2,25,10,E,9,10,E,9,-12.0,A,7,-15.0,A,7,76,A,7,983,E,9,40,A,7,3.6,A,7,16100,B,7,1800,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/01/2000,16:00,195,1415,104,2,9,508,2,21,34,2,9,104,2,9,350,2,21,55,2,9,59,2,25,10,E,9,10,E,9,-11.0,A,7,-14.0,A,7,76,A,7,983,E,9,60,A,7,4.6,A,7,16100,B,7,1800,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/01/2000,17:00,38,931,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-11.0,A,7,-14.0,A,7,76,A,7,983,E,9,80,A,7,4.1,A,7,16100,B,7,1110,A,7,0.6,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/01/2000,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-11.0,A,7,-13.0,A,7,84,A,7,983,E,9,70,A,7,5.1,A,7,16100,B,7,1800,A,7,0.6,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/01/2000,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,B,8,9,B,8,-10.4,B,8,-12.4,B,8,84,A,7,983,E,9,80,B,8,5.4,B,8,16100,C,8,2100,B,8,0.6,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/01/2000,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-10.0,A,7,-12.0,A,7,84,A,7,983,E,9,80,A,7,5.7,A,7,16100,B,7,2400,A,7,0.6,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/01/2000,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-10.0,A,7,-12.0,A,7,84,A,7,983,E,9,80,A,7,4.1,A,7,16100,B,7,2700,A,7,0.6,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/01/2000,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-9.0,A,7,-12.0,A,7,77,A,7,983,E,9,80,A,7,5.7,A,7,16100,B,7,2100,A,7,0.6,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/01/2000,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-9.0,A,7,-11.0,A,7,84,A,7,983,E,9,80,A,7,5.1,A,7,16100,B,7,2400,A,7,0.6,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/01/2000,24:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-8.0,A,7,-11.0,A,7,77,A,7,983,E,9,60,A,7,5.1,A,7,16100,B,7,2400,A,7,0.6,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/02/2000,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-8.0,A,7,-11.0,A,7,77,A,7,983,E,9,80,A,7,5.1,A,7,16100,B,7,2400,A,7,0.6,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/02/2000,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-8.0,A,7,-11.0,A,7,77,A,7,983,E,9,80,A,7,5.1,A,7,16100,B,7,2400,A,7,0.6,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/02/2000,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-9.0,A,7,-11.0,A,7,84,A,7,983,E,9,70,A,7,4.1,A,7,16100,B,7,720,A,7,0.6,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/02/2000,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-9.0,A,7,-11.0,A,7,84,A,7,983,E,9,350,A,7,2.1,A,7,16100,B,7,720,A,7,0.6,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/02/2000,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-8.0,A,7,-11.0,A,7,77,A,7,983,E,9,20,A,7,2.1,A,7,16100,B,7,1290,A,7,0.6,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/02/2000,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-9.0,A,7,-11.0,A,7,84,A,7,983,E,9,10,A,7,3.6,A,7,16100,B,7,660,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/02/2000,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-9.0,A,7,-11.0,A,7,84,A,7,983,E,9,340,A,7,3.6,A,7,16100,B,7,660,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/02/2000,08:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-9.0,A,7,-12.0,A,7,77,A,7,983,E,9,340,A,7,4.1,A,7,16100,B,7,600,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/02/2000,09:00,33,884,3,2,9,131,2,21,1,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-10.0,A,7,-12.0,A,7,84,A,7,983,E,9,320,A,7,5.7,A,7,16100,B,7,540,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/02/2000,10:00,189,1415,116,2,9,483,2,21,51,2,9,115,2,9,301,2,21,75,2,9,83,2,25,10,E,9,10,E,9,-11.0,A,7,-13.0,A,7,84,A,7,983,E,9,340,A,7,7.2,A,7,16100,B,7,600,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/02/2000,11:00,325,1415,215,2,9,592,2,21,78,2,9,216,2,9,468,2,21,108,2,9,133,2,25,10,E,9,10,E,9,-13.0,A,7,-15.0,A,7,83,A,7,983,E,9,330,A,7,8.7,A,7,16100,B,7,600,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,71,C,8
01/02/2000,12:00,412,1415,229,2,9,477,2,21,90,2,9,242,2,9,418,2,21,119,2,9,167,2,25,10,E,9,10,E,9,-14.0,A,7,-16.0,A,7,83,A,7,983,E,9,320,A,7,8.2,A,7,16100,B,7,720,A,7,0.4,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/02/2000,13:00,443,1415,254,2,9,517,2,21,91,2,9,259,2,9,457,2,21,115,2,9,165,2,25,10,E,9,10,E,9,-15.0,A,7,-17.0,A,7,83,A,7,983,E,9,330,A,7,8.2,A,7,16100,B,7,600,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,71,C,8
01/02/2000,14:00,415,1415,276,2,9,729,2,21,61,2,9,281,2,9,643,2,21,91,2,9,113,2,25,3,E,9,2,E,9,-15.0,A,7,-17.0,A,7,83,A,7,983,E,9,340,A,7,8.2,A,7,16100,B,7,77777,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/02/2000,15:00,332,1415,209,2,9,741,2,21,35,2,9,222,2,9,630,2,21,73,2,9,81,2,25,10,E,9,10,E,9,-15.0,A,7,-18.0,A,7,76,A,7,983,E,9,330,A,7,6.2,A,7,16100,B,7,420,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/02/2000,16:00,198,1415,109,2,9,596,2,21,25,2,9,115,2,9,439,2,21,53,2,9,54,2,25,10,E,9,10,E,9,-15.0,A,7,-18.0,A,7,76,A,7,983,E,9,320,A,7,7.2,A,7,11300,B,7,420,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/02/2000,17:00,40,955,4,2,9,0,2,21,4,2,9,5,2,9,0,2,21,5,2,9,16,2,25,10,E,9,10,E,9,-16.0,A,7,-18.0,A,7,83,A,7,983,E,9,320,A,7,5.1,A,7,11300,B,7,480,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,71,C,8
01/02/2000,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-15.0,A,7,-18.0,A,7,76,A,7,983,E,9,330,A,7,6.7,A,7,16100,B,7,540,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,71,C,8
01/02/2000,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-15.0,A,7,-18.0,A,7,76,A,7,983,E,9,340,A,7,6.2,A,7,16100,B,7,540,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,71,C,8
01/02/2000,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-15.0,A,7,-18.0,A,7,76,A,7,983,E,9,340,A,7,5.7,A,7,11300,B,7,540,A,7,0.6,E,8,0.048,F,8,0.590,F,8,0,1,D,9,71,C,8
01/02/2000,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-14.0,A,7,-17.0,A,7,76,A,7,983,E,9,350,A,7,4.1,A,7,16100,B,7,540,A,7,0.6,E,8,0.048,F,8,0.590,F,8,0,1,D,9,71,C,8
01/02/2000,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-14.0,A,7,-17.0,A,7,76,A,7,983,E,9,330,A,7,4.1,A,7,16100,B,7,540,A,7,0.6,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/02/2000,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-14.0,A,7,-16.0,A,7,83,A,7,983,E,9,330,A,7,6.7,A,7,11300,B,7,420,A,7,0.6,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/02/2000,24:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-15.0,A,7,-17.0,A,7,83,A,7,983,E,9,340,A,7,6.7,A,7,16100,B,7,600,A,7,0.6,E,8,0.048,F,8,0.590,F,8,0,1,D,9,71,C,8
01/03/2000,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-15.0,A,7,-17.0,A,7,83,A,7,983,E,9,350,A,7,3.6,A,7,16100,B,7,540,A,7,0.6,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/03/2000,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-14.0,A,7,-17.0,A,7,76,A,7,983,E,9,350,A,7,3.1,A,7,16100,B,7,480,A,7,0.6,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/03/2000,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-14.0,A,7,-17.0,A,7,76,A,7,983,E,9,320,A,7,4.1,A,7,16100,B,7,540,A,7,0.6,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/03/2000,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-14.0,A,7,-17.0,A,7,76,A,7,983,E,9,320,A,7,4.6,A,7,16100,B,7,540,A,7,0.6,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/03/2000,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-15.0,A,7,-17.0,A,7,83,A,7,983,E,9,330,A,7,5.1,A,7,8000,B,7,600,A,7,0.6,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/03/2000,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-14.7,B,8,-16.8,B,8,82,A,7,983,E,9,330,B,8,4.9,B,8,7200,C,8,495,B,8,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,71,C,8
01/03/2000,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-14.0,A,7,-16.0,A,7,83,A,7,983,E,9,330,A,7,4.6,A,7,6400,B,7,390,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,71,C,8
01/03/2000,08:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-15.0,A,7,-17.0,A,7,83,A,7,983,E,9,330,A,7,5.7,A,7,6400,B,7,630,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,71,C,8
01/03/2000,09:00,33,884,4,2,9,152,2,21,1,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-16.0,A,7,-18.0,A,7,83,A,7,983,E,9,320,A,7,5.1,A,7,2000,B,7,360,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,71,C,8
01/03/2000,10:00,190,1415,124,2,9,560,2,21,49,2,9,124,2,9,351,2,21,77,2,9,81,2,25,10,E,9,10,E,9,-16.0,A,7,-18.0,A,7,83,A,7,983,E,9,330,A,7,7.7,A,7,2800,B,7,420,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,71,C,8
01/03/2000,11:00,326,1415,215,2,9,504,2,21,98,2,9,218,2,9,401,2,21,125,2,9,186,2,25,10,E,9,10,E,9,-16.0,A,7,-19.0,A,7,75,A,7,983,E,9,340,A,7,6.2,A,7,16100,B,7,1800,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,71,C,8
01/03/2000,12:00,414,1415,121,2,9,55,2,21,105,2,9,133,2,9,50,2,21,118,2,9,280,2,25,10,E,9,10,E,9,-16.0,A,7,-18.0,A,7,83,A,7,983,E,9,35,A,7,6.7,A,7,2800,B,7,570,A,7,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,71,C,8
01/03/2000,13:00,445,1415,79,2,9,0,2,21,79,2,9,92,2,9,0,2,21,92,2,9,319,2,25,9,B,8,9,B,8,-15.8,B,8,-17.7,B,8,84,A,7,983,E,9,360,B,8,6.7,B,8,4600,C,8,1035,B,8,0.5,E,8,0.048,F,8,0.590,F,8,0,1,D,9,71,C,8
01/03/2000,14:00,418,1415,92,2,9,0,2,21,92,2,9,105,2,9,0,2,21,105,2,9,349,2,25,9,E,9,8,E,9,-16.0,A,7,-18.0,A,7,83,A,7,983,E,9,330,A,7,6.7,A,7,6400,B,7,1500,A,7,0.4,E,8,0.048,F,8,0.590,F,8,0,1,D,9,71,C,8
01/03/2000,15:00,335,1415,86,2,9,12,2,21,83,2,9,96,2,9,5,2,21,95,2,9,292,2,25,10,E,9,10,E,9,-16.0,A,7,-18.0,A,7,83,A,7,983,E,9,340,A,7,7.2,A,7,11300,B,7,1410,A,7,0.4,E,8,0.048,F,8,0.590,F,8,0,1,D,9,05,C,8
01/03/2000,16:00,202,1415,96,2,9,260,2,21,59,2,9,98,2,9,164,2,21,74,2,9,110,2,25,10,E,9,10,E,9,-16.0,A,7,-18.0,A,7,83,A,7,983,E,9,340,A,7,7.7,A,7,16100,B,7,1290,A,7,0.4,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/03/2000,17:00,42,979,8,2,9,132,2,21,5,2,9,12,2,9,73,2,21,9,2,9,17,2,25,10,E,9,10,E,9,-17.0,A,7,-19.0,A,7,83,A,7,983,E,9,330,A,7,8.7,A,7,16100,B,7,930,A,7,0.4,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/03/2000,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-17.0,A,7,-19.0,A,7,83,A,7,983,E,9,330,A,7,8.2,A,7,11300,B,7,210,A,7,0.4,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/03/2000,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-18.0,A,7,-21.0,A,7,75,A,7,983,E,9,330,A,7,7.7,A,7,16100,B,7,1500,A,7,0.3,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/03/2000,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-19.0,A,7,-21.0,A,7,83,A,7,983,E,9,330,A,7,7.2,A,7,16100,B,7,870,A,7,0.3,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/03/2000,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-19.0,A,7,-22.0,A,7,75,A,7,983,E,9,330,A,7,6.7,A,7,16100,B,7,1500,A,7,0.3,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/03/2000,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-21.0,A,7,-23.0,A,7,82,A,7,983,E,9,330,A,7,5.7,A,7,16100,B,7,1500,A,7,0.3,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/03/2000,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-22.0,A,7,-23.0,A,7,91,A,7,983,E,9,330,A,7,4.6,A,7,16100,B,7,77777,A,7,0.3,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/03/2000,24:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-22.0,A,7,-24.0,A,7,82,A,7,983,E,9,330,A,7,4.1,A,7,16100,B,7,77777,A,7,0.2,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/04/2000,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-23.0,A,7,-26.0,A,7,74,A,7,983,E,9,320,A,7,2.6,A,7,16100,B,7,77777,A,7,0.3,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/04/2000,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-25.0,A,7,-28.0,A,7,74,A,7,983,E,9,320,A,7,2.6,A,7,16100,B,7,77777,A,7,0.3,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/04/2000,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-26.0,A,7,-28.0,A,7,82,A,7,983,E,9,320,A,7,2.1,A,7,16100,B,7,77777,A,7,0.3,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/04/2000,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-26.0,A,7,-29.0,A,7,74,A,7,983,E,9,320,A,7,2.1,A,7,16100,B,7,77777,A,7,0.3,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/04/2000,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,-25.7,B,8,-28.6,B,8,74,A,7,983,E,9,320,B,8,1.8,B,8,16100,C,8,77777,B,8,0.3,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/04/2000,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-26.0,A,7,-29.0,A,7,74,A,7,983,E,9,310,A,7,1.5,A,7,16100,B,7,77777,A,7,0.4,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
01/04/2000,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-26.0,A,7,-28.0,A,7,82,A,7,983,E,9,310,A,7,1.5,A,7,16100,B,7,77777,A,7,0.4,E,8,0.048,F,8,0.590,F,8,0,1,D,9,00,C,8
