727566,"AUSTIN MUNI",MN,-6.0,43.667,-92.933,375
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1998,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,3,E,9,-9.7,E,9,-9.7,E,9,100,A,7,969,E,9,350,E,9,0.6,E,9,11300,C,8,77777,E,9,0.7,E,8,0.066,F,8,0.650,F,8,0,1,D,9,00,C,8
01/01/1998,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,1,E,9,-10.0,E,9,-10.0,E,9,100,A,7,969,E,9,350,E,9,1.8,E,9,11300,C,8,77777,E,9,0.7,E,8,0.066,F,8,0.650,F,8,0,1,D,9,00,C,8
01/01/1998,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,2,E,9,-9.3,E,9,-9.3,E,9,100,A,7,969,E,9,10,E,9,1.5,E,9,11300,C,8,77777,E,9,0.7,E,8,0.066,F,8,0.650,F,8,0,1,D,9,00,C,8
01/01/1998,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,2,E,9,-9.0,E,9,-9.0,E,9,100,A,7,969,E,9,10,E,9,1.7,E,9,11300,C,8,77777,E,9,0.7,E,8,0.066,F,8,0.650,F,8,0,1,D,9,00,C,8
01/01/1998,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,2,E,9,-8.3,E,9,-8.3,E,9,100,A,7,969,E,9,30,E,9,3.3,E,9,11300,C,8,77777,E,9,0.7,E,8,0.066,F,8,0.650,F,8,0,1,D,9,44,C,8
01/01/1998,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,3,E,9,-7.5,E,9,-7.5,E,9,100,A,7,969,E,9,20,E,9,2.5,E,9,11300,C,8,77777,E,9,0.8,E,8,0.066,F,8,0.650,F,8,0,1,D,9,44,C,8
01/01/1998,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,-7.4,E,9,-7.4,E,9,100,A,7,969,E,9,30,E,9,3.2,E,9,11300,C,8,17639,E,9,0.8,E,8,0.066,F,8,0.650,F,8,0,1,D,9,44,C,8
01/01/1998,08:00,4,295,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,3,E,9,3,E,9,-6.6,E,9,-6.6,E,9,100,A,7,969,E,9,40,E,9,4.5,E,9,11300,C,8,18022,E,9,0.8,E,8,0.066,F,8,0.650,F,8,0,1,D,9,44,C,8
01/01/1998,09:00,143,1415,87,2,9,386,2,21,48,2,9,85,2,9,204,2,21,65,2,9,73,2,25,3,E,9,3,E,9,-4.2,E,9,-4.2,E,9,100,A,7,969,E,9,70,E,9,4.6,E,9,11300,C,8,18405,E,9,0.8,E,8,0.066,F,8,0.650,F,8,0,1,D,9,44,C,8
01/01/1998,10:00,326,1415,214,2,9,637,2,21,67,2,9,218,2,9,510,2,21,100,2,9,118,2,25,3,E,9,3,E,9,-3.4,E,9,-3.4,E,9,100,A,7,969,E,9,90,E,9,4.2,E,9,11300,C,8,17828,E,9,0.9,E,8,0.066,F,8,0.650,F,8,0,1,D,9,44,C,8
01/01/1998,11:00,462,1415,329,2,9,770,2,21,76,2,9,341,2,9,697,2,21,113,2,9,145,2,25,2,E,9,2,E,9,-2.7,E,9,-2.7,E,9,100,A,7,969,E,9,110,E,9,2.4,E,9,11300,C,8,18510,E,9,0.9,E,8,0.066,F,8,0.650,F,8,0,1,D,9,44,C,8
01/01/1998,12:00,541,1415,386,2,9,818,2,21,71,2,9,398,2,9,768,2,21,103,2,9,141,2,25,2,E,9,2,E,9,-0.8,E,9,-0.8,E,9,100,A,7,969,E,9,110,E,9,2.6,E,9,11300,C,8,18713,E,9,0.9,E,8,0.066,F,8,0.650,F,8,0,1,D,9,44,C,8
01/01/1998,13:00,557,1415,394,2,9,821,2,21,69,2,9,410,2,9,777,2,21,102,2,9,141,2,25,2,E,9,2,E,9,-0.1,E,9,-0.1,E,9,100,A,7,969,E,9,120,E,9,2.7,E,9,11300,C,8,18796,E,9,1.0,E,8,0.066,F,8,0.650,F,8,0,1,D,9,44,C,8
01/01/1998,14:00,510,1415,355,2,9,800,2,21,65,2,9,368,2,9,744,2,21,98,2,9,130,2,25,1,E,9,1,E,9,0.7,E,9,0.7,E,9,100,A,7,969,E,9,150,E,9,1.9,E,9,11300,C,8,19749,E,9,1.0,E,8,0.066,F,8,0.650,F,8,0,1,D,9,44,C,8
01/01/1998,15:00,402,1415,263,2,9,720,2,21,58,2,9,269,2,9,631,2,21,88,2,9,109,2,25,1,E,9,1,E,9,1.4,E,9,1.4,E,9,100,A,7,969,E,9,170,E,9,3.1,E,9,11300,C,8,20312,E,9,1.0,E,8,0.066,F,8,0.650,F,8,0,1,D,9,44,C,8
01/01/1998,16:00,242,1415,139,2,9,574,2,21,40,2,9,139,2,9,428,2,21,65,2,9,70,2,25,1,E,9,1,E,9,1.6,E,9,1.6,E,9,100,A,7,969,E,9,180,E,9,2.8,E,9,11300,C,8,20754,E,9,1.0,E,8,0.066,F,8,0.650,F,8,0,1,D,9,44,C,8
01/01/1998,17:00,53,1026,12,2,9,171,2,21,7,2,9,18,2,9,98,2,21,12,2,9,22,2,25,0,E,9,0,E,9,1.2,E,9,1.2,E,9,100,A,7,969,E,9,200,E,9,3.4,E,9,11300,C,8,21377,E,9,1.1,E,8,0.066,F,8,0.650,F,8,0,1,D,9,44,C,8
01/01/1998,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,2.0,A,7,2.0,A,7,100,A,7,969,E,9,210,A,7,2.6,A,7,11300,B,7,77777,A,7,1.1,E,8,0.066,F,8,0.650,F,8,0,1,D,9,44,C,8
01/01/1998,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,4,E,9,2.0,A,7,2.0,A,7,100,A,7,969,E,9,210,A,7,3.6,A,7,11300,B,7,77777,A,7,1.1,E,8,0.066,F,8,0.650,F,8,0,1,D,9,44,C,8
01/01/1998,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,4,E,9,3.0,E,9,3.0,E,9,100,A,7,969,E,9,220,E,9,4.8,E,9,11414,C,8,21538,E,9,1.1,E,8,0.066,F,8,0.650,F,8,0,1,D,9,44,C,8
01/01/1998,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,E,9,3.9,E,9,3.9,E,9,100,A,7,969,E,9,230,E,9,5.8,E,9,11528,C,8,21077,E,9,1.2,E,8,0.066,F,8,0.650,F,8,0,1,D,9,44,C,8
01/01/1998,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,E,9,5.0,E,9,4.5,E,9,97,A,7,969,E,9,240,E,9,5.9,E,9,11642,C,8,20495,E,9,1.2,E,8,0.066,F,8,0.650,F,8,0,1,D,9,44,C,8
01/01/1998,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,E,9,4.2,E,9,4.2,E,9,100,A,7,969,E,9,240,E,9,5.0,E,9,11757,C,8,19973,E,9,1.2,E,8,0.066,F,8,0.650,F,8,0,1,D,9,44,C,8
01/01/1998,24:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,E,9,2.4,E,9,2.4,E,9,100,A,7,969,E,9,250,E,9,5.6,E,9,11871,C,8,19392,E,9,1.3,E,8,0.066,F,8,0.650,F,8,0,1,D,9,44,C,8
01/02/1998,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,5,E,9,1.2,E,9,1.2,E,9,100,A,7,969,E,9,260,E,9,4.0,E,9,11985,C,8,18930,E,9,1.3,E,8,0.066,F,8,0.650,F,8,0,1,D,9,44,C,8
