727573,"DEVILS LAKE(AWOS)",ND,-6.0,48.117,-98.917,443
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1999,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-25.0,A,7,-31.0,A,7,54,A,7,961,E,9,130,A,7,6.7,A,7,16100,B,7,90,A,7,0.6,E,8,0.046,F,8,0.620,F,8,0,1,D,9,00,C,8
01/01/1999,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-24.7,B,8,-30.8,B,8,54,A,7,961,E,9,130,B,8,6.9,B,8,16100,C,8,760,B,8,0.7,E,8,0.046,F,8,0.620,F,8,0,1,D,9,00,C,8
01/01/1999,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-24.3,B,8,-30.5,B,8,53,A,7,961,E,9,140,B,8,7.0,B,8,16100,C,8,1430,B,8,0.7,E,8,0.046,F,8,0.620,F,8,0,1,D,9,00,C,8
01/01/1999,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-24.0,A,7,-31.0,A,7,49,A,7,961,E,9,140,A,7,7.2,A,7,16100,B,7,2100,A,7,0.7,E,8,0.046,F,8,0.620,F,8,0,1,D,9,00,C,8
01/01/1999,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-23.3,B,8,-27.6,B,8,65,A,7,961,E,9,140,B,8,7.4,B,8,14500,C,8,1580,B,8,0.7,E,8,0.046,F,8,0.620,F,8,0,1,D,9,00,C,8
01/01/1999,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-22.3,B,8,-24.5,B,8,80,A,7,961,E,9,130,B,8,7.5,B,8,12900,C,8,1060,B,8,0.7,E,8,0.046,F,8,0.620,F,8,0,1,D,9,00,C,8
01/01/1999,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-22.0,A,7,-22.0,A,7,100,A,7,961,E,9,130,A,7,7.7,A,7,11300,B,7,540,A,7,0.7,E,8,0.046,F,8,0.620,F,8,0,1,D,9,00,C,8
01/01/1999,08:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-21.5,B,8,-23.2,B,8,85,A,7,961,E,9,130,B,8,7.5,B,8,9616,C,8,370,B,8,0.7,E,8,0.046,F,8,0.620,F,8,0,1,D,9,00,C,8
01/01/1999,09:00,25,743,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,B,8,10,B,8,-21.4,B,8,-25.0,B,8,70,A,7,961,E,9,120,B,8,7.4,B,8,7933,C,8,200,B,8,0.6,E,8,0.046,F,8,0.620,F,8,0,1,D,9,00,C,8
01/01/1999,10:00,180,1415,19,2,9,0,2,21,19,2,9,23,2,9,0,2,21,23,2,9,75,2,25,10,E,9,10,E,9,-21.0,A,7,-27.0,A,7,55,A,7,961,E,9,120,A,7,7.2,A,7,6250,C,8,30,A,7,0.6,E,8,0.046,F,8,0.620,F,8,0,1,D,9,00,C,8
01/01/1999,11:00,323,1415,210,2,9,443,2,21,109,2,9,211,2,9,350,2,21,131,2,9,210,2,25,10,B,8,10,B,8,-20.1,B,8,-25.9,B,8,57,A,7,961,E,9,120,B,8,8.2,B,8,4566,C,8,30,B,8,0.6,E,8,0.046,F,8,0.620,F,8,0,1,D,9,00,C,8
