727720,"HELENA REGIONAL AIRPORT",MT,-7.0,46.600,-111.967,1167
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1987,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-16.7,A,7,-17.2,A,7,96,A,7,882,A,7,0,A,7,0.0,A,7,24100,B,7,77777,A,7,0.4,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1987,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-16.7,A,7,-17.8,A,7,91,A,7,882,A,7,0,A,7,0.0,A,7,24100,B,7,77777,A,7,0.4,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1987,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-15.6,A,7,-17.2,A,7,87,A,7,881,A,7,0,A,7,0.0,A,7,24100,B,7,77777,A,7,0.4,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1987,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,A,7,6,A,7,-17.2,A,7,-18.9,A,7,87,A,7,881,A,7,0,A,7,0.0,A,7,24100,B,7,3660,A,7,0.4,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1987,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,8,A,7,-14.4,A,7,-15.6,A,7,91,A,7,881,A,7,0,A,7,0.0,A,7,24100,B,7,3660,A,7,0.5,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1987,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,0,A,7,-14.4,A,7,-16.1,A,7,87,A,7,880,A,7,0,A,7,0.0,A,7,24100,B,7,77777,A,7,0.5,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1987,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4,A,7,1,A,7,-16.7,A,7,-17.8,A,7,91,A,7,879,A,7,240,A,7,2.1,A,7,24100,B,7,77777,A,7,0.4,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1987,08:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,A,7,-16.7,A,7,-18.3,A,7,87,A,7,879,A,7,210,A,7,1.5,A,7,24100,B,7,77777,A,7,0.4,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1987,09:00,54,1073,31,1,13,167,1,9,18,1,13,27,1,13,70,1,9,24,1,13,31,1,21,6,A,7,2,A,7,-15.0,A,7,-17.2,A,7,83,A,7,878,A,7,240,A,7,1.5,A,7,64400,B,7,77777,A,7,0.4,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1987,10:00,228,1415,117,1,13,337,1,9,62,1,13,119,1,13,227,1,9,82,1,13,114,1,21,10,A,7,3,A,7,-11.1,A,7,-13.3,A,7,84,A,7,877,A,7,0,A,7,0.0,A,7,64400,B,7,77777,A,7,0.5,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1987,11:00,370,1415,203,1,13,437,1,9,88,1,13,211,1,13,368,1,9,115,1,13,163,1,21,10,A,7,3,A,7,-11.7,A,7,-13.9,A,7,84,A,7,876,A,7,350,A,7,1.5,A,7,64400,B,7,77777,A,7,0.5,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1987,12:00,460,1415,262,1,13,463,1,9,111,1,13,274,1,13,420,1,9,137,1,13,210,1,21,10,A,7,4,A,7,-9.4,A,7,-13.3,A,7,74,A,7,874,A,7,0,A,7,0.0,A,7,64400,B,7,77777,A,7,0.5,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1987,13:00,492,1415,243,1,13,173,1,9,183,1,13,260,1,13,163,1,9,203,1,13,418,1,21,10,A,7,5,A,7,-7.2,A,7,-12.8,A,7,65,A,7,872,A,7,280,A,7,1.5,A,7,64400,B,7,77777,A,7,0.5,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1987,14:00,463,1415,257,1,13,448,1,9,111,1,13,270,1,13,407,1,9,136,1,13,211,1,21,10,A,7,4,A,7,-5.0,A,7,-11.7,A,7,60,A,7,872,A,7,280,A,7,2.1,A,7,64400,B,7,77777,A,7,0.6,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1987,15:00,376,1415,170,1,13,98,1,9,144,1,13,186,1,13,88,1,9,162,1,13,337,1,21,10,A,7,7,A,7,-3.3,A,7,-11.1,A,7,55,A,7,871,A,7,300,A,7,1.5,A,7,64400,B,7,3660,A,7,0.6,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1987,16:00,236,1415,92,1,13,113,1,9,73,1,13,99,1,13,81,1,9,85,1,13,156,1,21,10,A,7,9,A,7,-3.3,A,7,-10.0,A,7,60,A,7,871,A,7,0,A,7,0.0,A,7,64400,B,7,1370,A,7,0.6,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1987,17:00,61,1144,28,1,13,43,1,9,24,1,13,29,1,13,18,1,9,28,1,13,50,1,21,10,A,7,8,A,7,-3.3,A,7,-8.9,A,7,66,A,7,871,A,7,180,A,7,2.1,A,7,24100,B,7,1370,A,7,0.7,E,8,0.000,F,8,0.00,?,0,0,1,D,9,00,C,8
01/01/1987,18:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,8,A,7,-6.7,A,7,-9.4,A,7,81,A,7,871,A,7,270,A,7,3.1,A,7,24100,B,7,1370,A,7,0.6,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1987,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-4.4,A,7,-7.8,A,7,78,A,7,872,A,7,20,A,7,2.1,A,7,24100,B,7,1370,A,7,0.7,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1987,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,9,A,7,-3.9,A,7,-7.8,A,7,75,A,7,871,A,7,200,A,7,2.1,A,7,24100,B,7,1520,A,7,0.7,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1987,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,A,7,6,A,7,-6.7,A,7,-9.4,A,7,81,A,7,871,A,7,220,A,7,1.5,A,7,24100,B,7,1520,A,7,0.6,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1987,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,8,A,7,-7.8,A,7,-9.4,A,7,88,A,7,870,A,7,240,A,7,2.6,A,7,24100,B,7,3050,A,7,0.6,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
01/01/1987,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,6,A,7,-7.8,A,7,-10.0,A,7,84,A,7,871,A,7,230,A,7,2.1,A,7,24100,B,7,3050,A,7,0.6,E,8,0.000,?,0,0.00,?,0,0,1,D,9,00,C,8
