727827,"MOSES LAKE GRANT COUNTY AP",WA,-8.0,47.200,-119.317,364
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2000,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.0,A,7,-3.0,A,7,92,A,7,967,A,7,120,A,7,2.1,A,7,1200,B,7,30,A,7,0.9,E,8,0.048,F,8,0.490,F,8,0,1,D,9,48,C,8
01/01/2000,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.0,A,7,-3.0,A,7,92,A,7,967,A,7,140,A,7,2.1,A,7,3200,B,7,120,A,7,0.9,E,8,0.048,F,8,0.490,F,8,0,1,D,9,10,C,8
01/01/2000,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.0,A,7,-3.0,A,7,92,A,7,966,A,7,0,A,7,0.0,A,7,4000,B,7,30,A,7,0.8,E,8,0.048,F,8,0.490,F,8,0,1,D,9,10,C,8
01/01/2000,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.0,A,7,-3.0,A,7,92,A,7,966,A,7,100,A,7,1.5,A,7,2400,B,7,60,A,7,0.8,E,8,0.048,F,8,0.490,F,8,0,1,D,9,10,C,8
01/01/2000,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-3.0,A,7,-3.0,A,7,100,A,7,965,A,7,110,A,7,2.6,A,7,800,B,7,15,A,7,0.8,E,8,0.048,F,8,0.490,F,8,0,1,D,9,10,C,8
01/01/2000,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3.0,A,7,-4.0,A,7,92,A,7,965,A,7,30,A,7,1.5,A,7,2800,B,7,30,A,7,0.8,E,8,0.048,F,8,0.490,F,8,0,1,D,9,10,C,8
01/01/2000,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3.0,A,7,-3.0,A,7,100,A,7,964,A,7,50,A,7,2.1,A,7,2800,B,7,30,A,7,0.8,E,8,0.048,F,8,0.490,F,8,0,1,D,9,10,C,8
01/01/2000,08:00,5,342,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,A,7,-2.0,A,7,-2.0,A,7,100,A,7,963,A,7,0,A,7,0.0,A,7,800,B,7,15,A,7,0.7,E,8,0.048,F,8,0.490,F,8,0,1,D,9,49,C,8
01/01/2000,09:00,133,1415,8,2,9,0,2,21,8,2,9,10,2,9,0,2,21,10,2,9,32,2,25,10,E,9,10,A,7,-2.0,A,7,-2.0,A,7,100,A,7,963,A,7,0,A,7,0.0,A,7,400,B,7,15,A,7,0.7,E,8,0.048,F,8,0.490,F,8,0,1,D,9,10,C,8
01/01/2000,10:00,294,1415,54,2,9,0,2,21,54,2,9,62,2,9,0,2,21,62,2,9,203,2,25,10,E,9,10,E,9,-2.0,A,7,-2.0,A,7,100,A,7,963,A,7,260,A,7,2.1,A,7,4800,B,7,30,A,7,0.7,E,8,0.048,F,8,0.490,F,8,0,1,D,9,10,C,8
