742070,"GRAY AAF",WA,-8.0,47.083,-122.583,90
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1991,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,8,E,9,5.0,A,7,3.9,A,7,93,A,7,1013,A,7,200,A,7,3.1,A,7,11200,B,7,1500,A,7,1.0,E,8,0.073,F,8,0.350,F,8,0,1,D,9,00,C,8
01/01/1991,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,5.0,A,7,3.3,A,7,89,A,7,1014,A,7,200,A,7,3.1,A,7,11200,B,7,1500,A,7,1.0,E,8,0.073,F,8,0.350,F,8,0,1,D,9,00,C,8
01/01/1991,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,5.0,A,7,1.7,A,7,79,A,7,1014,A,7,200,A,7,3.6,A,7,11200,B,7,1350,A,7,1.0,E,8,0.073,F,8,0.350,F,8,0,1,D,9,00,C,8
01/01/1991,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,5.0,A,7,3.3,A,7,89,A,7,1014,A,7,200,A,7,4.1,A,7,11200,B,7,2700,A,7,1.0,E,8,0.073,F,8,0.350,F,8,0,1,D,9,00,C,8
01/01/1991,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,5.0,A,7,3.9,A,7,93,A,7,1014,A,7,200,A,7,4.6,A,7,11200,B,7,2400,A,7,1.0,E,8,0.073,F,8,0.350,F,8,0,1,D,9,00,C,8
01/01/1991,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,5.0,A,7,3.9,A,7,93,A,7,1014,A,7,190,A,7,4.1,A,7,11200,B,7,2100,A,7,1.0,E,8,0.073,F,8,0.350,F,8,0,1,D,9,00,C,8
01/01/1991,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,5.0,A,7,3.3,A,7,89,A,7,1014,A,7,190,A,7,3.6,A,7,11200,B,7,1350,A,7,1.0,E,8,0.073,F,8,0.350,F,8,0,1,D,9,00,C,8
01/01/1991,08:00,0,35,0,1,11,0,1,17,0,1,11,0,1,11,0,1,17,0,1,11,0,1,23,9,A,7,7,E,9,5.0,A,7,3.3,A,7,89,A,7,1014,A,7,160,A,7,1.0,A,7,11200,B,7,1350,A,7,1.0,E,8,0.073,F,8,0.350,F,8,0,1,D,9,00,C,8
01/01/1991,09:00,96,1415,26,1,11,20,1,17,25,1,11,29,1,11,11,1,17,28,1,11,58,1,23,9,A,7,8,E,9,5.0,A,7,3.3,A,7,89,A,7,1015,A,7,180,A,7,4.1,A,7,11200,B,7,1200,A,7,1.0,E,8,0.073,F,8,0.350,F,8,0,1,D,9,00,C,8
01/01/1991,10:00,265,1415,71,1,11,96,1,17,53,1,11,79,1,11,74,1,17,65,1,11,114,1,23,9,A,7,7,E,9,5.6,A,7,3.9,A,7,89,A,7,1015,A,7,200,A,7,5.1,A,7,11200,B,7,3000,A,7,1.0,E,8,0.073,F,8,0.350,F,8,0,1,D,9,00,C,8
