745985,"MARTINSVILLE",VA,-5.0,36.633,-80.017,287
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2005,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,9.0,A,7,8.0,A,7,93,A,7,979,E,9,0,A,7,0.0,A,7,16100,B,7,3300,A,7,2.1,E,8,0.066,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,10.0,A,7,8.0,A,7,87,A,7,979,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,2.1,E,8,0.066,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,A,7,7.0,A,7,6.0,A,7,93,A,7,979,E,9,0,A,7,0.0,A,7,16100,B,7,3300,A,7,2.1,E,8,0.066,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,5,A,7,7.0,A,7,6.0,A,7,93,A,7,979,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,2.2,E,8,0.066,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,6.0,A,7,6.0,A,7,100,A,7,979,E,9,0,A,7,0.0,A,7,16100,B,7,3300,A,7,2.1,E,8,0.066,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,A,7,6.0,A,7,4.0,A,7,87,A,7,979,E,9,0,A,7,0.0,A,7,11300,B,7,3300,A,7,2.1,E,8,0.066,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,6.0,A,7,6.0,A,7,100,A,7,979,E,9,0,A,7,0.0,A,7,16100,B,7,3300,A,7,2.1,E,8,0.066,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,08:00,22,601,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,9,A,7,6.0,A,7,6.0,A,7,100,A,7,979,E,9,0,A,7,0.0,A,7,16100,B,7,3300,A,7,2.1,E,8,0.066,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,09:00,219,1415,119,2,9,298,2,21,73,2,9,119,2,9,195,2,21,89,2,9,139,2,25,10,E,9,10,A,7,9.0,A,7,8.0,A,7,93,A,7,979,E,9,0,A,7,0.0,A,7,16100,B,7,3300,A,7,2.1,E,8,0.066,F,8,0.170,F,8,0,1,D,9,00,C,8
01/01/2005,10:00,429,1415,228,2,9,354,2,21,120,2,9,234,2,9,313,2,21,138,2,9,230,2,25,10,E,9,5,A,7,14.0,A,7,9.0,A,7,72,A,7,979,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,2.2,E,8,0.066,F,8,0.170,F,8,0,1,D,9,00,C,8
