785203,"MERCEDITA",PR,-4.0,18.000,-66.550,8
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1991,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,E,9,21.2,E,9,20.6,E,9,96,A,7,1012,E,9,90,E,9,2.6,E,9,24000,C,8,77777,E,9,3.5,E,8,0.113,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1991,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,21.2,B,8,20.6,B,8,96,A,7,1012,E,9,90,B,8,2.6,B,8,24000,C,8,77777,B,8,3.5,E,8,0.113,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1991,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,21.2,B,8,21.0,B,8,99,A,7,1012,E,9,90,B,8,2.6,B,8,24000,C,8,77777,B,8,3.4,E,8,0.113,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1991,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,22.4,B,8,21.8,B,8,96,A,7,1012,E,9,90,B,8,2.6,B,8,24000,C,8,77777,B,8,3.4,E,8,0.113,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1991,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,21.1,A,7,20.0,A,7,93,A,7,1012,E,9,90,A,7,2.6,A,7,24000,B,7,77777,A,7,3.4,E,8,0.113,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1991,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,21.1,A,7,18.9,A,7,87,A,7,1012,E,9,100,A,7,2.6,A,7,24000,B,7,77777,A,7,3.3,E,8,0.113,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1991,07:00,0,35,0,1,25,0,1,28,0,1,25,0,1,25,0,1,28,0,1,25,0,1,45,0,A,7,0,E,9,20.6,A,7,17.2,A,7,81,A,7,1012,E,9,0,A,7,0.0,A,7,24000,B,7,77777,A,7,3.3,E,8,0.113,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1991,08:00,155,1415,55,1,25,166,1,28,37,1,25,57,1,25,90,1,28,47,1,25,67,1,45,0,A,7,0,E,9,23.3,A,7,17.2,A,7,69,A,7,1012,E,9,30,A,7,2.6,A,7,24000,B,7,77777,A,7,3.3,E,8,0.113,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1991,09:00,449,1415,249,1,25,527,1,28,81,1,25,257,1,25,471,1,28,107,1,25,151,1,45,0,A,7,0,E,9,26.7,A,7,19.4,A,7,64,A,7,1012,E,9,110,A,7,3.6,A,7,24000,B,7,77777,A,7,3.3,E,8,0.113,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1991,10:00,704,1415,460,1,25,694,1,28,115,1,25,485,1,25,684,1,28,143,1,25,245,1,45,0,A,7,0,E,9,28.3,A,7,17.8,A,7,53,A,7,1012,E,9,60,A,7,5.1,A,7,24000,B,7,77777,A,7,3.3,E,8,0.113,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1991,11:00,900,1415,331,1,25,110,1,28,261,1,25,364,1,25,116,1,28,290,1,25,732,1,45,9,A,7,9,E,9,28.3,A,7,19.4,A,7,59,A,7,1012,E,9,80,A,7,5.1,A,7,24000,B,7,1800,A,7,3.3,E,8,0.113,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1991,12:00,1023,1415,742,1,25,796,1,28,167,1,25,791,1,25,811,1,28,203,1,25,494,1,45,2,A,7,2,E,9,30.0,A,7,18.9,A,7,51,A,7,1012,E,9,80,A,7,6.2,A,7,24000,B,7,77777,A,7,3.2,E,8,0.113,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1991,13:00,1064,1415,745,1,25,736,1,28,191,1,25,790,1,25,748,1,28,225,1,25,599,1,45,3,A,7,3,E,9,31.1,A,7,18.3,A,7,47,A,7,1012,E,9,110,A,7,5.1,A,7,24000,B,7,77777,A,7,3.2,E,8,0.113,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1991,14:00,1022,1415,709,1,25,724,1,28,186,1,25,750,1,25,734,1,28,218,1,25,543,1,45,2,A,7,2,E,9,31.7,A,7,20.0,A,7,50,A,7,1012,E,9,90,A,7,5.1,A,7,24000,B,7,77777,A,7,3.2,E,8,0.113,F,8,0.130,F,8,0,1,D,9,00,C,8
