912120,"GUAM WFO",GU,10.0,13.483,144.800,77
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1996,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,B,8,2,B,8,24.8,B,8,23.5,B,8,92,A,7,1003,B,8,110,B,8,2.8,B,8,11200,C,8,18038,B,8,4.5,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/1996,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,24.8,B,8,23.2,B,8,91,A,7,1003,B,8,110,B,8,2.4,B,8,11200,C,8,77777,B,8,4.5,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/1996,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,B,8,0,B,8,24.6,B,8,23.2,B,8,92,A,7,1003,B,8,130,B,8,2.7,B,8,11200,C,8,77777,B,8,4.5,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/1996,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,B,8,0,B,8,24.7,B,8,23.4,B,8,92,A,7,1003,B,8,70,B,8,1.7,B,8,11200,C,8,77777,B,8,4.4,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/1996,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,B,8,0,B,8,24.1,B,8,22.8,B,8,92,A,7,1003,B,8,0,B,8,0.0,B,8,11200,C,8,77777,B,8,4.4,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/1996,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,B,8,1,B,8,24.5,B,8,23.0,B,8,91,A,7,1004,B,8,60,B,8,1.0,B,8,11200,C,8,77777,B,8,4.4,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/1996,07:00,9,366,1,1,11,0,1,16,1,1,11,0,1,11,0,1,16,0,1,11,0,1,22,10,B,8,5,B,8,24.8,B,8,23.0,B,8,90,A,7,1004,B,8,130,B,8,1.6,B,8,11200,C,8,21238,B,8,4.4,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/1996,08:00,233,1415,83,1,11,69,1,16,71,1,11,89,1,11,49,1,16,81,1,11,151,1,22,10,B,8,5,B,8,25.4,B,8,23.2,B,8,88,A,7,1004,B,8,60,B,8,0.4,B,8,11200,C,8,17885,B,8,4.4,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/1996,09:00,532,1415,215,1,11,220,1,16,132,1,11,231,1,11,214,1,16,150,1,11,268,1,22,8,B,8,5,B,8,26.8,B,8,23.4,B,8,82,A,7,1004,B,8,140,B,8,1.8,B,8,11200,C,8,19714,B,8,4.4,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
01/01/1996,10:00,787,1415,383,1,10,291,1,16,221,1,10,413,1,10,307,1,16,242,1,10,522,1,21,10,A,7,5,A,7,27.2,A,7,23.3,A,7,79,A,7,1004,A,7,120,A,7,3.1,A,7,11200,B,7,77777,A,7,4.3,E,8,0.000,F,8,0.00,F,8,0,1,D,9,00,C,8
