912180,"ANDERSEN AFB",GU,10.0,13.567,144.917,162
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1991,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,E,9,25.6,E,9,22.2,E,9,82,A,7,995,E,9,60,E,9,6.7,E,9,11200,C,8,900,E,9,3.9,E,8,0.129,F,8,0.130,F,8,1,1,D,9,00,C,8
01/01/1991,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,E,9,24.8,E,9,21.9,E,9,84,A,7,995,B,8,60,E,9,6.4,E,9,11200,C,8,4680,E,9,3.9,E,8,0.129,F,8,0.130,F,8,1,1,D,9,00,C,8
01/01/1991,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,E,9,7,E,9,24.6,E,9,21.8,E,9,84,A,7,995,B,8,60,E,9,6.4,E,9,11200,C,8,11360,E,9,3.8,E,8,0.129,F,8,0.130,F,8,1,1,D,9,00,C,8
01/01/1991,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,E,9,24.1,E,9,21.8,E,9,87,A,7,995,B,8,50,E,9,5.5,E,9,11200,C,8,4440,E,9,3.8,E,8,0.129,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1991,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,E,9,7,E,9,23.6,E,9,21.7,E,9,89,A,7,995,B,8,50,E,9,5.7,E,9,11200,C,8,13820,E,9,3.8,E,8,0.129,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1991,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,E,9,7,E,9,23.9,E,9,21.8,E,9,88,A,7,995,B,8,60,E,9,5.4,E,9,11200,C,8,13400,E,9,3.8,E,8,0.129,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1991,07:00,10,366,1,1,17,2,1,21,1,1,17,0,1,17,0,1,21,0,1,17,0,1,32,9,E,9,9,E,9,23.6,E,9,21.4,E,9,87,A,7,995,B,8,60,E,9,5.6,E,9,11200,C,8,6480,E,9,3.8,E,8,0.129,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1991,08:00,234,1415,33,1,17,20,1,21,30,1,17,37,1,17,15,1,21,34,1,17,82,1,32,9,E,9,9,E,9,24.4,E,9,21.7,E,9,85,A,7,995,B,8,60,E,9,5.5,E,9,11200,C,8,2910,E,9,3.7,E,8,0.129,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1991,09:00,533,1415,254,1,17,266,1,21,154,1,17,270,1,17,259,1,21,172,1,17,322,1,32,9,E,9,9,E,9,25.1,E,9,21.9,E,9,82,A,7,995,B,8,50,E,9,6.8,E,9,11200,C,8,1320,E,9,3.7,E,8,0.129,F,8,0.130,F,8,0,1,D,9,00,C,8
01/01/1991,10:00,788,1415,391,1,25,345,1,28,199,1,25,425,1,25,364,1,28,222,1,25,461,1,45,9,A,7,9,E,9,25.6,A,7,22.2,A,7,82,A,7,995,A,7,60,A,7,6.7,A,7,11200,B,7,900,A,7,3.7,E,8,0.129,F,8,0.130,F,8,0,1,D,9,00,C,8
