locationID,Latitude,Longitude
ADK,51.8781,176.6461
AKK,56.9386,154.1825
Z13,60.9047,161.4225
AKI,60.9028,161.2306
AUK,62.6800,164.6600
5A8,59.2825,158.6178
4AK7,59.2808,158.5972
Z25,59.2631,158.5578
6A8,66.5519,152.6222
AFM,67.1064,157.8575
AK80,65.1017,151.1775
AKP,68.1336,151.7433
AK00,59.7967,151.8633
00AK,59.8561,151.6964
A13,61.3414,148.9989
CSR,61.1586,149.7806
EDF,61.2514,149.8064
6AK5,61.1683,150.1606
AK12,61.1067,149.8642
Z41,61.1869,149.9653
MRI,61.2136,149.8444
AA05,61.5078,149.0783
AA06,61.2897,149.8061
9AK5,61.1164,149.8189
ANC,61.1744,149.9964
ANI,61.5817,159.5431
ANN,55.0425,131.5722
ANV,62.6467,160.1906
ARC,68.1147,145.5794
AKA,52.2203,174.2064
4A2,60.8667,162.2731
ATK,70.4672,157.4358
ATU,52.8283,173.1803
BRW,71.2856,156.7661
BTI,70.1339,143.5819
Z47,64.6797,165.2997
AK02,65.5400,161.0625
Z48,63.5717,156.1442
Z52,56.0367,160.2661
WBQ,66.3622,147.4067
BLG,61.1722,151.0439
BET,60.7797,161.8381
BTT,66.9139,151.5292
BGQ,61.5361,149.8139
9AK7,61.5897,149.8167
08AK,61.5697,149.7244
AK86,61.5736,149.9114
63AK,61.5844,149.9381
20AK,61.5039,149.8961
AK95,61.5703,149.7792
09AK,61.5894,149.8472
37AK,59.3611,155.2589
Z91,66.2739,145.8242
BCV,61.4161,149.5083
5BK,63.5353,145.8608
AK97,60.4231,146.1458
BYA,64.0783,141.1133
KTS,65.3314,166.4658
AK98,65.6386,167.4858
BVK,65.9817,161.1492
AK75,65.9078,161.9264
TTW,63.3911,148.9556
15AK,63.3706,148.8503
LUR,68.8750,166.1100
EHM,58.6464,162.0628
CZF,61.7811,166.0394
26AK,54.5825,164.9144
CEM,65.5739,144.7808
CIK,66.6450,143.7400
5CD,68.0656,149.5797
WCR,67.5044,148.4833
CFK,60.1492,164.2856
AK13,65.0519,146.0475
C05,60.0772,147.9919
VAK,61.5408,165.6008
CKX,64.0714,141.9522
AJC,56.3114,158.3733
KCL,56.3111,158.5342
A79,56.2550,158.7753
CZN,62.0711,142.0483
CZO,62.5633,144.6689
CXC,61.5828,144.4272
9A3,61.5792,159.2156
AK24,61.4181,149.4392
CRC,65.8278,144.0761
CHP,65.4856,144.6108
CLP,58.8336,158.5294
Z84,64.3011,149.1200
CLF,64.2569,149.1861
2Z2,65.1758,150.2206
2Z3,64.0419,148.8631
AK28,64.8139,147.9186
31AK,64.8328,147.4247
EIL,64.6656,147.1014
Z86,63.0267,147.1786
CDB,55.2061,162.7256
1AK3,56.0061,160.5608
CXF,67.2522,150.2039
KCR,63.5678,155.9892
JLA,60.4828,149.7189
Z93,61.9411,145.2942
CKU,60.5439,145.7267
CDV,60.4917,145.4775
AK30,60.3911,146.0975
K29,64.8978,163.7033
1AK1,67.3728,152.0161
CJX,61.8678,158.1350
1AK2,62.4008,146.0133
DCK,66.9433,156.9047
AK15,70.3442,150.9447
AK78,70.1375,147.0306
SCC,70.1947,148.4653
22AK,70.4283,150.4028
4AK1,70.0039,153.0775
AA50,70.1811,146.3503
DEE,66.0694,162.7664
AK77,63.9414,145.4222
9AK4,64.1372,145.8303
45AK,63.9619,145.4700
AA22,64.1328,145.8044
D66,64.0506,145.7172
76AK,64.4675,144.9208
29AK,64.0497,145.4189
11AK,63.9997,145.5022
AK09,64.0497,145.5022
BIG,63.9950,145.7200
0Z2,63.1081,147.5319
DLG,59.0447,158.5056
AK21,59.1325,157.7772
AK23,53.9711,166.8772
EAA,64.7781,141.1497
47AK,61.2925,149.5325
EEK,60.2136,162.0439
EII,58.1856,157.3756
KKU,58.8111,158.5589
KEK,59.3569,157.4711
ELI,64.6150,162.2706
MOS,64.6981,162.0572
ENM,62.7861,164.4908
KVC,55.1164,162.2661
AKN,58.6764,156.6486
IIK,59.9331,164.0306
FAI,64.8156,147.8586
AK7,64.1989,147.9275
32AK,64.9092,147.9139
AK22,64.8217,147.5217
MTF,64.8067,147.7625
AK52,64.8889,147.5356
83AK,65.2564,148.8303
2AK1,64.3636,147.3639
2AK2,64.4533,147.5636
FBK,64.8375,147.6144
KFP,54.8475,163.4103
FWL,62.5067,153.8936
TNW,62.5317,153.6111
3Z1,64.8317,166.1317
FVM,65.9269,149.8400
FLT,62.4528,157.9892
FRN,61.2625,149.6547
FYU,66.5714,145.2506
GBH,68.4797,149.4900
GAL,64.7361,156.9375
GAM,63.7667,171.7328
AQY,60.9661,149.1258
KGZ,61.4550,142.3808
N93,64.5506,163.0072
GNU,59.1175,161.5775
Z40,61.3944,149.8456
GSZ,65.4022,161.2814
KGX,62.8944,160.0650
GKN,62.1550,145.4544
8AK1,62.2803,145.3628
GST,58.4253,135.7075
HNS,59.2439,135.5236
4Z2,65.9047,163.3292
HRR,63.8675,148.9689
AK33,55.8014,160.8992
2AK5,60.4817,146.5842
2AK6,66.2161,155.6694
HCA,62.1883,159.7750
46AK,59.7383,151.0300
0AK7,59.7761,150.9586
AK18,59.8286,153.0808
98AK,59.7758,151.1817
AK17,59.7636,151.2233
HOM,59.6456,151.4767
2AK4,59.4700,151.5125
HNH,58.0961,135.4097
HPB,61.5239,166.1467
5HO,60.9042,149.6239
4Z5,62.0072,141.1814
AK89,61.6569,149.8369
AA33,61.6042,149.7700
AK29,61.6125,149.8522
13AK,61.6547,149.9000
AA30,61.6481,149.8708
