Customer Name,Season,Business Type,Load Name
load_p1rlv1359_1,summer,residential,load_p1rlv1359_1
load_p1rlv1359_2,summer,residential,load_p1rlv1359_2
load_p1rlv1360_1,summer,residential,load_p1rlv1360_1
load_p1rlv1360_2,summer,residential,load_p1rlv1360_2
load_p1rlv1361_1,summer,residential,load_p1rlv1361_1
load_p1rlv1361_2,summer,residential,load_p1rlv1361_2
load_p1rlv1362_1,summer,residential,load_p1rlv1362_1
load_p1rlv1362_2,summer,residential,load_p1rlv1362_2
load_p1rlv1363_1,summer,residential,load_p1rlv1363_1
load_p1rlv1363_2,summer,residential,load_p1rlv1363_2
load_p1rlv1364_1,summer,residential,load_p1rlv1364_1
load_p1rlv1364_2,summer,residential,load_p1rlv1364_2
load_p1rlv1365_1,summer,residential,load_p1rlv1365_1
load_p1rlv1365_2,summer,residential,load_p1rlv1365_2
load_p1rlv1367_1,summer,residential,load_p1rlv1367_1
load_p1rlv1367_2,summer,residential,load_p1rlv1367_2
load_p1rlv1368_1,summer,residential,load_p1rlv1368_1
load_p1rlv1368_2,summer,residential,load_p1rlv1368_2
load_p1rlv1372_1,summer,residential,load_p1rlv1372_1
load_p1rlv1372_2,summer,residential,load_p1rlv1372_2
load_p1rlv1373,summer,residential,load_p1rlv1373
load_p1rlv1861,summer,residential,load_p1rlv1861
load_p1rlv1862_1,summer,residential,load_p1rlv1862_1
load_p1rlv1862_2,summer,residential,load_p1rlv1862_2
load_p1rlv1863_1,summer,residential,load_p1rlv1863_1
load_p1rlv1863_2,summer,residential,load_p1rlv1863_2
load_p1rlv1864_1,summer,residential,load_p1rlv1864_1
load_p1rlv1864_2,summer,residential,load_p1rlv1864_2
load_p1rlv1865_1,summer,residential,load_p1rlv1865_1
load_p1rlv1865_2,summer,residential,load_p1rlv1865_2
load_p1rlv1866,summer,residential,load_p1rlv1866
load_p1rlv1867,summer,residential,load_p1rlv1867
load_p1rlv1868_1,summer,residential,load_p1rlv1868_1
load_p1rlv1868_2,summer,residential,load_p1rlv1868_2
load_p1rlv1869_1,summer,residential,load_p1rlv1869_1
load_p1rlv1869_2,summer,residential,load_p1rlv1869_2
load_p1rlv1870_1,summer,residential,load_p1rlv1870_1
load_p1rlv1870_2,summer,residential,load_p1rlv1870_2
load_p1rlv1871_1,summer,residential,load_p1rlv1871_1
load_p1rlv1871_2,summer,residential,load_p1rlv1871_2
load_p1rlv1872_1,summer,residential,load_p1rlv1872_1
load_p1rlv1872_2,summer,residential,load_p1rlv1872_2
load_p1rlv1873_1,summer,residential,load_p1rlv1873_1
load_p1rlv1873_2,summer,residential,load_p1rlv1873_2
load_p1rlv1874_1,summer,residential,load_p1rlv1874_1
load_p1rlv1874_2,summer,residential,load_p1rlv1874_2
load_p1rlv1875_1,summer,residential,load_p1rlv1875_1
load_p1rlv1875_2,summer,residential,load_p1rlv1875_2
load_p1rlv1876_1,summer,residential,load_p1rlv1876_1
load_p1rlv1876_2,summer,residential,load_p1rlv1876_2
load_p1rlv1877_1,summer,residential,load_p1rlv1877_1
load_p1rlv1877_2,summer,residential,load_p1rlv1877_2
load_p1rlv1878_1,summer,residential,load_p1rlv1878_1
load_p1rlv1878_2,summer,residential,load_p1rlv1878_2
load_p1rlv1879_1,summer,residential,load_p1rlv1879_1
load_p1rlv1879_2,summer,residential,load_p1rlv1879_2
load_p1rlv1880_1,summer,residential,load_p1rlv1880_1
load_p1rlv1880_2,summer,residential,load_p1rlv1880_2
load_p1rlv1881_1,summer,residential,load_p1rlv1881_1
load_p1rlv1881_2,summer,residential,load_p1rlv1881_2
load_p1rlv1882_1,summer,residential,load_p1rlv1882_1
load_p1rlv1882_2,summer,residential,load_p1rlv1882_2
load_p1rlv1883_1,summer,residential,load_p1rlv1883_1
load_p1rlv1883_2,summer,residential,load_p1rlv1883_2
load_p1rlv1888_1,summer,residential,load_p1rlv1888_1
load_p1rlv1888_2,summer,residential,load_p1rlv1888_2
load_p1rlv1889_1,summer,residential,load_p1rlv1889_1
load_p1rlv1889_2,summer,residential,load_p1rlv1889_2
load_p1rlv1890_1,summer,residential,load_p1rlv1890_1
load_p1rlv1890_2,summer,residential,load_p1rlv1890_2
load_p1rlv1891_1,summer,residential,load_p1rlv1891_1
