Date/Time,Hour,Load (kW),Reg-dn Price ($/kWh),Reg-up Price ($/kWh),VB Power upper (kW),VB Power lower (kW),VB Energy upper (kWh),VB Energy lower (kWh)
1/1/17 0:00,1,2734.48,8.60049714,7.48143256,0,0,0,0
1/1/17 1:00,2,2711.88,1.33660512,9.01151629,0,0,0,0
1/1/17 2:00,3,2688,2.82526335,2.79906204,0,0,0,0
1/1/17 3:00,4,2701.08,1.94445556,11.1597535,0,0,0,0
1/1/17 4:00,5,2654.48,4.91187105,10.272694,0,0,0,0
1/1/17 5:00,6,2679,7.89777227,6.50325378,0,0,0,0
1/1/17 6:00,7,2737.96,0.5426524,10.5968453,0,0,0,0
1/1/17 7:00,8,2840.92,4.10572936,1.57237731,0,0,0,0
1/1/17 8:00,9,2912.68,3.28469122,10.7712488,0,0,0,0
1/1/17 9:00,10,2911.08,0.50336,6.8696674,0,0,0,0
1/1/17 10:00,11,2866.28,1.57560842,3.73573539,0,0,0,0
1/1/17 11:00,12,2810.12,2.27476694,3.0388432,0,0,0,0
1/1/17 12:00,13,2748.28,5.28776556,5.82802517,0,0,0,0
1/1/17 13:00,14,2685.08,2.56448141,0.41440698,0,0,0,0
1/1/17 14:00,15,2621.92,0.44146902,6.14555627,0,0,0,0
1/1/17 15:00,16,2607.52,2.42976819,4.46576086,0,0,0,0
1/1/17 16:00,17,2627.36,0,0.40491118,0,0,0,0
1/1/17 17:00,18,2758.08,2.26088387,5.55916578,0,0,0,0
1/1/17 18:00,19,2890.88,1.47844357,5.11145921,0,0,0,0
1/1/17 19:00,20,2871.08,8.3189055,5.39498692,0,0,0,0
1/1/17 20:00,21,2829.52,3.37927776,3.79147078,0,0,0,0
1/1/17 21:00,22,2759.12,3.7997097,15.4962347,0,0,0,0
1/1/17 22:00,23,2632.76,3.92498989,2.55966072,0,0,0,0
1/1/17 23:00,24,2518.44,2.72813857,0.57080111,0,0,0,0
1/2/17 0:00,25,2437.76,4.84207735,6.0246301,0,0,0,0
1/2/17 1:00,26,2383.92,1.83064302,9.5997497,0,0,0,0
1/2/17 2:00,27,2371.12,6.31329582,5.01607911,0,0,0,0
1/2/17 3:00,28,2374.12,8.68040224,12.7631943,0,0,0,0
1/2/17 4:00,29,2423.4,2.65171423,7.60291351,0,0,0,0
1/2/17 5:00,30,2499.04,10.9771773,11.5333095,0,0,0,0
