Index,Annual Event #,Metric Interval Event #,Start,Finish,Object type,Object Name,Inducing Object,Protective Device,Desired Fault type,Implemented Fault Type,Number customers affected,Secondary number of customers affected,Location,Meters Affected,Cause
0,1,1,2000-01-01 21:31:20,2000-01-01 21:31:29,underground_line,node720-707,RandEvent,SwingNode781,TLG,TLG,26,0,-102.762312261 32.9854616316,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
1,2,2,2000-01-04 08:37:01,2000-01-04 08:37:02,underground_line,node737-738,RandEvent,SwingNode781,TLG,TLG,26,0,-102.76392234 32.9925513472,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
2,3,3,2000-01-04 11:19:31,2000-01-04 11:20:16,underground_line,node744-729,RandEvent,SwingNode781,TLG,TLG,26,0,-102.758628466 32.9891634306,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
3,4,4,2000-01-05 15:22:12,2000-01-05 15:22:14,underground_line,node711-741,RandEvent,SwingNode781,TLG,TLG,26,0,-102.76541519 32.993118284,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
4,5,5,2000-01-06 07:23:52,2000-01-06 07:24:00,underground_line,node704-714,RandEvent,SwingNode781,TLG,TLG,26,0,-102.762452428 32.9865633733,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
5,6,6,2000-01-08 04:09:54,2000-01-08 04:09:55,underground_line,node734-710,RandEvent,SwingNode781,TLG,TLG,26,0,-102.76239496 32.9924261293,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
6,7,7,2000-01-08 08:52:08,2000-01-08 08:52:09,underground_line,node744-728,RandEvent,SwingNode781,TLG,TLG,26,0,-102.758773554 32.9895136103,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
7,8,8,2000-01-08 09:19:07,2000-01-08 09:19:09,underground_line,node727-744,RandEvent,SwingNode781,TLG,TLG,26,0,-102.759522591 32.9891375294,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
8,9,9,2000-01-09 09:36:59,2000-01-09 09:37:00,underground_line,node707-722,RandEvent,SwingNode781,TLG,TLG,26,0,-102.762645671 32.984827905,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
9,10,10,2000-01-11 02:17:00,2000-01-11 02:17:37,underground_line,node720-706,RandEvent,SwingNode781,TLG,TLG,26,0,-102.761673324 32.9854546631,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
10,11,11,2000-01-12 03:11:48,2000-01-12 03:11:49,underground_line,node710-735,RandEvent,SwingNode781,TLG,TLG,26,0,-102.761731279 32.9929288624,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
11,12,12,2000-01-13 01:05:40,2000-01-13 01:05:41,underground_line,node744-729,RandEvent,SwingNode781,TLG,TLG,26,0,-102.758628466 32.9891634306,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
12,13,13,2000-01-13 02:14:09,2000-01-13 02:14:12,underground_line,node711-740,RandEvent,SwingNode781,TLG,TLG,26,0,-102.765056935 32.9935082491,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
13,14,14,2000-01-13 03:35:06,2000-01-13 03:35:16,underground_line,node707-724,RandEvent,SwingNode781,TLG,TLG,26,0,-102.763052021 32.9850650765,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
14,15,15,2000-01-14 02:14:49,2000-01-14 02:14:53,underground_line,node737-738,RandEvent,SwingNode781,TLG,TLG,26,0,-102.76392234 32.9925513472,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
15,16,16,2000-01-16 14:11:09,2000-01-16 14:11:10,underground_line,node711-741,RandEvent,SwingNode781,TLG,TLG,26,0,-102.76541519 32.993118284,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
16,17,17,2000-01-18 18:02:25,2000-01-18 18:02:26,underground_line,node702-703,RandEvent,SwingNode781,TLG,TLG,26,0,-102.760886558 32.9882518766,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
17,18,18,2000-01-20 15:51:36,2000-01-20 15:51:38,underground_line,node738-711,RandEvent,SwingNode781,TLG,TLG,26,0,-102.764643602 32.992941045,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
18,19,19,2000-01-21 03:20:02,2000-01-21 03:20:03,underground_line,node701-702,RandEvent,SwingNode781,TLG,TLG,26,0,-102.76050494 32.9878560402,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
19,20,20,2000-01-21 19:14:41,2000-01-21 19:14:42,underground_line,node705-712,RandEvent,SwingNode781,TLG,TLG,26,0,-102.759779395 32.9872080808,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
20,21,21,2000-01-22 19:21:47,2000-01-22 19:21:49,underground_line,node744-729,RandEvent,SwingNode781,TLG,TLG,26,0,-102.758628466 32.9891634306,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
21,22,22,2000-01-23 05:40:55,2000-01-23 05:40:56,underground_line,node708-733,RandEvent,SwingNode781,TLG,TLG,26,0,-102.762212914 32.9910425829,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
22,23,23,2000-01-24 02:58:25,2000-01-24 02:58:27,underground_line,node706-725,RandEvent,SwingNode781,TLG,TLG,26,0,-102.761150763 32.984862619,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
23,24,24,2000-01-24 09:27:43,2000-01-24 09:27:44,underground_line,node702-713,RandEvent,SwingNode781,TLG,TLG,26,0,-102.761219223 32.9875273385,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
24,25,25,2000-01-24 12:35:46,2000-01-24 12:35:47,underground_line,node706-725,RandEvent,SwingNode781,TLG,TLG,26,0,-102.761150763 32.984862619,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
25,26,26,2000-01-24 13:55:58,2000-01-24 13:56:25,underground_line,node733-734,RandEvent,SwingNode781,TLG,TLG,26,0,-102.762554098 32.9917528411,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
26,27,27,2000-01-26 10:52:37,2000-01-26 10:52:40,underground_line,node706-725,RandEvent,SwingNode781,TLG,TLG,26,0,-102.761150763 32.984862619,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,bird
