# output_voltage.csv run at 2000-01-01 00:00:00 PST on 4160 nodes
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
FRIENDSHIP,7200.000000,0.000000,-3600.000000,-6235.382907,-3600.000000,6235.382907
S1806-33-073,-126.327769,-203.888462,-126.327769,-203.888462,0.000000,0.000000
S1806-32-065,-126.329859,-203.888531,-126.329859,-203.888531,0.000000,0.000000
S1806-33-042,-126.329859,-203.888531,-126.329859,-203.888531,0.000000,0.000000
S1806-33-047,-114.226383,210.333079,-114.226383,210.333079,0.000000,0.000000
S1806-33-059,-114.226383,210.333079,-114.226383,210.333079,0.000000,0.000000
S1806-33-050,-114.284285,210.316940,-114.284285,210.316940,0.000000,0.000000
S1806-33-032,-114.286842,210.319485,-114.286842,210.319485,0.000000,0.000000
S1806-33-044,-114.314132,210.314744,-114.314132,210.314744,0.000000,0.000000
S1806-33-069,-114.270637,210.332281,-114.270637,210.332281,0.000000,0.000000
S1806-33-068,-114.321913,210.319867,-114.321913,210.319867,0.000000,0.000000
S1806-33-077,-114.322790,210.334101,-114.322790,210.334101,0.000000,0.000000
S1806-33-016,-114.338521,210.339867,-114.338521,210.339867,0.000000,0.000000
S1806-33-023,-114.338521,210.339867,-114.338521,210.339867,0.000000,0.000000
S1806-33-026,-114.338521,210.339867,-114.338521,210.339867,0.000000,0.000000
S1806-33-013,-114.355839,210.346515,-114.355839,210.346515,0.000000,0.000000
S1806-33-031,-114.355839,210.346515,-114.355839,210.346515,0.000000,0.000000
S1806-33-037,-114.355839,210.346515,-114.355839,210.346515,0.000000,0.000000
S1806-33-038,-114.355839,210.346515,-114.355839,210.346515,0.000000,0.000000
S1806-33-041,-114.374881,210.353023,-114.374881,210.353023,0.000000,0.000000
S1806-33-029,-114.364670,210.371943,-114.364670,210.371943,0.000000,0.000000
S1806-33-046,-114.364670,210.371943,-114.364670,210.371943,0.000000,0.000000
S1806-33-056,-114.399456,210.377232,-114.399456,210.377232,0.000000,0.000000
S1806-33-022,-114.420170,210.388018,-114.420170,210.388018,0.000000,0.000000
S1806-33-045,-114.420170,210.388018,-114.420170,210.388018,0.000000,0.000000
S1806-33-067,-114.420170,210.388018,-114.420170,210.388018,0.000000,0.000000
S1806-33-015,-114.456725,210.404197,-114.456725,210.404197,0.000000,0.000000
S1806-33-033,-114.464494,210.418052,-114.464494,210.418052,0.000000,0.000000
S1806-33-043,-114.453233,210.430351,-114.453233,210.430351,0.000000,0.000000
S1806-33-055,-114.485790,210.433946,-114.485790,210.433946,0.000000,0.000000
S1806-33-020,-114.489311,210.453891,-114.489311,210.453891,0.000000,0.000000
S1806-33-064,-114.489311,210.453891,-114.489311,210.453891,0.000000,0.000000
S1806-33-054,-114.530104,210.471387,-114.530104,210.471387,0.000000,0.000000
S1806-33-058,-114.556512,210.484158,-114.556512,210.484158,0.000000,0.000000
S1806-33-076,-114.575259,210.490681,-114.575259,210.490681,0.000000,0.000000
S1806-33-065,-114.578538,210.502086,-114.578538,210.502086,0.000000,0.000000
S1806-33-007,-114.588523,210.523168,-114.588523,210.523168,0.000000,0.000000
S1806-33-009,-114.588523,210.523168,-114.588523,210.523168,0.000000,0.000000
S1806-33-010,-114.594919,210.545075,-114.594919,210.545075,0.000000,0.000000
S1806-33-006,-114.630532,210.546402,-114.630532,210.546402,0.000000,0.000000
