# ILEC-Rembrandt.VOLTS.csv run at 2000-01-01 00:00:00 PST on 78 nodes
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
REMBRANDT,7200.000000,0.000000,-3600.000000,-6235.382907,-3600.000000,6235.382907
263-32-311,7194.901638,-2.156977,-3600.709482,-6235.587327,-3599.344812,6233.467820
263-31-260,7193.457306,-2.690273,-3601.059519,-6235.755671,-3599.851376,6233.425564
263-30-850,7193.396630,-2.723043,-3601.059519,-6235.755671,-3599.851376,6233.425564
263-30-380,7192.267705,-3.129359,-3601.347056,-6235.892560,-3600.114554,6233.296114
263-32-310,7194.417463,-2.335678,-3600.826180,-6235.640457,-3599.636485,6233.528721
283-05-120,0.000000,0.000000,-3600.420365,-6234.345728,0.000000,0.000000
263-32-860,0.000000,0.000000,-3600.420365,-6234.345728,0.000000,0.000000
283-06-131,7197.047293,-0.763256,0.000000,0.000000,0.000000,0.000000
283-06-130,7197.047293,-0.763256,0.000000,0.000000,0.000000,0.000000
282-01-180,7197.047293,-0.763256,0.000000,0.000000,0.000000,0.000000
282-01-680,7196.591197,-1.009727,0.000000,0.000000,0.000000,0.000000
283-06-720,7197.047293,-0.763256,0.000000,0.000000,0.000000,0.000000
283-06-310,7197.047293,-0.763256,0.000000,0.000000,0.000000,0.000000
283-08-710,0.000000,0.000000,-3600.419114,-6234.177254,0.000000,0.000000
283-17-120,0.000000,0.000000,-3600.425032,-6234.387387,0.000000,0.000000
283-08-120,0.000000,0.000000,-3600.425032,-6234.387387,0.000000,0.000000
283-05-830,0.000000,0.000000,-3600.425032,-6234.387387,0.000000,0.000000
283-08-170,0.000000,0.000000,-3600.425032,-6234.387387,0.000000,0.000000
263-32-710,6945.229613,-211.601520,-3650.585081,-5921.061267,-3300.922164,6142.026176
NEWCAP-1D1DC669,6945.229613,-211.601520,-3650.585081,-5921.061267,-3300.922164,6142.026176
nodePRUG6689RECL_1161,7200.000000,0.000000,-3600.000000,-6235.382907,-3600.000000,6235.382907
nodePRUG6690PRUG6689,7200.000000,0.000000,-3600.000000,-6235.382907,-3600.000000,6235.382907
nodePRUG6691PRUG6690,7200.000000,0.000000,-3600.000000,-6235.382907,-3600.000000,6235.382907
nodePRUG6692PRUG6691,7200.000000,0.000000,-3600.000000,-6235.382907,-3600.000000,6235.382907
nodePRUG6693PRUG6692,7200.000000,0.000000,-3600.000000,-6235.382907,-3600.000000,6235.382907
nodeSWIT_737-APRUG6693,7200.000000,0.000000,-3600.000000,-6235.382907,-3600.000000,6235.382907
nodePRUG3301RECL_1162,7200.000000,0.000000,-3600.000000,-6235.382907,-3600.000000,6235.382907
nodePRUG5000PRUG3301,7198.182723,-0.573056,-3600.231874,-6234.946061,-3600.088270,6235.096808
nodePRUG3297PRUG5000,7194.901638,-2.156977,-3600.709482,-6235.587327,-3599.529936,6233.581720
node263-32-311PRUG3297,0.000000,0.000000,0.000000,0.000000,-3599.344812,6233.467820
nodePRUG5002PRUG5001,7194.417463,-2.335678,-3600.826235,-6235.642418,-3599.636485,6233.528721
nodePROH16277PRUG5002,7193.457306,-2.690273,-3601.059519,-6235.755671,-3599.851376,6233.425564
nodePROH279PROH16277,7193.457306,-2.690273,0.000000,0.000000,0.000000,0.000000
node263-31-260PROH279,7193.457306,-2.690273,0.000000,0.000000,0.000000,0.000000
nodePROH16279PROH16278,7193.457306,-2.690273,0.000000,0.000000,0.000000,0.000000
node263-30-850PRUG84,7193.396630,-2.723043,0.000000,0.000000,0.000000,0.000000
nodePROH277PRUG5361,7192.267705,-3.129359,-3601.347056,-6235.892560,-3600.114554,6233.296114
node263-30-380PROH277,7192.267705,-3.129359,0.000000,0.000000,0.000000,0.000000
nodeSWIT_361-BPRUG5362,7192.267705,-3.129359,-3601.347056,-6235.892560,-3600.114554,6233.296114
node263-32-310PRUG85,0.000000,0.000000,-3600.826180,-6235.640457,0.000000,0.000000
nodePROH16622PRUG3303,7197.069323,-0.779494,-3600.420365,-6234.345728,0.000000,0.000000
nodeFUSE_434PROH16622,0.000000,0.000000,-3600.420365,-6234.345728,0.000000,0.000000
nodePROH16623FUSE_434,0.000000,0.000000,-3600.420365,-6234.345728,0.000000,0.000000
nodePROH2887PROH16623,0.000000,0.000000,-3600.420365,-6234.345728,0.000000,0.000000
node283-05-120PROH2887,0.000000,0.000000,-3600.420365,-6234.345728,0.000000,0.000000
nodePROH2886PROH16624,0.000000,0.000000,-3600.420365,-6234.345728,0.000000,0.000000
node263-32-860PROH2886,0.000000,0.000000,-3600.420365,-6234.345728,0.000000,0.000000
nodePROH19454PROH8542,7197.047293,-0.763256,-3600.425032,-6234.387387,0.000000,0.000000
nodeRECL_844PROH19454,7197.047293,-0.763256,0.000000,0.000000,0.000000,0.000000
nodePROH19455RECL_844,7197.047293,-0.763256,0.000000,0.000000,0.000000,0.000000
nodePROH266PROH19455,7197.047293,-0.763256,0.000000,0.000000,0.000000,0.000000
node283-06-131PROH266,7197.047293,-0.763256,0.000000,0.000000,0.000000,0.000000
nodePROH20016PROH19456,7197.047293,-0.763256,0.000000,0.000000,0.000000,0.000000
nodePROH268PROH20016,7197.047293,-0.763256,0.000000,0.000000,0.000000,0.000000
node282-01-180PROH268,7197.047293,-0.763256,0.000000,0.000000,0.000000,0.000000
nodePROH20018PROH20017,7197.047293,-0.763256,0.000000,0.000000,0.000000,0.000000
nodePRUG81PROH20018,7197.047293,-0.763256,0.000000,0.000000,0.000000,0.000000
node282-01-680PRUG81,7196.591197,-1.009727,0.000000,0.000000,0.000000,0.000000
nodePROH20020PROH20019,7197.047293,-0.763256,0.000000,0.000000,0.000000,0.000000
nodeSWIT_617-APROH20020,7197.047293,-0.763256,0.000000,0.000000,0.000000,0.000000
node283-06-720PROH270,7197.047293,-0.763256,0.000000,0.000000,0.000000,0.000000
node283-06-310PROH269,7197.047293,-0.763256,0.000000,0.000000,0.000000,0.000000
nodeRECL_845PROH16513,0.000000,0.000000,-3600.425032,-6234.387387,0.000000,0.000000
nodePROH16514RECL_845,0.000000,0.000000,-3600.425032,-6234.387387,0.000000,0.000000
nodePROH16515PROH16514,0.000000,0.000000,-3600.425032,-6234.387387,0.000000,0.000000
nodePRUG834PROH16515,0.000000,0.000000,-3600.425032,-6234.387387,0.000000,0.000000
node283-08-710PRUG834,0.000000,0.000000,-3600.419114,-6234.177254,0.000000,0.000000
node283-17-120PROH16516,0.000000,0.000000,-3600.425032,-6234.387387,0.000000,0.000000
nodePROH2878PROH11498,0.000000,0.000000,-3600.425032,-6234.387387,0.000000,0.000000
node283-08-120PROH2878,0.000000,0.000000,-3600.425032,-6234.387387,0.000000,0.000000
nodePROH2877PROH11499,0.000000,0.000000,-3600.425032,-6234.387387,0.000000,0.000000
node283-05-830PROH2877,0.000000,0.000000,-3600.425032,-6234.387387,0.000000,0.000000
node283-08-170PROH11500,0.000000,0.000000,-3600.425032,-6234.387387,0.000000,0.000000
nodePRUG4190RECL_1160,7200.000000,0.000000,-3600.000000,-6235.382907,-3600.000000,6235.382907
nodePRUG4176PRUG4190,7178.774529,-17.628980,-3604.214352,-6209.196093,-3575.083180,6227.605156
node263-32-710PRUG4176,6945.229613,-211.601520,-3650.585081,-5921.061267,-3300.922164,6142.026176
nodePRUG4180RECL_993,7200.000000,0.000000,-3600.000000,-6235.382907,-3600.000000,6235.382907
