# file...... Capacitor_CAP2.csv
# date...... Thu Aug 09 16:58:19 2012
# user...... dwp0
# host...... (null)
# target.... capacitor 57
# trigger... (none)
# interval.. 86400
# limit..... 10
# timestamp,switchA,switchB,switchC
2000-01-01 00:00:00 PST,CLOSED,CLOSED,CLOSED
2000-01-02 00:00:00 PST,CLOSED,CLOSED,CLOSED
2000-01-03 00:00:00 PST,CLOSED,CLOSED,CLOSED
2000-01-04 00:00:00 PST,CLOSED,CLOSED,CLOSED
2000-01-05 00:00:00 PST,CLOSED,CLOSED,CLOSED
2000-01-06 00:00:00 PST,CLOSED,CLOSED,CLOSED
2000-01-07 00:00:00 PST,CLOSED,CLOSED,CLOSED
2000-01-08 00:00:00 PST,CLOSED,CLOSED,CLOSED
2000-01-09 00:00:00 PST,CLOSED,CLOSED,CLOSED
2000-01-10 00:00:00 PST,CLOSED,CLOSED,CLOSED
